"Alert Email Sender","Varning E-post avsändare"
"Alert subscription has been saved.","Meddelandeprenumerationen har sparats"
"Allow Alert When Product Comes Back in Stock","Tillåt varning när produkten kommer tillbaka i lager"
"Allow Alert When Product Price Changes","Tillåt varning vid produktprisändringar"
"Click here not to receive alerts for this product","Klicka här för att inte få varningar för denna produkt"
"Error Email Recipient","Mottagare för e-postfel"
"Error Email Sender","Error Email Sender"
"Error Email Template","E-postmall för fel"
"Frequency","Frekvens"
"Not enough parameters.","Inte tillräckligt med parametrar."
"Price:","Pris:"
"Price Alert Email Template","E-postmall för prisavisering"
"Product Alerts","Varningar för produkt"
"Product alerts Cron error","Cron fel vid produktvarningar"
"Product Alerts Run Settings","Produktvarningar Kör inställningar"
"Product price alert","Varning för produktpris"
"Product stock alert","Produkt lagervarning"
"Regular Price:","Ordinarie pris:"
"Sign up for price alert","Registrera dig för prisavisering"
"Sign up to get notified when this product is back in stock","Registrera dig för att få meddelande när denna produkt är tillbaka i lager"
"Special price:","Specialpris:"
"Start Time","Starttid"
"Stock Alert Email Template","Lagervarning e-postmall"
"The alert subscription has been deleted.","Meddelandeprenumerationen har tagits bort."
"The alert subscription has been saved.","Meddelandeprenumerationen har sparats."
"The product is not found.","Produkten hittades inte."
"The product was not found.","Produkten hittades inte."
"Unable to update the alert subscription.","Det gick inte att uppdatera varningsprenumerationen."
"Unsubscribe from all price alerts","Avregistrera dig från alla prisaviseringar"
"Unsubscribe from all stock alerts","Avregistrera dig från alla lagervarningar"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Du får detta meddelande eftersom du prenumererar på att få varningar när följande produkter är tillbaka i lager:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Du får detta meddelande eftersom du prenumererar på att få varningar när priserna för följande produkter ändras:"
"You will no longer receive price alerts for this product.","Du kommer inte längre att få prisaviseringar för denna produkt."
"You will no longer receive stock alerts.","Du kommer inte längre att få lagervarningar."
"You will no longer receive stock alerts for this product.","Du kommer inte längre att få lagervarningar för denna produkt."
