"Action","Åtgärd"
"Add New Template","Lägg till ny mall"
"Add to Queue","Lägg till i kö"
"Allow Guest Subscription","Tillåt gästabonnemang"
"An error occurred while saving your subscription.","Ett fel inträffade när din prenumeration skulle sparas."
"Back","Tillbaka"
"Be the first to know about new arrivals, special offers, and insider news.","Bli först med att veta om nyanlända, specialerbjudanden och insidernyheter."
"Cancel","Avbryt"
"Cancelled","Avbruten"
"Cannot delete this template. It is currently used by %d email automation sequence(s). Please reassign or delete those sequences first.","Kan inte ta bort denna mall. Den används för närvarande av %d e-postautomatiseringssekvens. Vänligen tilldela eller ta bort dessa sekvenser först."
"Cannot mark as received subscriber.","Kan inte markera som mottagen prenumerant."
"Confirmation Email Sender","Bekräftelse e-postavsändare"
"Confirmation Email Template","Bekräftelse e-postmall"
"Confirmation request has been sent.","Bekräftelsebegäran har skickats."
"Convert to Plain Text","Konvertera till oformaterad text"
"Coupon Code","Kupongkod"
"Coupon Expiration Date (Formatted)","Kupongens utgångsdatum (formaterad)"
"Coupon Expiration Date (Raw)","Kupongens utgångsdatum (Raw)"
"Coupon Rule Description","Rabattkupong regel beskrivning"
"Create Newsletter Template","Skapa mall för nyhetsbrev"
"Customer","Kund"
"Customer Email","Kund e-post"
"Customer First Name","Kundens förnamn"
"Customer Last Name","Kundens efternamn"
"Customer Middle Name","Kundens mellannamn"
"Customer My Account Newsletter Subscriptions","Kund Mitt Konto Prenumerationer Nyhetsbrev"
"Customer Name","Kundens namn"
"Customer Name (Object)","Kundnamn (Objekt)"
"Customer Segments","Kundsegment"
"Customer Variables","Kund Variabler"
"Date Added","Tillagd datum"
"Date Updated","Datum Uppdaterad"
"Default Template","Förvald mall"
"Delete","Radera"
"Delete Selected Problems","Ta bort markerade problem"
"Delete Template","Ta bort mall"
"Do you really want to cancel the queue?","Vill du verkligen avbryta kön?"
"Duplicate template code.","Duplicate template code."
"Edit Newsletter","Redigera nyhetsbrev"
"Edit Newsletter Template","Redigera mall för nyhetsbrev"
"Edit Queue","Redigera kö"
"Edit Template","Redigera mall"
"Email","E-post"
"Email Automation Variables","Variabler för e-postautomatisering"
"Error Code","Felkod"
"Error Text","Feltext"
"Follow this link to unsubscribe:","Följ denna länk för att avsluta prenumerationen:"
"Guest","Gäst"
"ID","ID"
"Insert Variable...","Infoga variabel..."
"Invalid queue selected.","Ogiltig kö vald."
"Invalid sender email address","Ogiltig avsändares e-postadress"
"Invalid subscription confirmation code.","Ogiltig prenumerationsbekräftelsekod."
"Invalid subscription ID.","Ogiltigt abonnemangs-ID."
"Message","Meddelande"
"Need to Confirm","Måste bekräfta"
"New Newsletter Template","Ny mall för nyhetsbrev"
"Newsletter","Nyhetsbrev"
"Newsletter Message Preview","Förhandsgranska nyhetsbrevets meddelande"
"Newsletter Problem Reports","Rapporter om nyhetsbrev"
"Newsletter Queue","Nyhetsbrev kö"
"Newsletter Styles","Nyhetsbrev stilar"
"Newsletter subscribe","Prenumerera på nyhetsbrev"
"Newsletter Subscribers","Prenumeranter av nyhetsbrev"
"Newsletter Subscription","Prenumeration av nyhetsbrev"
"Newsletter subscription confirmation","Bekräftelse på nyhetsbrev"
"Newsletter Subscription Form","Formulär för prenumeration av nyhetsbrev"
"Newsletter Subscription Form Before","Formulär för prenumeration av nyhetsbrev före"
"Newsletter subscription success","Prenumeration på nyhetsbrev lyckades"
"Newsletter Templates","Mallar för nyhetsbrev"
"Newsletter unsubscribe","Prenumerera på nyhetsbrev"
"Newsletter unsubscription success","Prenumeration av nyhetsbrev lyckades"
"Newsletter Variables","Nyhetsbrev variabler"
"New Template","Ny mall"
"No problems found.","Inga problem hittades."
"No subscribers selected.","Inga prenumeranter har valts."
"Not Activated","Inte aktiverad"
"No Templates Found","Inga mallar hittades"
"Not Sent","Inte skickad"
"Pause","Pausa"
"Paused","Pausad"
"Per email address. Default 3 per hour. 0 to disable.","Per e-postadress. Standard 3 per timme. 0 för att inaktivera."
"Per IP address (lenient, legitimate users). Default 30 per hour. 0 to disable.","Per IP-adress (milda, legitima användare). Standard 30 per timme. 0 för att inaktivera."
"Please enter a valid email address.","Ange en giltig e-postadress."
"Please refer to exeption.log","Se exeption.log"
"Please select subscriber(s)","Välj prenumerant(er)"
"Preview","Förhandsgranska"
"Preview Template","Förhandsgranska mall"
"Processed","Bearbetad"
"Queue Date Start","Kö Datum Start"
"Queue Finish","Kö klar"
"Queue Information","Kö Information"
"Queue Newsletter...","Köa nyhetsbrev..."
"Queue Start","Starta kö"
"Queue Subject","Ämne för kö"
"Recipients","Mottagare"
"Reset","Reset"
"Resume","Fortsätt"
"Return HTML Version","Retur HTML-version"
"Save and Resume","Spara och fortsätt"
"Save As","Spara som"
"Save Newsletter","Spara nyhetsbrev"
"Save Template","Spara mall"
"Segment Name","Segmentets namn"
"Selected problems have been deleted.","Valda problem har tagits bort."
"Selected problem subscribers have been unsubscribed.","Valda problemprenumeranter har avslutats."
"Sender","Avsändare"
"Sender Email","Avsändarens e-post"
"Sender Name","Avsändarens namn"
"Sender name is required","Avsändarens namn krävs"
"Sending","Skickar"
"Sent","Skickat"
"Sequence Step Number","Sekvens steg nummer"
"Sign up for our newsletter","Anmäl dig till vårt nyhetsbrev"
"Sign Up for Our Newsletter:","Registrera dig för vårt nyhetsbrev:"
"Sorry, but administrator denied subscription for guests. Please <a href=""%s"">register</a>.","Tyvärr, men administratör nekad prenumeration för gäster. Vänligen <a href=""%s"">registrera</a>."
"Start","Starta"
"Status","Status"
"Store","Butik"
"Store View","Butiksvy"
"Subject","Ämne"
"Submit","Skicka"
"Subscribe","Prenumerera"
"Subscribed","Prenumererade"
"Subscriber","Prenumerant"
"Subscriber Email","Prenumerant E-post"
"Subscribers","Prenumeranter"
"Subscribers From","Prenumeranter från"
"Subscription Options","Prenumerationsalternativ"
"Success Email Sender","Avsändare för lyckad e-post"
"Success Email Template","Mall för lyckad e-post"
"Template code is required","Mall kod krävs"
"Template Content","Mallens innehåll"
"Template Information","Mall Information"
"Template Name","Mall Namn"
"Template Styles","Template Styles"
"Template Subject","Mall ämne"
"Template Type","Typ av mall"
"Template type must be numeric","Mall typ måste vara numerisk"
"Thank you for your subscription.","Tack för ditt abonnemang."
"The newsletter template has been deleted.","Nyhetsbrevet mallen har tagits bort."
"There was a problem with the subscription.","Det uppstod ett problem med prenumerationen."
"There was a problem with the subscription: %s","Det uppstod ett problem med prenumerationen: %s"
"There was a problem with the un-subscription.","Det uppstod ett problem med avregistreringen."
"The subscription has been removed.","Prenumerationen har tagits bort."
"The subscription has been saved.","Prenumerationen har sparats."
"This email address is already assigned to another user.","Den här e-postadressen är redan tilldelad en annan användare."
"This email address is already confirmed.","Den här e-postadressen är redan bekräftad."
"This email address is already registered.","Den här e-postadressen är redan registrerad."
"Type","Typ"
"Unconfirmed","Obekräftad"
"Unsubscribe","Avprenumerera"
"Unsubscribed","Avprenumerera"
"Unsubscribe Link","Avregistrera länk"
"Unsubscribe Selected","Avprenumerera markerade"
"Unsubscription Email Sender","Avprenumerera e-postavsändare"
"Unsubscription Email Template","Avprenumerera e-postmall"
"View Newsletter","Visa nyhetsbrev"
"Website","Webbplats"
"You are currently subscribed to our newsletter.","Du prenumererar för närvarande på vårt nyhetsbrev."
"You have been unsubscribed.","Du har blivit avregistrerad."
"Your subscription has been confirmed.","Din prenumeration har bekräftats."
