"%d Review(s)","%d Recension(er)"
"1 star","1 stjärna"
"2 stars","2 stjärnor"
"3 stars","3 stjärnor"
"4 stars","4 stjärnor"
"5 stars","5 stjärnor"
"<a href=""%1$s"" onclick=""this.target='blank'"">%2$s</a> <a href=""mailto:%3$s"">(%3$s)</a>","<a href=""%1$s"" onclick=""this.target='blank'"">%2$s</a> <a href=""mailto:%3$s"">(%3$s)</a>"
"Add New Review","Lägg till ny recension"
"Administrator","Administratör"
"Allow Guests to Write Reviews","Tillåt gäster att skriva recensioner"
"All Reviews","Alla recensioner"
"All Reviews of Customer `%s`","Alla recensioner av kund `%s`"
"All Reviews of Product `%s`","Alla recensioner av produkt `%s`"
"Approved","Godkänd"
"Are you sure?","Är du säker?"
"Are you sure you want to do this?","Är du säker du vill göra detta?"
"Average Customer Rating","Genomsnittlig Kundbetyg"
"Average Customer Rating:","Genomsnittligt kundbetyg: Betyg:"
"Back","Tillbaka"
"Back to My Reviews","Tillbaka till Mina recensioner"
"Back to Product Reviews","Tillbaka till produktrecensioner"
"Be the First to Review","Bli först med att granska"
"Be the first to review this product","Bli först med att recensera denna produkt"
"Cancel","Avbryt"
"Catalog Product Review View","Katalog produktgranskningsvy"
"Close","Stäng"
"Created On","Skapad den"
"Customer","Kund"
"Customer My Account Product Reviews","Kundrecensioner för mitt konto"
"Customer My Account Review Details","Detaljer för kundgranskning av mitt konto"
"Customer Reviews","Kundrecensioner"
"Customers Reviews","Kunder Recensioner"
"Delete","Radera"
"Delete Review","Ta bort recension"
"Detailed Rating","Detaljerat betyg"
"Edit Review '%s'","Redigera recension '%s'"
"Guest","Gäst"
"ID","ID"
"Manage Ratings","Hantera betyg"
"My Product Reviews","Mina Produktrecensioner"
"My Recent Reviews","Mina senaste recensioner"
"Name","Namn"
"Name in Store","Namn i butik"
"New Review","Ny recension"
"Nickname","Smeknamn"
"Nickname can't be empty","Smeknamn kan inte vara tomt"
"Not Approved","Ej godkänd"
"Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>","Endast registrerade användare kan skriva recensioner. Vänligen <a href=""%s"">logga in</a> eller <a href=""%s"">registrera</a>"
"Pending","Väntande"
"Pending Reviews","Väntande recensioner"
"Pending Reviews of Customer `%s`","Väntande recensioner av kund `%s`"
"Please select a rating for each category","Välj ett betyg för varje kategori"
"Posted By","Inlagd av"
"Price","Pris"
"Product","Produkt"
"Product Name","Produktens namn"
"Product Rating","Produkt Betyg"
"Product Rating:","Produktens rating:"
"Product Review (submitted on %s):","Produktrecension (inskickad till %s):"
"Product Reviews","Produktrecensioner"
"Product SKU","Artikelnr produkt"
"Products Reviews","Produkter Recensioner"
"Qty","Antal"
"Rating:","Betyg:"
"Review","Granska"
"Review (submitted on %s):","Granskning (inskickad till %s):"
"Review can't be empty","Granskningen kan inte vara tom"
"Review Details","Granska detaljer"
"Review Form Fields Before","Granska formulärfält innan"
"Reviews","Recensioner"
"Reviews and Ratings","Recensioner och betyg"
"Review summary can't be empty","Sammanfattningen av granskningen kan inte vara tom"
"Save Review","Spara recension"
"SKU","Artikelnr"
"Status","Status"
"Submit Review","Skicka recension"
"Summary","Summary"
"Summary of Review","Sammanfattning av granskning"
"Summary Rating","Sammanfattning Betyg"
"This product has no reviews yet","Denna produkt har inga recensioner än"
"Title","Titel"
"Type","Typ"
"Unable to post the review.","Det går inte att posta recensionen."
"Update Status","Uppdatera status"
"View All Reviews","Visa alla recensioner"
"View Details","Visa detaljer"
"Visible In","Synlig i"
"Websites","Webbplatser"
"Write a Review","Skriv en recension"
"You're reviewing:","Du granskar:"
"You have submitted no reviews.","Du har inte lämnat några recensioner."
"Your Rating:","Ditt betyg:"
"Your Review (submitted on %s):","Din recension (inlagd på %s):"
"Your review has been accepted for moderation.","Din recension har accepterats för moderering."
