"# of Uses","Antal användningsområden"
"%s tag(s) have been accepted for moderation.","%s taggar har godkänts för moderering."
"<strong>Tag Name:</strong> %s","<strong>Taggens namn:</strong> %s"
"Action","Åtgärd"
"Add","Lägg till"
"Add New Tag","Lägg till ny tagg"
"Add tag(s) to product","Lägg till taggar till produkt"
"Add Tags","Lägg till taggar"
"Add to Cart","Lägg till i kundvagn"
"Add to Wishlist","Lägg till i önskelista"
"Add Your Tags:","Lägg till dina etiketter:"
"All Tags","Alla taggar"
"Approved","Godkänd"
"Are you sure?","Är du säker?"
"Are you sure you want to delete this tag?","Är du säker på att du vill ta bort denna tagg?"
"Are you sure you want to do this?","Är du säker du vill göra detta?"
"Back","Tillbaka"
"Back to Tags List","Tillbaka till tagglistan"
"Base Popularity","Bas popularitet"
"Block Information","Blockera information"
"Catalog Product View","Katalog produktvy"
"Change status","Ändra status"
"Click on a tag to view your corresponding products.","Klicka på en tagg för att visa motsvarande produkter."
"Country","Land"
"CSV","CSV"
"Customer My Account My Tags List","Kund Mitt Konto Mina Taggar Lista"
"Customer My Account Tag View","Kund mitt konto taggvy"
"Customers","Kunder"
"Customer Since","Kund sedan"
"Customers Submitted this Tag","Kunder skickade in denna tagg"
"Customers Tagged '%s'","Kunder taggade '%s'"
"Delete","Radera"
"Delete Tag","Ta bort tagg"
"Disabled","Inaktiverad"
"Edit Tag '%s'","Redigera tagg '%s'"
"Email","E-post"
"Enable Adding Tags in Frontend","Aktivera Lägga till taggar i frontend"
"First Name","Förnamn"
"General Information","Allmän information"
"Grid","Rutnät"
"ID","ID"
"Info","Information"
"Last Name","Efternamn"
"List","Lista"
"Manage Tags","Hantera taggar"
"Middle Name","Mitten namn"
"My Recent Tags","Mina senaste taggar"
"My Tags","Mina taggar"
"Name","Namn"
"New Tag","Ny tagg"
"No matches found.","Inga träffar hittades."
"Pending","Väntande"
"Pending Tags","Väntande taggar"
"Popular","Populär"
"Popular Tags","Populära taggar"
"Price","Pris"
"Product Name","Produktens namn"
"Products","Produkter"
"Product SKU","Artikelnr produkt"
"Products Tagged by Administrators","Produkter taggade av administratörer"
"Products Tagged by Customers","Produkter taggade av kunder"
"Products Tagged with '%s'","Produkter taggade med '%s'"
"Products tagged with '%s'","Produkter taggade med '%s'"
"Product Tag API","API för produkttagg"
"Product Tags","Produkt Taggar"
"Rebuild Tag aggregation data","Bygg om aggregeringsdata för taggar"
"Remove","Radera"
"Remove product tag","Ta bort produkttagg"
"Retrieve list of tags by product","Hämta lista över taggar per produkt"
"Retrieve product tag info","Hämta produkttagg info"
"Save and Continue Edit","Spara och fortsätt redigera"
"Save Tag","Spara tagg"
"SKU","Artikelnr"
"Status","Status"
"Store View","Butiksvy"
"Tag","Tagg"
"Tag ""%s"" has already been added to the product.","Tagg ""%s"" har redan lagts till i produkten."
"Tag ""%s"" has been added to the product.","Tagg ""%s"" har lagts till i produkten."
"Tag ""%s"" has been rejected by administrator.","Taggen ""%s"" har avvisats av administratören."
"Tag Aggregation Data","Tag Aggregation Data"
"Tagged Products List","Lista över taggade produkter"
"Tag Name","Taggens namn"
"Tags","Taggar"
"Tags:","Taggar:"
"Tags List (All Available)","Tagglista (Alla tillgängliga)"
"Tags List Before","Tagglista innan"
"Telephone","Telefon"
"There are no tags available.","Det finns inga taggar tillgängliga."
"The tag has been deleted.","Taggen har tagits bort."
"Unable to find any products tagged with '%s' in the current store","Det går inte att hitta produkter taggade med '%s' i den aktuella butiken"
"Unable to remove tag. Please, try again later.","Det gick inte att ta bort taggen. Försök igen senare."
"Unable to save tag(s).","Det går inte att spara taggar(er)."
"Update","Uppdatera"
"Update product tag","Uppdatera produkttagg"
"Use spaces to separate tags. Use single quotes (') for phrases.","Använd mellanslag för att separera taggar. Använd enstaka citat (') för fraser."
"View All Tags","Visa alla taggar"
"View Customers","Visa kunder"
"View Products","Visa produkter"
"XML","XML"
"You have not tagged any products yet.","Du har inte taggat några produkter ännu."
"ZIP/Post Code","Postnummer / Postnummer"
"[STORE VIEW]","[STORE VISNING]"
