"Action","Åtgärd"
"Allow New Accounts via Social Sign-In","Tillåt nya konton via social inloggning"
"Apple Service ID","Apple Service ID"
"Connected Accounts","Anslutna konton"
"Connected On","Ansluten den"
"Continue with Apple","Fortsätt med Apple"
"Continue with Facebook","Fortsätt med Facebook"
"Create an app in the Meta developer portal, enable Facebook Login for the Web, and add your store domain to the allowed domains.","Skapa en app i Meta-utvecklarportalen, aktivera Facebook-inloggning för webben, och lägg till din butiksdomän i de tillåtna domänerna."
"Create a Service ID in the Apple Developer portal. Register your store domain and add https://yourstore.com/customer/social/login as a return URL.","Skapa ett service-ID i Apple Developer-portalen. Registrera din butiks domän och lägg till https://yourstore.com/customer/social/login som en retur-URL."
"Creating new accounts with social sign-in is not allowed. Please register first.","Det är inte tillåtet att skapa nya konton med social inloggning. Vänligen registrera dig först."
"Customer Connected Accounts","Anslutna kundkonton"
"Customers sign in with the Google Identity Services button. Create an OAuth client ID in the Google Cloud Console and add your store origin to the authorized JavaScript origins.","Kunder loggar in med Google Identity Services-knappen. Skapa ett OAuth-klient-ID i Google Cloud Console och lägg till butikens ursprung till de auktoriserade JavaScript-ursprungen."
"Email","E-post"
"Enable Facebook Login","Aktivera Facebook-inloggning"
"Enable Google One Tap","Aktivera Google One Tap"
"Enable Google Sign-In","Aktivera Google-inloggning"
"Enable Sign in with Apple","Aktivera Logga in med Apple"
"Facebook App ID","Facebook App ID"
"Facebook App Secret","Facebook App hemlighet"
"Failed Attempts Allowed per IP per Hour","Misslyckade försök tillåtna per IP per timme"
"Google Client ID","Google Client ID"
"How long an issued sign-in nonce stays valid. Values below 60 seconds are raised to 60.","Hur länge en utfärdad inloggning nonce förblir giltig. Värden under 60 sekunder höjs till 60."
"How many failed social sign-in attempts one IP address can make per hour. Set 0 to disable the limit.","Hur många misslyckade sociala inloggningar försöker en IP-adress göra per timme. Sätt 0 för att inaktivera gränsen."
"Invalid authentication token.","Ogiltig autentiseringstoken."
"Invalid form key. Please refresh the page and try again.","Ogiltig formulärnyckel. Uppdatera sidan och försök igen."
"Linked Sign-In Providers","Länkade inloggningsleverantörer"
"or","eller"
"Please complete the required fields of your profile.","Fyll i de obligatoriska fälten för din profil."
"Provider","Leverantör"
"Provider Email","Leverantörens e-post"
"Shows the One Tap prompt to returning Google users on the login and register pages.","Visar uppmaningen att returnera Google-användare på inloggnings- och registreringssidorna."
"Sign-in failed. Please try again later.","Inloggningen misslyckades. Försök igen senare."
"Sign-In Nonce Lifetime (Seconds)","Logga in Nonce Livstid (sekunder)"
"Sign-in verification is temporarily unavailable. Please try again later.","Inloggningsverifiering är inte tillgänglig för tillfället. Försök igen senare."
"Social Login","Sociala inloggningar"
"The linked customer account no longer exists.","Det länkade kundkontot finns inte längre."
"The sign-in provider could not be unlinked.","Inloggningsleverantören kunde inte kopplas bort."
"The sign-in provider has been unlinked.","Inloggningsleverantören har kopplats bort."
"This account is not active.","Detta konto är inte aktivt."
"This customer has no linked sign-in providers.","Denna kund har inga inloggningsleverantörer."
"This sign-in method is not available.","Denna inloggningsmetod är inte tillgänglig."
"Too many attempts. Please try again later.","För många försök. Försök igen senare."
"Unknown sign-in provider.","Okänd inloggningsleverantör."
"Unlink","Avlänka"
"When disabled, only customers with an existing account can sign in with a social provider.","När det är inaktiverat kan endast kunder med ett befintligt konto logga in med en social leverantör."
"You can sign in with these connected providers.","Du kan logga in med dessa anslutna leverantörer."
"You have no connected sign-in providers.","Du har inga anslutna inloggningsleverantörer."
"Your account has been created.","Ditt konto har skapats."
"Your sign-in attempt has expired. Please try again.","Ditt inloggningsförsök har löpt ut. Försök igen."
