"%s %s cycle.","%s %s cykel."
"%s (unavailable)","%s (otillgänglig)"
"* Required Fields","* Obligatoriska fält"
"--Please Select--","--Vänligen välj--"
"3D Secure Card Validation","3D Secure Card Validering"
"<label>Make Check payable to:</label> %s","<label>Kontrollera att betalas:</label> %s"
"Action","Åtgärd"
"Add New Restriction","Lägg till ny begränsning"
"Allow Initial Fee Failure","Tillåt inledande avgift misslyckande"
"An internal reference ID is required to save the payment profile.","Ett internt referens-ID krävs för att spara betalningsprofilen."
"Apply the restriction only if the following conditions are met (leave blank for all)","Tillämpa begränsningen endast om följande villkor är uppfyllda (lämna tomt för alla)"
"Are you sure?","Är du säker?"
"Authorize action is not available.","Auktorisera åtgärd är inte tillgänglig."
"Auto Bill on Next Cycle","Automatisk faktura på nästa cykel"
"Automatically bill the outstanding balance amount in the next billing cycle (if there were failed payments).","Automatiskt fakturera utestående belopp i nästa faktureringscykel (om det var misslyckade betalningar)."
"Automatically Invoice All Items","Fakturera automatiskt alla objekt"
"Bank Transfer Payment","Banköverföring Betalning"
"Billing Agreement status is not set.","Faktureringsavtalets status är inte angiven."
"Billing Amount","Faktureringsbelopp"
"Billing Frequency","Faktureringsfrekvens"
"Billing Period","Faktureringsperiod"
"Billing Period Unit","Faktureringsperiod enhet"
"Billing period unit is not defined or wrong.","Faktureringsperiodens enhet är inte definierad eller felaktig."
"Cannot retrieve the payment info model object.","Kan inte hämta betalningsinformationsmodellens objekt."
"Cannot retrieve the payment information object instance.","Kan inte hämta objektinstansen för betalningsinformation."
"Cannot retrieve the payment method code.","Kan inte hämta betalningsmetodskoden."
"Cannot retrieve the payment method model object.","Kan inte hämta betalningsmodellens objekt."
"Capture action is not available.","Åtgärden för fångst är inte tillgänglig."
"Card Verification Number","Kortets verifieringsnummer"
"Cart Attribute","Kundvagn attribut"
"Cash On Delivery Payment","Kontant vid leverans betalning"
"Change status","Ändra status"
"Check / Money Order","Check / Money Order"
"Conditions","Villkor"
"Conditions Combination","Villkor Kombination"
"Countries","Länder"
"Created At","Skapad den"
"Credit Card Number","Kreditkortsnummer"
"Credit card number mismatch with credit card type.","Kreditkortsnummer matchar inte med kreditkortstyp."
"Credit Card Type","Typ av kreditkort"
"Credit card type is not allowed for this payment method.","Kreditkortstyp är inte tillåtet för denna betalningsmetod."
"Credit Card Types","Typ av kreditkort"
"Currency","Valuta"
"Currency code is undefined.","Valutakoden är odefinierad."
"Customer Groups","Kund grupper"
"Customer ID is not set.","Kund-ID har inte angetts"
"Day","Dag"
"Debug Mode","Felsökningsläge"
"Delete Restriction","Ta bort begränsning"
"Description","Beskrivning"
"Edit","Redigera"
"Edit Restriction","Redigera begränsning"
"Edit Restriction '%s'","Redigera begränsning '%s'"
"Enabled","Aktiverad"
"equals or greater than","är lika med eller större än"
"equals or less than","lika med eller mindre än"
"Expiration Date","Utgångsdatum"
"FOUND","HITTA"
"Full name of the person receiving the product or service paid for by the recurring payment.","Fullständigt namn på den person som får den produkt eller tjänst som betalas av den återkommande betalningen."
"General Information","Allmän information"
"greater than","större än"
"If %s %s %s for a subselection of items in cart matching %s of these conditions:","Om %s %s %s för ett underurval av varor i kundvagnen matchar %s av dessa villkor:"
"If an item is %s in the cart with %s of these conditions true:","Om en artikel är %s i kundvagnen med %s av dessa villkor sant:"
"Incorrect credit card expiration date.","Felaktigt kreditkort utgångsdatum."
"Initial Fee","Inledande avgift"
"Initial non-recurring payment amount due immediately upon profile creation.","Inledande engångssumma som förfaller omedelbart vid skapande av profil."
"Instructions","Instruktioner"
"Internal Reference ID","Internt referens-ID"
"Invalid Credit Card Number","Ogiltigt kreditkortsnummer"
"is","är"
"is not","är inte"
"Issue Number","Ärende nummer"
"less than","mindre än"
"Make Check Payable to","Gör checken betalbar till"
"Make Check payable to:","Gör kontroll betalbar till:"
"Make Check payable to: %s","Gör kontroll betalbar till: %s"
"Maximum Billing Cycles","Maximal faktureringscykler"
"Maximum Order Total","Maximal ordersumma"
"Maximum Payment Failures","Maximalt antal betalningsfel"
"Maximum Trial Billing Cycles","Maximal testperiod Faktureringscykler"
"Minimum Order Total","Minsta ordersumma"
"Month","Månad"
"N/A","N/A"
"Name","Namn"
"Name on Card","Namn på kort"
"New Order Status","Ny orderstatus"
"New Restriction","Ny begränsning"
"NOT FOUND","INTE HITTAD"
"Number of billing periods that make up one billing cycle.","Antal faktureringsperioder som utgör en faktureringscykel."
"Number of Complete Orders","Antal slutförda beställningar"
"Order action is not available.","Order åtgärd är inte tillgänglig."
"Password","Lösenord"
"Payment from Applicable Countries","Betalning från tillämpliga länder"
"Payment from Specific Countries","Betalning från specifika länder"
"Payment Method","Betalningsmetod"
"Payment method code is not set.","Betalningsmetodskoden är inte angiven."
"Payment method code is undefined.","Betalningsmetodskoden är odefinierad."
"Payment Methods","Betalningsmetoder"
"Payment profile is invalid:\n%s","Betalningsprofilen är ogiltig:\n%s"
"Payment Reference ID","Betalnings referens ID"
"Payment Restrictions","Betalningsbegränsningar"
"Payment Services","Betalningstjänster"
"Period frequency is wrong.","Periodens frekvens är fel."
"Please choose a condition to add.","Välj ett villkor att lägga till."
"Please enter a valid credit card verification number.","Ange ett giltigt kreditkortsverifieringsnummer."
"Please select restriction(s).","Välj restriktion(er)."
"Product Attribute","Produktattribut"
"Product attribute combination","Produkt attribut kombination"
"Product Categories","Produktkategorier"
"Products subselection","Delval av produkter"
"Purchase Order","Inköpsorder"
"Purchase Order Number","Beställningsnummer"
"Purchase Order Number:","Ordernummer:"
"Purchase Order Number: %s","Beställningsnummer: %s"
"Recurring Profile Start Date","Startdatum för återkommande profil"
"Recurring profile start date has invalid format.","Startdatum för återkommande profil har ogiltigt format."
"Reference ID is not set.","Referens-ID har inte angetts"
"Refund action is not available.","Återbetalningsåtgärd är inte tillgänglig."
"Repeats %s time(s).","Upprepar %s gång(er)."
"Repeats until suspended or canceled.","Upprepas tills den är avstängd eller avbruten."
"Save Restriction","Spara begränsning"
"Schedule Description","Schemalägg beskrivning"
"Schedule description must be not empty.","Schemabeskrivningen får inte vara tom."
"Selected payment type is not allowed for billing country.","Vald betalningstyp är inte tillåtet för faktureringsland."
"Send Check to","Skicka kryssning till"
"Send Check to:","Skicka check till:"
"Severe 3D Secure Card Validation","Svår 3D Secure Card Validering"
"Shipping Amount","Leveransens belopp"
"Shipping Country","Leveransland"
