"%d items","%d objekt"
"-- Please Select --","-- Välj --"
"Actions","Åtgärder"
"Add Layout Update","Lägg till Layoutuppdatering"
"Add New Widget Instance","Lägg till ny widget-instans"
"All","Alla"
"All Pages","Alla sidor"
"All Product Types","Alla produkttyper"
"Anchor Categories","Ankare Kategorier"
"An error occurred during POST data validation: %s","Ett fel inträffade under validering av POST-data: %s"
"An error occurred during saving a widget: %s","Ett fel inträffade när en widget skulle sparas: %s"
"Apply","Tillämpa"
"Assign to Store Views","Tilldela till butiksvyer"
"Big Image","Stor bild"
"Block Reference","Blockera referens"
"Categories","Kategorier"
"Choose...","Välj..."
"Close","Stäng"
"CMS","CMS"
"Continue","Fortsätt"
"Default Template","Förvald mall"
"Delete","Radera"
"Design Package/Theme","Design paket/tema"
"Error occurs during loading chooser.","Fel uppstod vid laddning av väljare."
"Export to:","Exportera till:"
"Frontend Properties","Egenskaper för frontend"
"Generic Pages","Generella sidor"
"Go to Next page","Gå till Nästa sida"
"Go to Previous page","Gå till föregående sida"
"Images","Bilder"
"Insert Widget...","Insert Widget..."
"Items per page","Artiklar per sida"
"Layout Updates","Layout uppdateringar"
"Manage Widget Instances","Hantera Widget-instanser"
"New Instance","Ny instans"
"New Widget Instance","Ny Widget instans"
"Next page","Nästa sida"
"Non-Anchor Categories","Icke-ankarkategorier"
"Not Selected","Inte markerad"
"of %s","av %s"
"Open Chooser","Öppna väljaren"
"Page","Sida"
"per page","per sida"
"Please Select Block Reference First","Vänligen välj Blockreferens först"
"Previous page","Föregående sida"
"Products","Produkter"
"Remove Layout Update","Ta bort layoutuppdatering"
"Save and Continue Edit","Spara och fortsätt redigera"
"Select All","Markera alla"
"selected","vald"
"Settings","Inställningar"
"Sort Order","Sortera efter"
"Sort Order of widget instances in the same block reference","Sortera efter widget-instanser i samma block referens"
"Specific %s","Specifik %s"
"Specified Page","Angiven sida"
"Template","Mall"
"The information in this tab has been changed.","Informationen i denna flik har ändrats."
"The widget instance has been deleted.","Widget-instansen har tagits bort."
"The widget instance has been saved.","Widget-instansen har sparats."
"This tab contains invalid data. Please solve the problem before saving.","Denna flik innehåller ogiltiga data. Lös problemet innan du sparar."
"Thumbnail","Thumbnail"
"Type","Typ"
"View","Visa"
"Widget","Widget"
"Widget ""%s""","Widget ""%s"""
"Widget ID","Widget ID"
"Widget Instance","Widget instans"
"Widget instance is not full complete to create.","Widget-instansen är inte komplett för att skapa."
"Widget Instance Title","Widget instans titel"
"Widget Options","Widget alternativ"
"Widgets","Widgetar"
"Widget Type","Widget typ"
"Widget Type is not specified","Widget-typen är inte angiven"
"Wrong widget instance specified.","Fel widget-instans angiven."
