"# of Items (and above)","# av objekt (och högre)"
"# of Items vs. Destination","Antal objekt vs. destination"
"An error occurred while import table rates.","Ett fel inträffade när tabellen importerades."
"Calculate Handling Fee","Beräkna hanteringsavgift"
"Carrier:","Transportör:"
"City","Stad"
"Close Window","Stäng fönster"
"Condition","Skick"
"contact us","kontakta oss"
"Country","Land"
"Custom Value","Anpassat värde"
"Date","Datum"
"Delivered on:","Levererad den:"
"Delivered to:","Levereras till:"
"Description","Beskrivning"
"Displayed Error Message","Felmeddelande som visas"
"Divide to equal weight (one request)","Dividera till lika vikt (en begäran)"
"Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"").","Duplicera rad #%s (Land ""%s"", Region/State ""%s"", Zip ""%s"" och värde ""%s"")."
"email us at ","maila oss på "
"Enabled","Aktiverad"
"Error:","Fel:"
"Export","Exportera"
"File has not been imported. See the following list of errors: %s","Filen har inte importerats. Se följande lista över fel: %s"
"Fixed","Fast"
"Flat Rate","schablonbelopp"
" for more information or "," för mer information eller "
"Free Shipping","Fri frakt"
"Handling Fee","Hanteringsavgift"
"Import","Importera"
"Include Virtual Products in Price Calculation","Inkludera virtuella produkter i prisberäkningen"
"Info:","Info:"
"Invalid %s ""%s"" in the Row #%s.","Ogiltig %s ""%s"" i rad #%s."
"Invalid Country ""%s"" in the Row #%s.","Ogiltigt land ""%s"" i rad #%s."
"Invalid Region/State ""%s"" in the Row #%s.","Ogiltig region/stat ""%s"" i rad #%s."
"Invalid Shipping Price ""%s"" in the Row #%s.","Ogiltigt fraktpris ""%s"" i rad #%s."
"Invalid Table Rate code for type %s: %s","Ogiltig tabellkod för typ %s: %s"
"Invalid Table Rate code type: %s","Ogiltig tabell Rate kodtyp: %s"
"Invalid Table Rates File Format","Ogiltigt tabellformat för tabellpriser"
"Invalid Table Rates format in the Row #%s","Ogiltigt tabellformat i raden #%s"
"Local Time","Lokal tid"
"Location","Plats"
"Method Name","Metod Namn"
"Minimum Order Amount","Minsta orderbelopp"
"N/A","N/A"
"None","Ingen"
"Options","Alternativ"
"Order Subtotal (and above)","Ordersumma (och högre)"
"Origin","Ursprung"
"Percent","Procent"
"Per Order","Per beställning"
"Per Package","Per paket"
"Price","Pris"
"Price vs. Destination","Pris kontra destination"
"Region/State","Region/Län"
"Service Type:","Typ av tjänst:"
"Shipment #","Paket #"
"Shipment Tracking Popup","Spårning av leveranser"
"Shipped or billed on:","Levereras eller faktureras på:"
"Shipping Methods","Leveranssätt"
"Shipping Settings","Leveransinställningar"
"Ship to Applicable Countries","Skicka till tillämpliga länder"
"Ship to Specific Countries","Skicka till specifika länder"
"Show Method if Not Applicable","Visa metod om den inte är tillämplig"
"Signed by:","Undertecknad av:"
"Sort Order","Sortera efter"
"Status:","Status:"
"Street Address","Gatuadress"
"Street Address Line 2","Gatuadress rad 2"
"Table Rates","Tabell priser"
"There is no tracking available.","Det finns ingen spårning tillgänglig."
"There is no tracking available for this shipment.","Det finns ingen spårning tillgänglig för denna leverans."
"The shipping module is not available.","Leveransmodulen är inte tillgänglig."
"The shipping module is not available for selected delivery country.","Fraktmodulen är inte tillgänglig för valt leveransland."
"This shipping method is currently unavailable.","Denna leveransmetod är för närvarande inte tillgänglig."
"This shipping method is not available, please specify ZIP-code","Denna fraktmetod är inte tillgänglig, vänligen ange ZIP-kod"
"Title","Titel"
"Track:","Spårning:"
"Tracking Information","Spårning information"
"Tracking information is currently not available. Please ","Spårningsinformation är inte tillgänglig. Vänligen "
"Tracking information is currently unavailable.","Spårningsinformation är för närvarande inte tillgänglig."
"Tracking Number:","Spårnings nummer:"
"Type","Typ"
"Use origin weight (few requests)","Använd ursprungsvikt (få förfrågningar)"
"Weight (and above)","Vikt (och högre)"
"Weight:","Vikt:"
"Weight vs. Destination","Vikt kontra destination"
"ZIP/Postal Code","Postnummer / postnummer"
