"-- Please Select --","-- Välj --"
"0 = never expires. Can be overridden per product.","0 = upphör aldrig. Kan åsidosättas per produkt."
"Action","Åtgärd"
"Active","Aktiv"
"Add a message...","Lägg till ett meddelande..."
"Add New Gift Card","Lägg till nytt presentkort"
"Admin Comment","Admin Kommentar"
"Allow Gift Message","Tillåt gåvomeddelande"
"Allow Message","Tillåt meddelande"
"All Websites","Alla webbplatser"
"Amount","Belopp"
"Amount Range","Belopp intervall"
"An error occurred. Please try again.","Ett fel uppstod. Försök igen."
"Applied Gift Cards:","Tillämpade presentkort:"
"Apply","Tillämpa"
"Apply Gift Card","Tillämpa presentkort"
"Applying...","Tillämpar..."
"Balance","Saldo"
"Balance: %s","Saldo: %s"
"Balance After","Saldo efter"
"Balance Before","Saldo före"
"Can be overridden per product.","Kan åsidosättas per produkt."
"Cannot apply gift card.","Kan inte använda presentkort."
"Cannot remove gift card.","Kan inte ta bort presentkort."
"Card Type","Kortets typ"
"Check","Kontrollera"
"Check Balance","Kontrollera saldo"
"Checking...","Kontrollerar..."
"Code","Kod"
"Code Length","Kod längd"
"Code Prefix (e.g., GC)","Kod Prefix (t.ex., GC)"
"Comma-separated values (e.g., 25,50,100)","Kommaseparerade värden (t.ex. 25,50,100)"
"Created","Skapad"
"Created %d gift card product(s): %s","Skapad %d presentkortsprodukt(er): %s"
"Created At","Skapad den"
"Create Gift Card Products","Skapa presentkortsprodukter"
"Current Balance","Nuvarande saldo"
"Custom Amount","Anpassat belopp"
"Date","Datum"
"Default: %s","Standard: %s"
"Default Expiry (days)","Standard utgångsdatum (dagar)"
"Delete","Radera"
"Delete Gift Card","Ta bort presentkort"
"Disabled","Inaktiverad"
"Edit","Redigera"
"Edit Gift Card '%s'","Redigera presentkort '%s'"
"Edit this to manually adjust the balance. Use ""Admin Comment"" to explain the adjustment.","Redigera detta för att manuellt justera balansen. Använd ""Admin Comment"" för att förklara justeringen."
"Email Sender","E-post avsändare"
"Email Settings","E-post inställningar"
"Email Template","E-post mall"
"Enable Gift Cards","Aktivera presentkort"
"Enter gift card code","Ange presentkort kod"
"Error generating gift card PDF: %s","Fel vid generering av presentkort PDF: %s"
"Expired","Förfallen"
"Expires","Förfaller"
"Expires At","Förfaller vid"
"Fixed + Range","Fast + intervall"
"Fixed Amount(s)","Fast belopp (er)"
"Fixed Amounts","Fasta belopp"
"From","Från"
"From:","Från:"
"Gift Card","Presentkort"
"Gift card ""%s"" has been fully used.","Presentkort ""%s"" har använts fullt ut."
"Gift card ""%s"" has expired.","Presentkort ""%s"" har löpt ut."
"Gift card ""%s"" is already applied.","Presentkort ""%s"" är redan tillämpat."
"Gift card ""%s"" is not active.","Presentkort ""%s"" är inte aktiv."
"Gift card ""%s"" is not valid.","Presentkort ""%s"" är inte giltigt."
"Gift card ""%s"" is not valid for this website.","Presentkort ""%s"" är inte giltigt för denna webbplats."
"Gift card ""%s"" was applied.","Presentkort ""%s"" tillämpades."
"Gift card amount cannot be less than %s","Presentkortets belopp får inte vara mindre än %s"
"Gift card amount cannot be more than %s","Presentkortets belopp får inte vara mer än %s"
"Gift Card Code","Kod för presentkort"
"Gift Card History","Presentkortets historik"
"Gift Card Information","Information om presentkort"
"Gift card not found.","Presentkortet hittades inte."
"Gift Card Notification Email","Presentkortets e-postmeddelande"
"Gift Card Options","Alternativ för presentkort"
"Gift card products cannot be added when a gift card code is applied. Please remove the gift card code first.","Presentkortsprodukter kan inte läggas till när en presentkortskod appliceras. Ta bort presentkortskoden först."
"Gift Cards","Presentkort kort"
"Gift cards cannot be used to purchase gift card products.","Presentkort kan inte användas för att köpa presentkortsprodukter."
"Gift Cards Configuration","Konfiguration av presentkort"
"Gift Card Transaction History","Presentkort transaktionshistorik"
"Gift card was removed.","Presentkortet har tagits bort."
"Gift Certificates","Presentkort"
"Inactive","Inaktiv"
"Initial Balance","Initialt saldo"
"Invalid form key. Please refresh the page and try again.","Ogiltig formulärnyckel. Uppdatera sidan och försök igen."
"Invalid gift card code.","Ogiltig presentkort kod."
"Invalid request.","Ogiltig begäran."
"Leave blank for immediate delivery","Lämna tomt för omedelbar leverans"
"Leave empty to use system default. 0 = never expires.","Lämna tomt för att använda systemstandard. 0 = upphör aldrig."
"Lifetime (days)","Livstid (dagar)"
"Lost cards not replaced","Förlorade kort inte ersatt"
"Manage Gift Cards","Hantera presentkort"
"Maximum Amount","Maximalt belopp"
"Message:","Meddelande:"
"Minimum Amount","Minsta belopp"
"New Gift Card","Nytt presentkort"
