"--Please Select--","--Vänligen välj--"
"Accepted Currency","Accepterad valuta"
"API Login ID","API inloggnings-ID"
"Card Verification Number","Kortets verifieringsnummer"
"Card Verification Number Visual Reference","Kortets verifieringsnummer Visuell referens"
"Close","Stäng"
"Credit Card Number","Kreditkortsnummer"
"Credit Card Type","Typ av kreditkort"
"Credit Card Types","Typ av kreditkort"
"Credit Card Verification","Verifiering av kreditkort"
"Debug","Debug"
"Email Customer","E-post kund"
"Enabled","Aktiverad"
"Expiration Date","Utgångsdatum"
"Gateway URL","Gateway URL"
"Maximum Order Total","Maximal ordersumma"
"Merchant's Email","Köpmannens e-post"
"Minimum Order Total","Minsta ordersumma"
"New Order Status","Ny orderstatus"
"Order saving error: %s","Fel vid ordersparning: %s"
"Payment Action","Betalning åtgärd"
"Payment authorization error.","Fel vid betalningsgodkännande."
"Payment from Applicable Countries","Betalning från tillämpliga länder"
"Payment from Specific Countries","Betalning från specifika länder"
"Sort Order","Sortera efter"
"Test Mode","Testläge"
"The order has been created.","Ordern har skapats."
"There was an error processing your order. Please contact us or try again later.","Det gick inte att bearbeta din beställning. Kontakta oss eller försök igen senare."
"Title","Titel"
"Transaction Key","Transaktionsnyckel"
"What is this?","Vad är detta?"
