"Action","Åtgärd"
"Are you sure you want to restore this version? The current content will be saved as a new version first.","Är du säker på att du vill återställa denna version? Det aktuella innehållet kommer att sparas som en ny version först."
"Back","Tillbaka"
"Blog module is not enabled.","Bloggmodulen är inte aktiverad."
"Blog Post","Blogginlägg"
"CMS Block","CMS Block"
"CMS Page","CMS sida"
"Content has been restored from version. The previous state was saved as a new version.","Innehållet har återställts från versionen. Det tidigare läget har sparats som en ny version."
"Content Version History","Versionshistorik för innehåll"
"Content Versioning","Content Versioning"
"Date","Datum"
"Delete versions older than this many days. Set to 0 for unlimited.","Ta bort äldre versioner än så här många dagar. Sätt till 0 för obegränsat."
"Editor","Redigerare"
"Maximum number of versions to keep per entity. Set to 0 for unlimited.","Maximalt antal versioner att behålla per enhet. Sätt till 0 för obegränsat."
"Max Version Age (Days)","Max versionsålder (dagar)"
"Max Versions Per Entity","Max antal versioner per enhet"
"No versions available. Versions are created when content is saved.","Inga versioner tillgängliga. Versioner skapas när innehållet sparas."
"No version specified.","Ingen version angiven."
"Preview","Förhandsgranska"
"Restore","Återställ"
"Snapshot Data","Ögonblicksbild Data"
"Source entity not found.","Källenhet hittades inte."
"Version","Version"
"Version %s","Version %s"
"Version Details","Versionsuppgifter"
"Version not found.","Versionen hittades inte."
"Versions","Versioner"
