"%s-%s of %s","%s-%s av %s"
"%s - Go to Home Page","%s - Gå till startsidan"
"%s Item(s)","%s objekt"
"-- Please Select --","-- Välj --"
"-- Use Default --","-- Använd standard --"
"1 column","1 kolumn"
"2 columns with left bar","2 kolumner med vänster bar"
"2 columns with right bar","2 kolumner med höger bar"
"3 columns","3 kolumner"
"Account","Konto"
"All Empty Layout Pages","Alla tomma layoutsidor"
"All Minimal Layout Pages","Alla minimala layoutsidor"
"All One-Column Layout Pages","Alla layoutsidor med en kolumn"
"Allow","Tillåt"
"All Pages","Alla sidor"
"All Pages (Print Version)","Alla sidor (utskriftsversion)"
"All Rights Reserved.","Alla rättigheter reserverade."
"All Three-Column Layout Pages","Alla tre kolumner layoutsidor"
"All Two-Column Layout Pages (Left Column)","Alla layoutsidor med två kolumner (vänsterkolumn)"
"All Two-Column Layout Pages (Right Column)","Alla layoutsidor med två kolumner (höger kolumn)"
"Breadcrumbs","Brödsmulor"
"Click <a href=""%s"">here</a> if nothing has happened","Klicka på <a href=""%s"">här</a> om ingenting har hänt"
"Close","Stäng"
"Close Window","Stäng fönster"
"CMS Block","CMS Block"
"Custom Text","Anpassad text"
"Default Description","Förvald beskrivning"
"Demo Store Notice CMS Block","Demo spara meddelande CMS Block"
"Demo Store Notice Text","Text på demobutikens meddelande"
"Deprecated: Use SVG or srcset","Föråldrad: Använd SVG eller srcset"
"Disabled","Inaktiverad"
"Empty","Tom"
"Interface Language","Gränssnittets språk"
"Leave empty to use the default text.","Lämna tomt för att använda standardtexten."
"Left Column","Vänster kolumn"
"Left Column First (shows above main column on smaller screens)","Vänster kolumn först (visar ovanför huvudkolumnen på mindre skärmar)"
"Logo Height (in px)","Logotypens höjd (i px)"
"Logo Width (in px)","Logotyp bredd (i px)"
"Main Content Area","Huvudinnehållsområdet"
"Main Navigation","Huvudnavigering"
"Menu","Meny"
"Minimal","Minimal"
"Navigation Bar","Navigeringsfält"
"Next","Nästa"
"Page:","Sida:"
"Page Bottom","Sidans botten"
"Page Footer","Sidfot"
"Page Header","Sidans sidhuvud"
"Page Top","Sidan överst"
"per page","per sida"
"Previous","Föregående"
"Primary sidebar","Primär sidofält"
"Redirecting...","Omdirigerar..."
"Results per page","Resultat per sida"
"Right Column","Höger kolumn"
"Right sidebar","Höger sidofält"
"Search","Sök"
"Secondary sidebar","Sekundär sidofält"
"Select Store","Välj butik"
"Select Store:","Välj butik:"
"Show","Visa"
"Skip to main content","Hoppa till huvudinnehållet"
"Store Notice","Lagra meddelande"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Detta är en demo butik. Alla beställningar som görs via denna butik kommer inte att hedras eller uppfyllas."
"View All","Visa alla"
"Welcome!","Välkommen!"
"Welcome, %s!","Välkommen, %s!"
"Your Language","Ditt språk"
"Your Language:","Ditt språk:"
