"Access denied.","Åtkomst nekad."
"Api Key confirmation must be same as Api Key.","Api Key bekräftelse måste vara samma som Api Key."
"Api Key must be at least of %d characters.","Api-nyckeln måste innehålla minst %d tecken."
"Api Key must include both numeric and alphabetic characters.","Api Key måste innehålla både numeriska och alfabetiska tecken."
"A user with the same user name or email already exists.","En användare med samma användarnamn eller e-post finns redan."
"Can not find webservice adapter.","Kan inte hitta webservice adapter."
"Client Session Timeout (sec.)","Tidsgräns för klientsessioner (sek.)"
"Default Response Charset","Standard Response Charset"
"Email","E-post"
"Enable WSDL Cache","Aktivera WSDL cache"
"First Name is required field.","Förnamn är obligatoriskt fält."
"General Settings","Allmänna inställningar"
"Invalid webservice adapter specified.","Ogiltig webbtjänstadapter angiven."
"Invalid webservice handler specified.","Ogiltig webbtjänsthanterare angiven."
"Last Name is required field.","Efternamn är obligatoriskt fält."
"Maho Core API","Maho Core API"
"Please enter a valid email.","Ange en giltig e-postadress."
"SOAP/XML-RPC - Roles","SOAP/XML-RPC - Roller"
"SOAP/XML-RPC - Users","SOAP/XML-RPC - Användare"
"Unable to login.","Kunde inte logga in."
"User Name","Användarnamn"
"User Name is required field.","Användarnamn är obligatoriskt fält."
"Web Services","Webbtjänster"
"WS-I Compliance","WS-I efterlevnad"
"Your account has been deactivated.","Ditt konto har inaktiverats."
