"%s Screenshot","%s skärmdump"
"%s violation(s)","%s kränkningar(er)"
"Accessibility Scan","Tillgänglighet Skanna"
"Accessibility Scan Report","Tillgänglighet Skanna Rapport"
"Accessibility Violations","Brott mot tillgänglighet"
"Advanced","Avancerat"
"Are you sure you want to delete this scan?","Är du säker på att du vill ta bort denna skanning?"
"axe-core could not automatically evaluate %s check(s) (for example, color contrast over an image). Review them manually.","axe-core kunde inte automatiskt utvärdera %s kontroller (till exempel färgkontrast över en bild). Granska dem manuellt."
"Back","Tillbaka"
"CLI","KLI"
"Command failed (exit code %s): %s","Kommandot misslyckades (exit kod %s): %s"
"Command timed out after %s seconds: %s","Kommandot gick ut efter %s sekunder: %s"
"Complete","Complete"
"Completed","Slutförd"
"Conformance level used when starting a scan without an explicit level.","Konformansnivå som används när en skanning startas utan en explicit nivå."
"Critical","Kritisk"
"Cron expression. Default: <strong>0 3 * * *</strong> (daily at 3am).","Cron uttryck. Standard: <strong>0 3 * *</strong> (dagligen kl 3am)."
"Cron Schedule","Cron Schema"
"Date","Datum"
"Default WCAG Level","Standard WCAG nivå"
"Delete","Radera"
"Delete Scans After","Ta bort skanningar efter"
"Desktop","Skrivbord"
"Desktop Viewport","Desktop Viewport"
"Enabled","Aktiverad"
"Export PDF","Exportera PDF"
"Failed","Misslyckades"
"Fix all of the following","Fixa alla följande"
"Fix any of the following","Fixa något av följande"
"General Settings","Allmänna inställningar"
"How to fix","Hur man fixar"
"HTML","HTML"
"ID","ID"
"Invalid scan URL ""%s"": every URL must belong to one of the configured store base URLs","Ogiltig skannings-URL ""%s"": varje URL måste tillhöra en av de konfigurerade butiksbas-URL:erna"
"Learn more","Läs mer"
"Manual","Manuell"
"Maximum time in seconds to wait for a single page scan.","Maximal tid i sekunder för att vänta på en sökning."
"Minor","Mindre"
"Mobile","Mobil"
"Mobile Viewport","Mobil Viewport"
"Moderate","Måttlig"
"Needs Review","Kräver granskning"
"No automatically detectable violations were found. Automated checks cover only part of WCAG, so manual testing with a keyboard and a screen reader is still recommended.","Inga automatiskt upptäckbara överträdelser hittades. Automatiserade kontroller täcker endast en del av WCAG, så manuell testning med tangentbord och en skärmläsare rekommenderas fortfarande."
"Node.js %s is installed, but the scanner requires version %s or newer.","Node.js %s är installerad, men skannern kräver version %s eller senare."
"Node.js Binary Path","Node.js binära sökväg"
"Node.js was not found (looking for ""%s""). Install Node.js %s or newer, or set its full path in System > Configuration > Accessibility Scan.","Node.js hittades inte (letar efter ""%s""). Installera noden. s %s eller nyare, eller ange sin fullständiga sökväg i System > Konfiguration > Tillgänglighetsskanning."
"npm Binary Path","Binär sökväg för npm"
"npm was not found (looking for ""%s""). Install it together with Node.js, or set its full path in System > Configuration > Accessibility Scan.","npm hittades inte (letar efter ""%s""). Installera det tillsammans med Node. s, eller ställ in hela sökvägen i System > Konfiguration > Tillgänglighetsskanning."
"One URL per line. Every URL must belong to one of the configured store base URLs.","En URL per rad. Varje URL måste tillhöra en av de konfigurerade butiksbas-URL:erna."
"Page Title","Sidans titel"
"Path to the node executable. Default: node","Sökväg till noden körbar. Standard: nod"
"Path to the npm executable. Default: npm","Sökväg till npm körbar. Standard: npm"
"Pending","Väntande"
"Periodically scan the URLs below via cron, using the default WCAG level.","Skanna regelbundet webbadresserna nedan via cron, med standard WCAG-nivå."
"Please provide a valid URL to scan","Ange en giltig URL att skanna"
"Run a New Scan","Kör en ny skanning"
"Running","Körs"
"Scan #%s","Skanna #%s"
"Scan failed","Skanna misslyckades"
"Scan failed: %s","Scan misslyckades: %s"
"Scan History","Skanna historik"
"Scan ID","Skanna ID"
"Scanning... this can take a couple of minutes.","Skanna... detta kan ta ett par minuter."
"Scan not found","Skanning hittades inte"
"Scan Results","Skanna resultat"
"Scans older than this many days are deleted automatically. 0 keeps everything.","Skannar äldre än så här många dagar raderas automatiskt. 0 håller allt."
"Scan Timeout","Skanna Timeout"
"Scheduled","Schemalagda"
"Scheduled Scans","Schemalagda skanningar"
"Selector","Välj"
"Serious","Allvarlig"
"Show on desktop screenshot","Visa på skärmdump på skrivbordet"
"Show on mobile screenshot","Visa på mobil skärmdump"
"Source","Källa"
"Started","Startad"
"Start Scan","Starta skanning"
"Status","Status"
"Summary","Summary"
"System","System"
"Template","Mall"
"Template Source","Mall Källa"
"The scan has been deleted.","Skannen har tagits bort."
"The scanner cannot run on this server yet:","Skannern kan inte köras på denna server ännu:"
"The scanner returned an unexpected result","Skannern returnerade ett oväntat resultat"
"The scanner runtime is not installed yet. Run ""./maho accessibility:install"" from the command line to install it.","Skannern runtime är inte installerat ännu. Kör ""./maho tillgänglighet:install"" från kommandoraden för att installera den."
"The URL to scan must belong to one of the configured store base URLs","Webbadressen att skanna måste tillhöra en av de konfigurerade butiksbas-URL:erna"
"This report was generated with automated checks (axe-core), which detect only a subset of WCAG success criteria. A report with no violations does not guarantee conformance; manual testing with a keyboard and a screen reader is still required.","Denna rapport genererades med automatiserade kontroller (axe-core), som endast känner av en delmängd av WCAG-framgångskriterier. En rapport utan överträdelser garanterar inte överensstämmelse, manuell testning med tangentbord och en skärmläsare krävs fortfarande."
"Total","Totalt"
"Total Scans","Totalt antal skanningar"
"Total Violations","Totalt antal överträdelser"
"Unable to acquire the scanner install lock","Det går inte att skaffa låset för att installera skannern"
"Unable to copy the scanner script to %s","Det går inte att kopiera skannerskriptet till %s"
"Unable to create directory %s","Kunde inte skapa katalog %s"
"Unable to start process: %s","Det går inte att starta processen: %s"
"URL","URL"
"URLs to Scan","Webbadresser till Skanna"
"URL to scan","URL att skanna"
"URL to scan, e.g. https://store.example.com/","URL att skanna, t.ex. https://store.example.com/"
"Violation #%s: %s","Brott #%s: %s"
"Violations","Överträdelser"
"Violations (Latest Scan)","Brott (Senaste skanning)"
"WCAG %s","WCAG %s"
"WCAG 2.2 Level A","WCAG 2.2 nivå A"
"WCAG 2.2 Level AA","WCAG 2.2 nivå AA"
"WCAG 2.2 Level AAA","WCAG 2.2 nivå AAA"
"WCAG Level","WCAG nivå"
"Width x height in CSS pixels, scanned with mobile emulation. Default: 390x844","Bredd x höjd i CSS-pixlar, skannad med mobil emulering. Standard: 390x844"
"Width x height in CSS pixels. Every scan runs one pass per viewport. Default: 1280x1024","Bredd x höjd i CSS-pixlar. Varje skanning kör ett pass per viewport. Standard: 1280x1024"
