"-- Please Select --","-- Välj --"
"Account Created In Store","Konto skapat i butik"
"Action","Åtgärd"
"Active","Aktiv"
"Added to Cart Date","Lades till i varukorgen"
"Added to Wishlist Date","Lades till i önskelistans datum"
"Add Email Step","Lägg till e-poststeg"
"Add New Segment","Lägg till nytt segment"
"Address","Adress"
"Address Information","Adress Information"
"Add Segment","Lägg till segment"
"Allow Overlapping Sequences","Tillåt överlappande sekvenser"
"Allow starting new sequences while existing ones are still active for the same customer","Tillåt start av nya sekvenser medan befintliga fortfarande är aktiva för samma kund"
"Applied Promotion Rules","Tillämpade kampanjregler"
"Are you sure?","Är du säker?"
"Are you sure you want to delete this sequence step?","Är du säker på att du vill ta bort denna sekvens steg?"
"Are you sure you want to refresh this segment?","Är du säker på att du vill uppdatera detta segment?"
"Assign to Website","Tilldela till webbplats"
"At least one email sequence is required when automation is enabled.","Minst en e-postsekvens krävs när automatisering är aktiverad."
"Automatic","Automatisk"
"Automatic: Refreshed daily via cron. Manual: Must be refreshed manually.","Automatiska: Uppdateras dagligen via cron. Handbok: Måste uppdateras manuellt."
"Average Days Between Orders","Genomsnittliga dagar mellan order"
"Average Order Value","Genomsnittligt ordervärde"
"Back to Segment","Tillbaka till Segment"
"Base Row Total","Basrad totalt"
"Base Sales Rule","Bas försäljning regel"
"Bundle Product","Paketerbjudande Produkt"
"Cart","Kundvagn"
"Cart Created Date","Kundvagn skapad Datum"
"Cart Items","Varukorgen objekt"
"Cart Status","Status för kundvagn"
"Cart Updated Date","Kundvagn uppdaterad datum"
"Change status","Ändra status"
"Completed","Slutförd"
"Conditions (leave blank for all customers)","Villkor (lämna tomt för alla kunder)"
"Configurable Product","Konfigurerbar produkt"
"Coupon expiration days","Kupong utgångsdagar"
"Coupon expiration days cannot be negative.","Kupongens utgångsdagar kan inte vara negativa."
"Coupon Generation Settings","Kuponggenereringsinställningar"
"Coupon Prefix","Kupongprefix"
"Customer","Kund"
"Customer ID is required.","Kund ID måste fyllas i."
"Customer Lifetime Value","Livstidsvärde för kunden"
"Customer Personal Information","Kund personlig information"
"Customer Segment","Kundsegment"
"Customer Since","Kund sedan"
"Customers in Segment","Kunder inom Segment"
"Customer Time-based","Tidsbaserad från kund"
"days","dagar"
"Days Inactive (No Login or Order)","Dagar inaktiva (ingen inloggning eller beställning)"
"Days Since Added to Wishlist","Dagar sedan lagts till i önskelistan"
"Days Since First Order","Dagar sedan första ordern"
"Days Since Last Login","Dagar sedan senaste inloggning"
"Days Since Last Order","Dagar sedan senaste ordern"
"Days Since Last View","Dagar sedan senaste vyn"
"Days Since Registration","Dagar sedan registrering"
"Days Until Birthday","Dagar till födelsedag"
"Days Without Purchase","Dagar utan köp"
"Delay","Fördröjning"
"Delay (Minutes)","Fördröjning (protokoll)"
"Delay before sending","Fördröjning innan du skickar"
