"%d product(s) were updated","%d produkt(er) uppdaterades"
"%s (Default Template from Locale)","%s (standardmall från lokalt)"
"%s cache type(s) disabled.","%s cachetyper inaktiverade."
"%s cache type(s) enabled.","%s cachetyper aktiverade."
"%s cache type(s) refreshed.","%s cache typ(er) uppdaterade."
"(%s/%s/%s)","(%s/%s/%s)"
"(For Type ""Local Server"" need to use relative path to Magento install var/export or var/import, e.g. var/export, var/import, var/export/some/dir, var/import/some/dir)","(För typ ""Local Server"" måste använda relativ sökväg till Magento installera var/export eller var/import, t.ex. var/export, var/import, var/export/some/dir, var/import/some/dir)"
"(For US 2-letter state names)","(För delstatsnamn i USA med 2-bokstav)"
"(If left empty will be auto-generated)","(Om det lämnas tomt kommer det att genereras automatiskt)"
"(Leave empty for first spreadsheet)","(Lämna tomt för första kalkylblad)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Produkter kommer att läggas till/uppdateras till denna butik om kolumnen 'lagra' är tom eller saknas i importfilen.)"
"(Starting with)","(Börja med)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(När 'Nej', endast mappade fält kommer att importeras. Vid mappning, använd 'kolumn1', 'kolumn2', etc.)"
"(You have to increase php memory_limit before changing this value)","(Du måste öka php memory_limit innan du ändrar detta värde)"
"(\\t for tab)","(\\t för flik)"
"* - If indexing is in progress, it will be killed and new indexing process will start.","* - Om indexering pågår, kommer det att dödas och ny indexeringsprocess kommer att starta."
"* Required Fields","* Obligatoriska fält"
"-- Not Selected --","-- Inte markerad --"
"-- Please Select --","-- Välj --"
"-- Please select --","-- Välj --"
"--Please Select--","--Vänligen välj--"
"-- Please Select a Category --","-- Välj en kategori --"
"-- Please Select Billing Agreement--","-- Välj faktureringsavtal --"
"1 Hour","1 timme"
"2 Hours","2 timmar"
"2FA verification code:","2FA verifieringskod:"
"2FA verification code is invalid.","2FA verifieringskod är ogiltig."
"2YTD","2YTD"
"6 Hours","6 timmar"
"12 Hours","12 timmar"
"12h AM/PM","12 timmar AM/PM"
"24 Hours","24 timmar"
"24h","24t"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404 fel</h1><p>sidan hittades inte.</p>"
"<strong>%s</strong> requests access to your account","<strong>%s</strong> begär åtkomst till ditt konto"
"Abandoned Carts","Övergivna vagnar"
"Access Denied","Åtkomst nekad"
"Access denied","Åtkomst nekad"
"Access denied.","Åtkomst nekad."
"Account Created in:","Konto skapat i:"
"Account Created on (%s):","Konto skapat på (%s):"
"Account Created on:","Konto skapat:"
"Account Information","Kontoinformation"
"Account Status","Konto Status"
"Account status","Konto status"
"Action","Åtgärd"
"Actions","Åtgärder"
"Actions XML","Åtgärder XML"
"Active","Aktiv"
"Add","Lägg till"
"Add after","Lägg till efter"
"Add Exception","Lägg till undantag"
"Add Field Mapping","Lägg till fältmappning"
"Add Field with URL:","Lägg till fält med URL:"
"Additional Cache Management","Ytterligare cachehantering"
"Add New","Lägg till ny"
"Add New Block","Lägg till nytt block"
"Add New Image","Lägg till ny bild"
"Add New Profile","Lägg till ny profil"
"Add New Role","Lägg till ny roll"
"Add New Template","Lägg till ny mall"
"Add New URL Rewrite","Lägg till ny URL-omskrivning"
"Add New User","Lägg till ny användare"
"Add New Variable","Lägg till ny variabel"
"Add new variable","Lägg till ny variabel"
