"Add","Lägg till"
"Add links and samples to downloadable product","Lägg till länkar och prover till nedladdningsbar produkt"
"Add New Row","Lägg till ny rad"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","Alfanumeriska, bindestreck och understreck tecken rekommenderas för filnamn. Felaktiga tecken ersätts med '_'."
"An error occurred while getting the requested content.","Ett fel inträffade när det begärda innehållet skulle hämtas."
"An error occurred while getting the requested content. Please contact the store owner.","Ett fel inträffade vid hämtning av önskat innehåll. Kontakta butiksägaren."
"An error occurred while saving the file(s).","Ett fel inträffade när filen sparades."
"attachment","bilaga"
"Availability:","Tillgänglighet:"
"Back","Tillbaka"
"Canceled","Avbruten"
"Cannot connect to remote host, error: %s.","Kan inte ansluta till fjärrvärden, fel: %s."
"Catalog Product View (Downloadable)","Katalog Produktvy (nedladdningsbar)"
"Category API","Kategori API"
"Customer My Account Downloadable Items","Nedladdningsbara artiklar för kund"
"Date","Datum"
"Default Link Title","Default Link Title"
"Default Maximum Number of Downloads","Maximalt antal nedladdningar som standard"
"Default Sample Title","Standard exempeltitel"
"Delete","Radera"
"Disable Guest Checkout if Cart Contains Downloadable Items","Inaktivera gästkassan om varukorgen innehåller nedladdningsbara objekt"
"Disable Sample","Inaktivera exempel"
"download","ladda ner"
"Downloadable Information","Nedladdningsbar information"
"Downloadable Product","Nedladdningsbar produkt"
"Downloadable Product Options","Nedladdningsbara produktalternativ"
"Edit","Redigera"
"Edit item parameters","Redigera parametrar för objekt"
"Excl. Tax","Exkl. Moms"
"File","Fil"
"File:","Fil:"
"From:","Från:"
"Gift Message","Meddelande till gåvan"
"Go to <a href=""%s"">My Downloadable Products</a>","Gå till <a href=""%s"">Mina nedladdningsbara produkter</a>"
"Guest checkout will only work with shareable.","Gäst kassan kommer endast att fungera med delbara."
"Incl. Tax","Inkl. Moms"
"inline","inline"
"In stock","I lager"
"Invalid download link type.","Ogiltig länk för nedladdning."
"Invalid download URL host.","Ogiltig URL för nedladdning."
"Invalid download URL scheme.","Ogiltig URL för nedladdning."
"Invalid file path.","Ogiltig sökväg."
"Invoiced","Fakturerad"
"Links can be purchased separately","Länkar kan köpas separat"
"List","Lista"
"Max. Downloads","Max. nedladdningar"
"Message:","Meddelande:"
"Move","Flytta"
"Move to wishlist","Flytta till önskelistan"
"My Downloadable Products","Mina nedladdningsbara produkter"
"Open Links in New Window","Öppna länkar i nytt fönster"
"Order #","Beställning #"
"Ordered","Beställd"
"Order id cannot be null","Order-id kan inte vara null"
"Order item id cannot be null","Order-id kan inte vara null"
"Order Item Status to Enable Downloads","Status för beställningsobjekt för att aktivera nedladdningar"
"Out of stock","Slut i lager"
"Pending","Väntande"
"Please log in to download your product.","Logga in för att ladda ner din produkt."
"Please log in to download your product or purchase <a href=""%s"">%s</a>.","Logga in för att ladda ner din produkt eller köp <a href=""%s"">%s</a>."
"Please set resource file and link type.","Ange resursfil och länktyp."
"Please specify product link(s).","Vänligen ange produktlänk(ar)."
"Price","Pris"
"Product downloadable links","Produkt nedladdningsbara länkar"
"Qty","Antal"
"Refunded","Återbetald"
"Remaining Downloads","Återstående nedladdningar"
"Remove","Radera"
"Remove Item","Ta bort artikel"
"Remove links and samples from downloadable product","Ta bort länkar och prover från nedladdningsbar produkt"
"Requested link does not exist.","Begärd länk finns inte."
"Retrieve links and samples list from downloadable product","Hämta länkar och exempellista från nedladdningsbar produkt"
"Sample","Prov"
"sample","exempel"
"See price before order confirmation.","Se pris innan orderbekräftelse."
"Shareable","Delbar"
"Shipped","Skickad"
"SKU","Artikelnr"
"Sorry, there was an error getting requested content. Please contact the store owner.","Tyvärr, ett fel uppstod vid hämtning av efterfrågat innehåll. Kontakta butiksägaren."
"Sort Order","Sortera efter"
"Start Download","Starta nedladdning"
"Status","Status"
"Subtotal","Delsumma"
"The file does not exist.","Filen finns inte."
"The link has expired.","Länken har löpt ut."
"The link is not available.","Länken är inte tillgänglig."
"There are files that were selected but not uploaded yet. Please upload or remove them first","Det finns filer som har valts men inte laddats upp ännu. Ladda upp eller ta bort dem först"
"Title","Titel"
"To:","Till:"
"U","U"
"Unlimited","Obegränsad"
"Update","Uppdatera"
"URL:","URL:"
"Use Content-Disposition","Använd innehållsdisposition"
"Use Default Value","Använd standardvärde"
"View Order","Visa beställning"
"What's this?","Vad är detta?"
"You have not purchased any downloadable products yet.","Du har inte köpt några nedladdningsbara produkter ännu."
