"%s file does not exists or is not readable","%s -filen finns inte eller är inte läsbar"
"-- Please Select --","-- Välj --"
"Adapter must be an instance of Mage_ImportExport_Model_Import_Adapter_Abstract","Adapter måste vara en instans av Mage_ImportExport_Model_Import_Adapter_Abstract"
"Adapter object must be an instance of %s","Adapter objekt måste vara en instans av %s"
"Adapter type must be a non empty string","Adapter typ måste vara en icke-tom sträng"
"Append Complex Data","Lägg till komplexa data"
"Attribute Code","Attributkod"
"Attribute does not has options, so filtering is impossible","Attributet har inga alternativ, så filtrering är omöjligt"
"Attribute Label","Attributetikett"
"Auto_increment column not found for table %s","Auto_increment-kolumn hittades inte för tabell %s"
"Begin data validation","Påbörja validering av data"
"Begin export of %s","Påbörja export av %s"
"Begin import of ""%s"" with ""%s"" behavior","Börja importera ""%s"" med ""%s"" beteende"
"Can not determine attribute filter type","Kan inte bestämma attribut filtertyp"
"Can not find required columns: %s","Kan inte hitta obligatoriska kolumner: %s"
"Cannot get table status for %s","Kan inte hämta tabellstatus för %s"
"Categories","Kategorier"
"Check Data","Kontrollera data"
"Checked rows: %d, checked entities: %d, invalid rows: %d, total errors: %d","Kontrollerade rader: %d, kontrollerade enheter: %d, ogiltiga rader: %d, totala fel: %d"
"Column names: ""%s"" are invalid","Kolumnnamn: ""%s"" är ogiltiga"
"Column names have duplicates","Kolumnnamn har dubbletter"
"Column names is empty or is not an array","Kolumnnamn är tomt eller är inte en array"
"CSV","CSV"
"Customers","Kunder"
"Data is invalid or file is not uploaded","Data är ogiltigt eller filen är inte uppladdad"
"Delete Entities","Ta bort entiteter"
"Destination directory is not writable","Destinationskatalogen är inte skrivbar"
"Destination file is not writable","Målfilen är inte skrivbar"
"Destination file path must be a string","Sökvägen till målfilen måste vara en sträng"
"Done import data validation","Validering av utförd importdata"
"Duplicate Unique Attribute for '%s'","Duplicera unika attribut för '%s'"
"Each data row must be an array","Varje datarad måste vara en array"
"Entity adapter object must be an instance of Mage_ImportExport_Model_Import_Entity_Abstract","Entity adapter object måste vara en instans av Mage_ImportExport_Model_Import_Entity_Abstract"
"Entity is unknown","Enheten är okänd"
"Entity Type","Typ av enhet"
"Entity type model must be an instance of Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract","Enhet typ modell måste vara en instans av Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract"
"Entity type model must be an instance of Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract","Enhet typ modell måste vara en instans av Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract"
"Error in data structure: behaviors are mixed","Fel i datastruktur: beteenden blandas"
"Error in data structure: entity codes are mixed","Fel i datastrukturen: enhetskoder blandas"
"Errors limit (%d) reached. Please fix errors and re-upload file","Felgräns (%d) nådd. Vänligen åtgärda fel och ladda upp filen igen"
"Escape CSV fields","Fly CSV-fält"
"Export","Exportera"
"Exported %s rows.","Exporterade %s rader."
"Export File Format","Exportera filformat"
"Export has been done.","Export har gjorts."
"Export Settings","Exportera inställningar"
"File does not contain data.","Filen innehåller inte data."
"File does not contain data. Please upload another one","Filen innehåller inte data. Ladda upp en annan"
"File format is unknown","Filformatet är okänt"
"File is partially valid, but import is not possible","Filen är delvis giltig, men import är inte möjlig"
"File is totally invalid. Please fix errors and re-upload file","Filen är helt ogiltig. Vänligen åtgärda fel och ladda upp filen igen"
"File is valid! To start import process press ""Import"" button","Filen är giltig! För att starta importprocessen trycker du på knappen ""Importera"""
"File is valid, but import is not possible","Filen är giltig, men import är inte möjlig"
"File was not uploaded","Filen laddades inte upp"
"Filter","Filtrera"
"From","Från"
"Header column names already set","Rubrik kolumnnamn har redan angetts"
"Import","Importera"
"Import/Export","Importera/Export"
"Import Behavior","Importera beteende"
"Import CSV","Importera CSV"
"Import has been done successfuly.","Importen har slutförts."
"Import Settings","Importera inställningar"
"Import successfully done.","Importering slutförd."
"Incorrect entity type","Felaktig entitetstyp"
"Input entity code is not equal to entity adapter code","Inmatningsenhetskoden är inte lika med entitetskoden"
"in rows","i rader"
"in rows:","i rader:"
"Invalid entity","Ogiltig enhet"
"Invalid entity model","Ogiltig enhetsmodell"
"Invalid file format","Ogiltigt filformat"
"Invalid parameters","Ogiltiga parametrar"
"Invalid seek position","Ogiltig sökposition"
"Invalid seek position: %d","Ogiltig sökposition: %d"
"Invalid value for '%s'","Ogiltigt värde för '%s'"
"Invalid value for '%s' column","Ogiltigt värde för kolumnen '%s'"
"No data provided for import","Ingen data angiven för import"
"No data rows found after header processing","Inga datarader hittades efter header-behandling"
"Node does not has model token tag","Noden har inte modelltoken tagg"
"No filter data provided","Ingen filterdata angiven"
"No source specified","Ingen källa angiven"
"Not implemented yet","Inte implementerat ännu"
"No valid data sent","Inga giltiga data skickade"
"No writer specified","Ingen författare angiven"
"Please fix errors and re-upload file","Vänligen åtgärda fel och ladda upp filen igen"
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","Vänligen åtgärda fel och ladda upp filen igen eller tryck bara på ""Importera"" knappen för att hoppa över rader med fel"
"Products","Produkter"
"Replace Existing Complex Data","Ersätt befintlig komplex data"
"Row %d is not an array","Rad %d är inte en array"
"Row %d missing columns: %s","Row %d missing columns: %s"
"Select File to Import","Välj fil att importera"
"Skip","Hoppa"
"Source data array cannot be empty","Källdatarrayen kan inte vara tom"
"Source data must be an array","Källdata måste vara en array"
"Source file moving failed","Flyttning av källfil misslyckades"
"Source is not set","Källan är inte inställd"
"Source must be a string file path or array","Källan måste vara en sökväg för strängfil eller array"
"Status","Status"
"There are no product types available for export","Det finns inga produkttyper tillgängliga för export"
"There is no data for export","Det finns inga data för export"
"To","Till"
"Total size of uploadable files must not exceed %s","Total storlek på uppladdningsbara filer får inte överstiga %s"
"Unknown attribute filter type","Okänt attribut filtertyp"
"Uploaded file has no extension","Den uppladdade filen har inget tillägg"
"Validation finished successfully","Validering slutförd"
