"Action","Åtgärd"
"Add Sitemap","Lägg till sajtkarta"
"Add Sitemap Lines","Lägg till Sitemap Lines"
"Adds the full text of every active CMS page of this store view. Products and categories stay out: the sitemaps address them one URL at a time. When off, /llms-full.txt answers 404.","Lägger till fulltext för varje aktiv CMS-sida i denna butiksvy. Produkter och kategorier förblir ute: webbplatskartorna adresserar dem en URL åt gången. När de är avstängda, svarar /llms-full.txt 404."
"AI search crawlers (blocking these removes the store from AI answers)","AI sök krypskyttar (blockera dessa tar bort butiken från AI svar)"
"Always","Alltid"
"Appended to the generated file. Groups written here keep their own rules and also receive the base rules above. A group that carries its own Content-Signal line keeps it, and the configured signals are left out of that group.","Bifogat till den genererade filen. Grupper som skrivs här behåller sina egna regler och får även basreglerna ovan. En grupp som bär sin egen Content-Signal linje behåller den, och de konfigurerade signalerna lämnas utanför den gruppen."
"Base Rules","Bas regler"
"Blocked AI Crawlers","Blockerade AI Crawlers"
"Categories Options","Kategorier Alternativ"
"CMS Pages Options","Alternativ för CMS sidor"
"Content Signal: ai-input","Innehållssignal: ai-input"
"Content Signal: ai-train","Innehåll Signal: ai-train"
"Content Signal: search","Innehållssignal: sök"
"Content Signal: use","Innehållssignal: använd"
"Content signals state what a crawler may do with the pages it reads, on a Content-Signal line in the wildcard group. They are a stated condition of access, not an enforcement mechanism, and no crawler is obliged to honour them. This one covers building a search index and returning links and short excerpts, and does not cover AI generated summaries.","Innehållssignaler anger vad en sökare kan göra med de sidor den läser, på en Innehållssignallinje i jokerteckningsgruppen. De är ett angivet villkor för tillgång, inte en verkställighetsmekanism, och ingen sökare är skyldig att respektera dem. Den här omfattar att bygga ett sökindex och returnera länkar och korta utdrag, och täcker inte AI genererade sammanfattningar."
"Crawlers & robots.txt","Crawlers & robots.txt"
"Custom Instructions","Anpassade instruktioner"
"Daily","Dagligen"
"Do not show in sitemap","Visa inte i sitemap"
"Each agent selected here gets its own group with Disallow: /. Blocking an AI search crawler removes the store from AI answers, so block only what you mean to. To block an agent that this list does not name, write its group in Custom Instructions below.","Varje agent som väljs här får sin egen grupp med Disallow: /. Blockera en AI-sökning crawler tar bort butiken från AI svar, så blockera bara vad du menar med. För att blockera en agent som denna lista inte namn, skriv dess grupp i Custom Instructions nedan."
"Edit Sitemap","Redigera sajtkarta"
"Enabled","Aktiverad"
"Error Email Recipient","Mottagare för e-postfel"
"Error Email Sender","Error Email Sender"
"Error Email Template","E-postmall för fel"
"Extra Content","Extra Content"
"Feeding the pages to an AI model at answer time, which is how a store reaches AI search answers. Reserving it asks assistants to leave the store out of their answers.","Utfodra sidorna till en AI-modell vid svarstid, vilket är hur en butik når AI söksvar. Reservera det ber assistenter att lämna butiken utanför sina svar."
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","Filen ""%s"" kan inte sparas. Se till att katalogen ""%s"" är skrivbar av webbservern."
"Filename","Filnamn"
"Frequency","Frekvens"
"Full: keep and reuse the content","Full: behåll och återanvänd innehållet"
"Generate","Generera"
"Generate llms-full.txt","Generera llms-full.txt"
"Generate llms.txt","Generera llms.txt"
"Generate robots.txt","Generate robots.txt"
"Generation Settings","Generationsinställningar"
