"Add","Lägg till"
"ALL","ALLA"
"ANY","NÅGON"
"Apply","Tillämpa"
"by","av"
"Conditions Combination","Villkor Kombination"
"contains","innehåller"
"Customer Groups must be specified.","Kundgrupper måste anges."
"does not contain","innehåller inte"
"End Date must be greater than Start Date.","Slutdatum måste vara större än Startdatum."
"equals or greater than","är lika med eller större än"
"equals or less than","lika med eller mindre än"
"FALSE","FALSKT"
"from","från"
"greater than","större än"
"If %s of these conditions are %s:","Om %s av dessa villkor är %s:"
"Invalid discount amount.","Ogiltigt rabattbelopp."
"is","är"
"is not","är inte"
"is not one of","är inte en av"
"is one of","är en av"
"less than","mindre än"
"Open Chooser","Öppna väljaren"
"Perform following actions","Utför följande åtgärder"
"Please choose a condition to add...","Välj ett villkor att lägga till..."
"Please choose an action to add...","Välj en åtgärd att lägga till..."
"Remove","Radera"
"There is no information about associated entity type ""%s"".","Det finns ingen information om associerad entitetstyp ""%s""."
"to","till"
"TRUE","SANT"
"Websites must be specified.","Webbplatser måste anges."
