"%1$s incl tax.","%1$s inkl moms."
"* Required Fields","* Obligatoriska fält"
"-- Select --","-- Välj --"
"Add New Option","Lägg till nytt alternativ"
"Add Selection","Lägg till markering"
"and","och"
"Bundle Items","Paketera objekt"
"Bundle Product","Paketerbjudande Produkt"
"Buy %1$s","Köp %1$s"
"Buy %1$s for","Köp %1$s för"
"Buy %1$s for %2$s","Köp %1$s för %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Köp %1$s för %2$s (%3$s inkl. moms) vardera"
"Buy %1$s for %2$s each","Köp %1$s för %2$s varje"
"Buy %1$s with %2$s discount each","Köp %1$s med %2$s rabatt varje"
"Catalog Product View (Bundle)","Katalog Produktvy (Bundle)"
"Checkbox","Kryssruta"
"Choose a selection...","Välj ett urval..."
"Click for price","Klicka för pris"
"Close","Stäng"
"Default","Standard"
"Default Qty","Default Qty"
"Default Title","Default Title"
"Drop-down","Drop-down"
"Dynamic","Dynamisk"
"each","varje"
"Excl. Tax","Exkl. Moms"
"Excl. Tax:","Exkl. moms:"
"Fixed","Fast"
"From","Från"
"From:","Från:"
"Gift Message","Meddelande till gåvan"
"Incl. Tax","Inkl. Moms"
"Incl. Tax:","Inklusive moms:"
"Input Type","Input Type"
"Is Required","Krävs"
"Message:","Meddelande:"
"Multiple Select","Flera val"
"N/A","N/A"
"None","Ingen"
"No options of this product are available.","Det finns inga alternativ för denna produkt."
"Percent","Procent"
"Percent Discount","Procent rabatt"
"Please enter a number greater 0 in this field.","Ange ett tal som är större 0 i detta fält."
"Please enter search conditions to view products.","Ange sökvillkor för att se produkter."
"Please select options for product.","Välj alternativ för produkten."
"Please Select Products to Add","Välj produkter att lägga till"
"Please specify product option(s).","Ange produktalternativ(er)."
"Position","Befattning"
"Price as configured","Pris som konfigurerat"
"Price Range","Prisintervall"
"Price Type","Pris typ"
"Qty:","Antal:"
"Radio Buttons","Radioknappar"
"Required options are not selected.","Obligatoriska alternativ är inte valda."
"save","spara"
"Selected required options are not available.","Valda obligatoriska alternativ är inte tillgängliga."
"Separately","Separat"
"Ship Bundle Items","Fartygets paketartiklar"
"Shipment","Paket"
"SKU","Artikelnr"
"Store View Title","Butikens vy titel"
"There is no defined renderer for ""%s"" option type.","Det finns ingen definierad renderare för ""%s"" alternativtyp."
"This product is also part of bundle(s)","Denna produkt är också en del av paket(ar)"
"To","Till"
"To:","Till:"
"Together","Tillsammans"
"Total incl. Tax: %1$s","Totalt inkl. moms: %1$s"
"Use Default Value","Använd standardvärde"
"User Defined Qty","Användardefinierat antal"
