"Action","Åtgärd"
"Activities","Aktiviteter"
"Activity Information","Aktivitet Information"
"Activity Log","Aktivitet Logg"
"Activity log entry not found","Aktivitetslogg hittades inte"
"Admin Activity Log","Admin aktivitetslogg"
"Back","Tillbaka"
"Configuration","Konfiguration"
"Create","Skapa"
"CSV","CSV"
"Date/Time","Datum/Tid"
"Days to Keep Logs","Dagar att behålla loggar"
"Delete","Radera"
"Enable Admin Activity Log","Aktivera Admin aktivitetslogg"
"Entity","Enhet"
"Entity Type","Typ av enhet"
"Excel XML","Excel XML"
"Failed","Misslyckades"
"Failure Reason","Misslyckad anledning"
"General Settings","Allmänna inställningar"
"ID","ID"
"IP Address","IP-adress"
"Log Delete Actions","Logga ta bort åtgärder"
"Log Failed Login Attempts","Logg misslyckade inloggningsförsök"
"Login","Inloggning"
"Login Activity","Inloggningens aktivitet"
"Log Login/Logout Activity","Logga in/utloggning aktivitet"
"Log Mass Actions","Logga massåtgärder"
"Logout","Utloggning"
"Log Page Visits","Logga sidbesök"
"Log Save Actions","Logga Spara Åtgärder"
"Number of days to keep activity logs. Set to 0 to keep forever.","Antal dagar att hålla aktivitetsloggar. Sätt till 0 för att hålla för evigt."
"Request URL","URL för begäran"
"Status","Status"
"Success","Klart"
"System","System"
"Type","Typ"
"Update","Uppdatera"
"URL","URL"
"Username","Användarnamn"
"View","Visa"
"View Activity Log","Visa aktivitetslogg"
"View Activity Log Entry #%s","Visa aktivitet logg #%s"
"View Login Activity","Visa inloggningsaktivitet"
