"Add","Lägg till"
"Add gift message for shopping cart","Lägg till presentmeddelande för varukorg"
"Add gift messages for quote item of shopping cart","Lägg till presentmeddelanden för offertartikel i kundvagnen"
"Add gift messages to products of shopping cart","Lägg till presentmeddelanden till produkter i kundvagnen"
"Add gift options.","Lägg till presentalternativ."
"Add gift options for Individual Items","Lägg till presentalternativ för enskilda objekt"
"Add gift options for the Entire Order","Lägg till presentalternativ för hela beställningen"
"Allow Gift Messages for Order Items","Tillåt gåvomeddelanden för orderartiklar"
"Allow Gift Messages on Order Level","Tillåt gåvomeddelanden på ordernivå"
"An error occurred while saving the gift message.","Ett fel inträffade när presentmeddelandet skulle sparas."
"Are you sure?","Är du säker?"
"Cancel","Avbryt"
"Do you have any gift items in your order?","Har du några presentartiklar i din beställning?"
"Edit","Redigera"
"From","Från"
"Gift Message","Meddelande till gåvan"
"Gift Message API","API för presentmeddelande"
"Gift Options","Alternativ för gåva"
"Gift Options for Individual Items","Gåvoptioner för enskilda föremål"
"Gift Options for the Entire Order.","Gåvoptioner för hela ordern."
"Item %d of %d","Objekt %d %d"
"Message","Meddelande"
"No","Nej"
"Save Gift Message","Spara gåvomeddelande"
"The gift message has been saved.","Gåvomeddelandet har sparats."
"To","Till"
"Unknown entity type","Okänd entitetstyp"
"Use config","Använd konfiguration"
"Yes","Ja"
"You can leave this box blank if you do not wish to add a gift message for the item.","Du kan lämna denna ruta tom om du inte vill lägga till ett presentmeddelande för objektet."
"You can leave this box blank if you do not wish to add a gift message for whole order.","Du kan lämna denna ruta tom om du inte vill lägga till ett presentmeddelande för hela beställningen."
