"%s message(s) discarded.","%s meddelande(n) kasserade."
"%s message(s) re-queued.","%s meddelande(n) åter i kö."
"%s message(s) were skipped: only failed or stuck messages without a newer copy of their dedupe key can be retried.","%s meddelande(n) hoppades över: bara misslyckade eller fastnade meddelanden utan en nyare kopia av deras dedupe nyckel kan hämtas."
"%s queue message(s) were claimed by a worker that never finished. They are not re-queued automatically: <a href=""%s"">retry or discard them</a>.","%s kömeddelande(er) hävdades av en arbetare som aldrig blev färdig. De köas inte om automatiskt: <a href=""%s"">försök igen eller kasta dem</a>."
"0 keeps failed messages forever.","0 behåller misslyckade meddelanden för alltid."
"0 removes messages immediately on success; a positive value keeps them visible in the grid for this many days.","0 tar bort meddelanden omedelbart vid framgång, ett positivt värde håller dem synliga i rutnätet för så här många dagar."
"Action","Åtgärd"
"Available","Tillgänglig"
"Available (UTC)","Tillgänglig (UTC)"
"Back","Tillbaka"
"Background message processing. Maho cron keeps one detached ""queue:work"" worker running per pool: a resident ""fast"" worker so short jobs never queue behind long ones, plus a ""slow"" catch-all started only while it has work. Both are respawned within a minute if they die. Pools are declared in config.xml under global/queue/pools.","Bearbetning av bakgrundsmeddelanden. Maho cron håller en fristående ""kö:work"" arbetare som kör per pool: en bosatt ""snabb"" arbetare så korta jobb aldrig köa bakom långa, plus en ""långsam"" catch-all började bara medan det har arbete. Båda är återupptagna inom en minut om de dör. Poolerna deklareras i config.xml under global/kö/pooler."
"Body (serialized)","Kropp (serialiserad)"
"Claimed (UTC)","Claimed (UTC)"
"Completed","Slutförd"
"Discard","Ignorera"
"Discard Messages","Ignorera meddelanden"
"Each retry waits this many times longer than the previous one.","Varje försök väntar så här många gånger längre än den föregående."
"Error","Fel"
"Failed","Misslyckades"
"Failed messages are retried this many times with exponential backoff, then marked failed.","Misslyckade meddelanden ångras så här många gånger med exponentiell backoff, sedan markerade misslyckades."
"ID","ID"
"Initial Retry Delay (seconds)","Fördröjning av försök igen (sekunder)"
"Keep Completed Messages (days)","Behåll slutförda meddelanden (dagar)"
"Keep Failed Messages (days)","Behåll misslyckade meddelanden (dagar)"
"Max Retries","Max antal försök"
"Max Retry Delay (seconds)","Max fördröjning igen (sekunder)"
"Message","Meddelande"
"Message #%s","Meddelande #%s"
"Message Class","Message Class"
"Message Details","Meddelande Detaljer"
"Message discarded.","Meddelandet har kasserats."
"Message not found.","Meddelandet hittades inte."
"Message Queue","Kö för meddelande"
"Message re-queued.","Meddelande åter i kö."
"Pending","Väntande"
"Permanently delete the selected messages?","Ta bort de markerade meddelandena permanent?"
"Permanently delete this message?","Ta bort detta meddelande permanent?"
"Processed (UTC)","Bearbetad (UTC)"
"Processing","Bearbetar"
"Queue","Kö"
"Queued","Köad"
"Queued (UTC)","Queued (UTC)"
"Re-queue the selected messages?","Återställa de valda meddelanden?"
"Re-queue this message?","Köa om detta meddelande?"
"Retries","Försök"
"Retry","Försök igen"
"Retry Delay Multiplier","Fördröjning igen Multiplikator"
"Retry Messages","Försök igen meddelanden"
"Status","Status"
"The message was not retried: only failed or stuck messages without a newer copy of their dedupe key can be retried.","Meddelandet hämtades inte: endast misslyckade eller fastnade meddelanden utan en nyare kopia av deras dedupe-nyckel kan hämtas."
"Upper bound for the backoff. 0 means no bound.","Övre gräns för backoff. 0 betyder ingen bunden."
"View","Visa"
"View Messages","Visa meddelanden"
