"and %s more posts","och %s fler inlägg"
"and %s more products, listed in the XML sitemap","och %s fler produkter, listade i XML-webbplatskartan"
"Attribute","Attribut"
"Availability","Tillgänglighet"
"Backorder","Backorder"
"Blog","Blogg"
"Brand","Varumärke"
"Cache Lifetime (seconds)","Cachens livslängd (sekunder)"
"Description","Beskrivning"
"Enabled","Aktiverad"
"from %s to %s","från %s till %s"
"Image","Bild"
"Images","Bilder"
"In stock","I lager"
"Limited availability","Begränsad tillgänglighet"
"Markdown for AI agents","Markdown för AI-agenter"
"Not Found","Hittades inte"
"One route prefix per line, as module/controller/action. Only these pages get a markdown version. A route needs a renderer declared under global/contentnegotiation/renderers in a config.xml.","Ett ruttprefix per rad, som modul/styrenhet/åtgärd. Endast dessa sidor får en markdownversion. En ruttplan behöver en renderare deklarerad under global/contentnegotiation/renderare i en config.xml."
"Options","Alternativ"
"Out of stock","Slut i lager"
"Price","Pris"
"Product","Produkt"
"Products","Produkter"
"Published","Publicerad"
"regular price %s","ordinarie pris %s"
"Routes","Rutter"
"Serves a markdown version of a page when the request sends <code>Accept: text/markdown</code> or when the URL ends with <code>.md</code>. Browsers keep the HTML page. HTML pages announce the markdown version with a <code>Link</code> header.","Serves a markdown version of a page when the request send <code>Accept: text/markdown</code> or when the URL ends with <code>. d</code>. Webbläsare behåller HTML-sidan. HTML-sidor tillkännager markdown versionen med en <code>länk</code> rubrik."
"Specifications","Specifikationer"
"Subcategories","Underkategorier"
"The markdown is cached with the Blocks HTML output cache. A product, category, page or post save clears its entry. 0 disables the cache.","Markdown är cachad med Blocks HTML-utgång cache. En produkt, kategori, sida eller inlägg spara rensar sin post. 0 inaktiverar cachen."
"There are no posts yet.","Det finns inga inlägg ännu."
"There are no products in this category.","Det finns inga produkter i denna kategori."
"This page has no markdown version.","Denna sida har ingen markdown version."
"Value","Värde"
