"%s items queued for embedding.","%s objekt köade för inbäddning."
"Action","Åtgärd"
"AI","AI"
"AI: could not refresh models for %s. See exception.log.","AI: kunde inte uppdatera modeller för %s. Se undantag.log."
"AI: refreshed %d models for %s.","AI: uppdaterade %d modeller för %s."
"AI Configuration","AI konfiguration"
"AI Task #%s","AI Task #%s"
"AI Task History","AI Task History"
"AI Usage","AI användning"
"already queued","redan köad"
"Async Queue","Async-kö"
"Auto-embed Categories","Auto-inbäddade kategorier"
"Auto-embed Products","Auto-inbädda produkter"
"Back","Tillbaka"
"Background","Bakgrund"
"Blocked Input Patterns","Blockerade inmatningsmönster"
"Calls","Samtal"
"Cancelled","Avbruten"
"Categories (%s active)","Kategorier (%s aktiv)"
"Complete","Complete"
"Completed","Slutförd"
"Completion","Slutförande"
"Consumer","Konsument"
"Context","Kontext"
"Current Configuration","Nuvarande konfiguration"
"Default AI Provider","Default AI Provider"
"Default Placeholder Height","Standardplatshållarens höjd"
"Default Placeholder Width","Standardplatshållarens bredd"
"Disabled","Inaktiverad"
"e.g. http://localhost:11434","e.g. http://localhost:11434"
"e.g. openai/gpt-4o, anthropic/claude-sonnet-4-6, google/gemini-2.0-flash","t.ex. openai/gpt-4o, antrop/claude-sonnet-4-6, google/gemini-2.0-flash"
"Embedding","Embedding"
"Embeddings","Inbäddning"
"Embeddings are disabled. Enable them under System &gt; AI &gt; Embed Settings before queuing.","Inbäddning är inaktiverad. Aktivera dem under System &gt; AI &gt; Inbädda inställningar innan kö."
"Embed Provider","Bädda in leverantör"
"Embed Status","Bädda in Status"
"Enable Async Queue","Aktivera Async-kö"
"Enabled","Aktiverad"
"Enable Embeddings","Aktivera inbäddning"
"Enable Image Generation","Aktivera bildgenerering"
"Error","Fel"
"Error: ","Fel: "
"Estimated completion: ~%d hours %d minutes.","Beräknad slutförande: ~%d timmar %d minuter."
"Estimated completion: ~%d minutes.","Beräknad slutförande: ~%d minuter."
"Failed","Misslyckades"
"Failed to fetch models. See exception.log for details.","Det gick inte att hämta modeller. Se undantag.logg för detaljer."
"Fetching...","Hämtar..."
"Flag responses containing email addresses, phone numbers, or SSNs.","Flagga svar som innehåller e-postadresser, telefonnummer eller SSN."
"Google Embed Model","Google Bädda in modell"
"ID","ID"
"Image","Bild"
"Image Generation","Bildgenerering"
"Image Provider","Bildleverantör"
"Input Tokens","Input Tokens"
"Interactive","Interaktiv"
"In Tokens","I Tokens"
"Log Requests","Loggförfrågningar"
"Max seconds a task can run before being marked as failed.","Max sekunder en uppgift kan köras innan den markeras som misslyckad."
"Max Tasks Per Cron Run","Max antal uppgifter Per Cron Run"
"Messages","Meddelanden"
"Mistral Embed Model","Mistral bädda in modell"
"Model","Modell"
