"(not processed yet)","(neprocesat încă)"
"0 disables the limit.","0 dezactivează limita."
"<strong>Enabling this alone does not display the button.</strong> The law requires the revocation button to stay permanently visible during the withdrawal period, but only your theme knows where that is. After enabling, you must place the <strong>Revocation Button</strong> widget in a block shown on every storefront page (typically the footer). Until you do, the form exists at <em>/revocation</em> but nothing links to it.","<strong>Activarea doar asta nu afișează butonul.</strong> Legea cere ca butonul de revocare să rămână permanent vizibil în timpul perioadei de retragere, dar numai tema ta știe unde este asta. După activare, trebuie să plasați widget-ul <strong>Butonul de Anulare</strong> într-un bloc afișat pe fiecare pagină din magazin (de obicei subsolul). Până când faci acest lucru, formularul există la <em>/revocation</em> dar nimic nu este legat de acesta."
"Abuse Protection","Protecție abuzivă"
"Accepted","Acceptat"
"Accepting or rejecting only records the decision and adds a note to this order. The order status, state, and any refund are left unchanged.","Acceptarea sau respingerea înregistrării numai a deciziei și adăugarea unei note la această comandă. Starea comenzii, starea și orice rambursare rămân neschimbate."
"Accept Revocation","Acceptați revocarea"
"Accept this revocation? This records the decision and adds a note to the matched order. No order status or refund changes automatically.","Acceptați această revocare? Această înregistrare a deciziei și adăugați o notă la comanda potrivită. Nici o stare de comandă sau rambursare nu se modifică automat."
"A confirmation email is on its way to you.","Un e-mail de confirmare este în drum spre tine."
"Adds an invisible trap field. Submissions that fill it are silently dropped as bot traffic.","Adaugă un câmp de capcane invizibil. Trimiterile care îl completează sunt aruncate silențios ca trafic de bot."
"Back","Înapoi"
"Button Label","Eticheta butonului"
"Cooling-Off Period (Days)","Perioadă de răcire (zile)"
"create a credit memo","creează o notă de credit"
"CSV","CSV"
"Customer Name","Nume client"
"Customer Receipt Template","Șablon chitanță client"
"Customer submitted revocation request #%s via their account.","Clientul a trimis cererea de revocare #%s prin contul lor."
"Custom Label","Etichetă personalizată"
"Declaration (read-only legal record)","Declarație (înregistrare juridică numai în citire)"
"Email","E-mail"
"Email Sender","Expeditor e-mail"
"Email Settings","Setări e-mail"
"Email Suppressed","E-mail suprimat"
"Enabled","Activat"
"EU Directive 2023/2673 (in Germany: &sect;356a BGB) requires B2C shops selling into the EU to provide a revocation button from 19 June 2026. This module provides that channel.","Directiva 2023/2673 a UE (în Germania: &sect;356a BGB) impune magazinelor B2C care vând în UE să furnizeze un buton de revocare începând cu 19 iunie 2026. Acest modul furnizează acest canal."
"Further requests are still recorded, but the customer receipt email is suppressed (visible and resendable in the admin grid). Defeats email-bombing of third parties. 0 disables the limit.","Cereri suplimentare sunt încă înregistrate, dar e-mailul de confirmare a clientului este suprimat (vizibil și retrimis în grila de administrator). Înfrânge bombardarea cu emailuri a unor terțe părți. 0 dezactivează limita."
"General","Generalități"
"Honeypot Field","Câmp Honeypot"
"ID","ID"
"If you do not receive a confirmation email within a few minutes, please contact us at %s and quote your reference number.","Dacă nu primești un e-mail de confirmare în câteva minute, te rugăm să ne contactezi la %s și să citezi numărul tău de referință."
"I hereby revoke this contract","Prin prezenta, revoc acest contract"
"Information Requested","Informații solicitate"
"Internal Note","Notă Internă"
"Invalid decision.","Decizie invalidă."
"Invalid form key. Please refresh the page and try again.","Cheie formular nevalidă. Vă rugăm să reîncărcați pagina și să încercați din nou."
"IP Address","Adresă IP"
"Leave empty to use the General Contact email address.","Lăsaţi necompletat pentru a utiliza adresa generală de e-mail."
"Leave empty to use the label configured under Sales > Revocation Button.","Lăsați gol pentru a utiliza eticheta configurată în Vânzări > Buton de Anulare."
"Leave empty to use the translated default (""Revoke contract"" / ""Vertrag widerrufen"").","Lăsați necompletat pentru a utiliza traducerea implicită (""Revocă contract"" / ""Vertrag widerrufen"")."
"Link Order","Ordine legchar@@0turchar@@1"
"Link to order (increment ID):","Link la comandă (increment ID):"
