"Action","Acțiune"
"Are you sure you want to restore this version? The current content will be saved as a new version first.","Ești sigur că vrei să restaurezi această versiune? Conținutul curent va fi salvat mai întâi ca versiune nouă."
"Back","Înapoi"
"Blog module is not enabled.","Modulul de blog nu este activat."
"Blog Post","Postare pe blog"
"CMS Block","Bloc CMS"
"CMS Page","Pagina CMS"
"Content has been restored from version. The previous state was saved as a new version.","Conținutul a fost restaurat din versiune. Starea anterioară a fost salvată ca o versiune nouă."
"Content Version History","Istoric Versiuni de Conținut"
"Content Versioning","Content Versioning"
"Date","Data"
"Delete versions older than this many days. Set to 0 for unlimited.","Ştergeţi versiunile mai vechi de atâtea zile. Setaţi la 0 pentru nelimitat."
"Editor","Editor"
"Maximum number of versions to keep per entity. Set to 0 for unlimited.","Numărul maxim de versiuni pentru fiecare entitate. Setați la 0 pentru nelimitat."
"Max Version Age (Days)","Vârsta Maximă a Versiunii (Zile)"
"Max Versions Per Entity","Maxim Versiuni per Entitate"
"No versions available. Versions are created when content is saved.","Nu există versiuni disponibile. Versiunile sunt create atunci când conținutul este salvat."
"No version specified.","Nici o versiune specificată."
"Preview","Previzualizare"
"Restore","Restaurează"
"Snapshot Data","Date instantaneu"
"Source entity not found.","Entitatea sursă nu a fost găsită."
"Version","Versiune"
"Version %s","Versiunea %s"
"Version Details","Detalii versiune"
"Version not found.","Versiunea nu a fost găsită."
"Versions","Versiuni"
