"%d Review(s)","%d Recenzie(i)"
"1 star","1 stea"
"2 stars","2 stele"
"3 stars","3 stele"
"4 stars","4 stele"
"5 stars","5 stele"
"<a href=""%1$s"" onclick=""this.target='blank'"">%2$s</a> <a href=""mailto:%3$s"">(%3$s)</a>","<a href=""%1$s"" onclick=""this.target='blank'"">%2$s</a> <a href=""mailto:%3$s"">(%3$s)</a>"
"Add New Review","Adaugă o recenzie nouă"
"Administrator","Administrator"
"Allow Guests to Write Reviews","Permite vizitatorilor să scrie recenzii"
"All Reviews","Toate Recenzii"
"All Reviews of Customer `%s`","Toate Recenziile Clientului `%s`"
"All Reviews of Product `%s`","Toate examinările produsului `%s`"
"Approved","Aprobat"
"Are you sure?","Ești sigur?"
"Are you sure you want to do this?","Ești sigur că vrei să faci asta?"
"Average Customer Rating:","Evaluare medie a clientului:"
"Back","Înapoi"
"Back to My Reviews","Înapoi la Recenziile mele"
"Be the First to Review","Fii primul care recenzie"
"Be the first to review this product","Fii tu primul(a) care revizuieste acest produs"
"Cancel","Anulează"
"Close","Inchide"
"Created On","Creat la"
"Customer","Client"
"Customer My Account Product Reviews","Recenzii despre contul meu de produs client"
"Customer My Account Review Details","Detalii verificare cont client"
"Customer Reviews","Recenzii Client"
"Customers Reviews","Recenzii clienti"
"Delete","Ștergere"
"Delete Review","Șterge Recenzie"
"Detailed Rating","Evaluare detaliată"
"Edit Review '%s'","Editează Recenzia '%s'"
"Guest","Vizitator"
"ID","ID"
"Manage Ratings","Gestionare evaluări"
"My Product Reviews","Comentariile mele despre produse"
"My Recent Reviews","Recenzii mele recente"
"Name","Nume"
"Name in Store","Nume în magazin"
"New Review","Recenzie Noua"
"Nickname","Porecla"
"Nickname can't be empty","Porecla nu poate fi goală"
"Not Approved","Nu este aprobat"
"Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>","Doar utilizatorii înregistrați pot scrie recenzii. Vă rugăm, <a href=""%s"">logați-vă la</a> sau <a href=""%s"">înregistrați</a>"
"Pending","In asteptare"
"Pending Reviews","Recenzii în așteptare"
"Pending Reviews of Customer `%s`","În aşteptarea revizuirilor Clientului `%s`"
"Per IP address. Default 5 per hour. 0 to disable.","Per adresă IP. Implicit 5 pe oră. 0 pentru dezactivare."
"Please select a rating for each category","Vă rugăm să selectați o evaluare pentru fiecare categorie"
"Posted By","Postat de"
"Price","Preț"
"Product","Produs"
"Product Name","Nume produs"
"Product Rating","Evaluare produs"
"Product Reviews","Recenzii produs"
"Product SKU","Cod produs"
"Products Reviews","Recenzii Produse"
"Qty","Cantitate"
"Rating:","Evaluare:"
"Review","Revizuire"
"Review (submitted on %s):","Recenzie (depusă la %s):"
"Review can't be empty","Recenzia nu poate fi goală"
"Review Details","Detalii revizie"
"Review Form Fields Before","Examinați câmpurile înainte de formular"
"Reviews","Recenzii"
"Reviews and Ratings","Evaluări și evaluări"
"Review submit","Recenzie trimitere"
"Review summary can't be empty","Rezumatul recenziei nu poate fi gol"
"Save Review","Salvează Recenzia"
"SKU","SKU"
"Status","Status"
"Submit Review","Trimite Recenzie"
"Summary","Summary"
"Summary of Review","Rezumatul revizuirii"
"Summary Rating","Evaluare sumar"
"This product has no reviews yet","Acest produs nu are încă recenzii"
"Title","Titlu"
"Type","Tip"
"Unable to post the review.","Nu se poate posta recenzia."
"Update Status","Actualizare status"
"View All Reviews","Vezi toate recenziile"
"View Details","Vezi detalii"
"Visible In","Vizibil în"
"Websites","Site-uri"
"Write a Review","Scrie o recenzie"
"You're reviewing:","Recenzia dvs.:"
"You have submitted no reviews.","Nu ați depus nicio opinie."
"Your Rating:","Evaluarea ta:"
"Your Review (submitted on %s):","Opinia dumneavoastră (depusă la %s):"
"Your review has been accepted for moderation.","Recenzia dvs. a fost acceptată pentru moderare."
