"%s and greater","%s și mai mare"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d articol(e)</strong> au fost găsite folosind următoarele criterii de căutare"
"A daily cron job deletes terms that found no products and were searched only once. Terms with a synonym or a redirect stay.","O activitate cron zilnică șterge termenii care nu au găsit produse și au fost căutați o singură dată. Termenii cu un sinonim sau o ședere redirectă."
"Advanced Search","Căutare avansată"
"Advanced Search Form","Formular de căutare avansat"
"Advanced Search Result","Rezultat Căutare Avansată"
"All","Toate"
"Applies for ""Like"" search type only.","Aplică doar pentru tipul de căutare ""Like""."
"Apply Layered Navigation if Search Results are Less Than","Aplică navigarea în straturi dacă rezultatele căutării sunt mai mici decât"
"Autogenerated Site Map","Hartă site auto-generată"
"Boost SKU Matches in Search Results","Îmbunătățește meciurile SKU din rezultatele căutării"
"Catalog Advanced Search","Catalog de căutare avansată"
"Catalog Search","Cautare catalog"
"Catalog Search Index","Index căutare catalog"
"Categories","Categorii"
"Clear","Curăță"
"Delete Old Search Terms","Șterge termenii vechi de căutare"
"Delete Old Search Terms After (days)","Ştergeţi vechii termeni de căutare După (zile)"
"Don't see what you're looking for?","Nu vezi ce cauți?"
"Enable Category Search in Autosuggest","Activare Căutare Categorie în AutoSugerează"
"Enter ""0"" to enable layered navigation for any number of results.","Introduceți ""0"" pentru a activa navigarea în straturi pentru orice număr de rezultate."
"Fulltext Separator","Fulltext Separator"
"Go to Home Page","Du-te la pagina principală"
"Grid","Grilă"
"Home","Acasă"
"List","Listă"
"Maximum Categories in Autosuggest","Categorii maxime în AutoSugar"
"Maximum Query Length","Lungimea maximă a interogării"
"Maximum Query Words Count","Numărul maxim de cuvinte interogate"
"Maximum Search query length is %s. Your query was cut.","Lungimea maximă a interogării este %s. Interogarea dvs. a fost tăiată."
"Maximum words count is %1$s. In your search query was cut next part: %2$s.","Numărul maxim de cuvinte este %1$s. În interogarea de căutare a fost tăiată partea următoare: %2$s."
"Minimal Query Length","Lungime minimă de interogare"
"Minimum Search query length is %s","Lungimea minimă a interogării este %s"
"Modify your search","Modifică căutarea"
"No","Nr"
"No items were found using the following search criteria.","Nu au fost găsite elemente folosind următoarele criterii de căutare."
"Please specify at least one search term.","Vă rugăm să specificaţi cel puţin un termen de căutare."
"Popular Search Terms","Termeni de căutare populari"
"Prices cannot be searched in %s: there is no exchange rate for it.","Prețurile nu pot fi căutate în %s: nu există o rată de schimb pentru ea."
"Products","Produse"
"Quick Search Form","Formular de căutare rapidă"
"Rebuild Catalog product fulltext search index","Reconstruieşte indexul de căutare în Catalog a produsului complet"
"Redirect to product page if search generates one result","Redirectioneaza la pagina produsului daca cautarea genereaza un rezultat"
"Relevance","Relevanță"
"Results","Rezultate"
"Search","Caută"
"Search:","Căutare:"
"Search always works. Above this number, the term is not saved in the search terms report. Enter ""0"" for no limit.","Căutarea funcționează. Peste acest număr, termenul nu este salvat în raportul de căutare. Introduceți ""0"" pentru nicio limită."
"Search entire store here...","Caută în tot magazinul aici..."
"Search results for '%s'","Rezultatele căutării pentru '%s'"
"Search results for: '%s'","Rezultatele căutării pentru: '%s'"
"Search Settings","Setări căutare"
"Search Terms","Termeni de căutare"
"Search Terms Logged per Hour per Visitor","Căutare termeni înregistrați pe oră pe vizitator"
"Search Type","Tipul de căutare"
"Show Autocomplete Results Count","Arată numărul de rezultate autocomplete"
"Specified date is invalid.","Data specificată nu este validă."
"Subscribe to Feed","Abonează-te la Feed"
"up to %s","până la %s"
"View all %s results","Vezi toate rezultatele %s"
"When enabled and SKU is searchable, products matching by SKU are boosted to the top of search results.","Când este activat și SKU este căutabil, produsele care se potrivesc cu SKU sunt amplificate în vârful rezultatelor de căutare."
"Yes","Da"
"Your search returns no results.","Căutarea dvs. nu returnează niciun rezultat."
