"# of Items (and above)","# de Articole (şi de mai sus)"
"# of Items vs. Destination","# de Elemente vs. Destinație"
"An error occurred while import table rates.","A aparut o eroare la ratele tabelelor de import."
"Calculate Handling Fee","Calculează taxa de manipulare"
"Carrier:","Curier:"
"City","Oraș"
"Close Window","Închide fereastra"
"Condition","Condiție"
"contact us","contactează-ne"
"Country","Țară"
"Custom Value","Valoare personalizată"
"Date","Data"
"Delivered on:","Livrat la:"
"Delivered to:","Livrat la:"
"Description","Descriere"
"Displayed Error Message","Mesaj de eroare afișat"
"Divide to equal weight (one request)","Împărțiți la o greutate egală (o cerere)"
"Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"").","Duplicate Rând #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"")."
"email us at ","trimite-ne un e-mail la "
"Enabled","Activat"
"Error:","Eroare:"
"Export","Exportă"
"File has not been imported. See the following list of errors: %s","Fișierul nu a fost importat. Vezi următoarea listă de erori: %s"
"Fixed","Fixat"
"Flat Rate","Rată fixă"
" for more information or "," pentru mai multe informații sau "
"Free Shipping","Livrare gratuită"
"Handling Fee","Taxă de manipulare"
"Import","Importă"
"Include Virtual Products in Price Calculation","Include produsele virtuale în calculul prețului"
"Info:","Informații:"
"Invalid %s ""%s"" in the Row #%s.","%s ""%s"" nevalid în rândul #%s."
"Invalid Country ""%s"" in the Row #%s.","Ţară nevalidă ""%s"" în rândul #%s."
"Invalid Region/State ""%s"" in the Row #%s.","Regiune/județ ""%s"" în rândul #%s."
"Invalid Shipping Price ""%s"" in the Row #%s.","Preț de livrare nevalid ""%s"" în rândul #%s."
"Invalid Table Rate code for type %s: %s","Cod nevalid al ratei tabelelor pentru tipul %s: %s"
"Invalid Table Rate code type: %s","Tip de cod pentru tariful tabelelor invalid: %s"
"Invalid Table Rates File Format","Format invalid de fisier tabele rate"
"Invalid Table Rates format in the Row #%s","Format nevalid al ratelor tabelelor în rândul #%s"
"Local Time","Ora locală"
"Location","Locaţie"
"Method Name","Numele metodei"
"Minimum Order Amount","Valoarea minimă a comenzii"
"N/A","N/A"
"None","Niciunul"
"Options","Opţiuni"
"Order Subtotal (and above)","Subtotal (și mai sus) comenzi"
"Origin","Origine"
"Percent","Procent"
"Per Order","Per comandă"
"Per Package","Pe pachet"
"Price","Preț"
"Price vs. Destination","Preț vs. destinație"
"Region/State","Regiune/Stat"
"Service Type:","Tip serviciu:"
"Shipment #","Expediere #"
"Shipment Tracking Popup","Popup Urmărire Expediere"
"Shipped or billed on:","Livrat sau facturat la:"
"Shipping Methods","Metode de livrare"
"Shipping Settings","Setări de livrare"
"Ship to Applicable Countries","Livrare către țările candidate"
"Ship to Specific Countries","Livrare la anumite țări"
"Show Method if Not Applicable","Arată metoda dacă nu se aplică"
"Signed by:","Semnat de:"
"Sort Order","Ordinea de sortare"
"Status:","Stare:"
"Street Address","Adresa stradala"
"Street Address Line 2","Adresă stradă linia 2"
"Table Rates","Rata tabelelor"
"There is no tracking available.","Nu există nici o urmărire disponibilă."
"There is no tracking available for this shipment.","Nu există nici o urmărire disponibilă pentru acest transport."
"The shipping module is not available.","Modulul de livrare nu este disponibil."
"The shipping module is not available for selected delivery country.","Modulul de livrare nu este disponibil pentru tara de livrare selectata."
"This shipping method is currently unavailable.","Aceasta metoda de livrare este momentan indisponibila."
"This shipping method is not available, please specify ZIP-code","Această metodă de transport nu este disponibilă, vă rugăm să specificaţi codul ZIP-code"
"Title","Titlu"
"Track:","Urmărire:"
"Tracking Information","Informaţii de urmărire"
"Tracking information is currently not available. Please ","Informaţiile de urmărire nu sunt disponibile momentan. Vă rugăm să "
"Tracking information is currently unavailable.","Informațiile de urmărire sunt momentan indisponibile."
"Tracking Number:","Număr de urmărire:"
"Type","Tip"
"Use origin weight (few requests)","Folosește greutatea originii (puține cereri)"
"Weight (and above)","Greutate (și mai mare)"
"Weight:","Greutate:"
"Weight vs. Destination","Greutate vs. destinație"
"ZIP/Postal Code","Cod poștal"
