"Action","Acțiune"
"Activities","Activităţi"
"Activity Information","Informații activitate"
"Activity Log","Jurnal de activitate"
"Activity log entry not found","Jurnalul de activitate nu a fost găsit"
"Admin Activity Log","Jurnal activitate admin"
"Back","Înapoi"
"Configuration","Configurare"
"Create","Crează"
"CSV","CSV"
"Date/Time","Data/Ora"
"Days to Keep Logs","Zile pentru a păstra jurnalele"
"Delete","Ștergere"
"Enable Admin Activity Log","Activează jurnalul activităților administratorilor"
"Entity","Entitate"
"Entity Type","Tip entitate"
"Excel XML","Excel XML"
"Failed","Eșuat"
"Failure Reason","Motivul esuarii"
"General Settings","Setări generale"
"ID","ID"
"IP Address","Adresă IP"
"Log Delete Actions","Jurnal acțiuni de ștergere"
"Log Failed Login Attempts","Jurnal încercări de conectare eșuate"
"Login","Autentificare"
"Login Activity","Activitate autentificare"
"Log Login/Logout Activity","Logare activitati de logare/deconectare"
"Log Mass Actions","Jurnal acțiuni în masă"
"Logout","Deconectare"
"Log Page Visits","Vizite pagină jurnal"
"Log Save Actions","Jurnal Salvare Acțiuni"
"Number of days to keep activity logs. Set to 0 to keep forever.","Numărul de zile pentru a păstra jurnalele de activitate. Setează la 0 pentru a păstra pentru totdeauna."
"Request URL","URL solicitare"
"Status","Status"
"Success","Succes"
"System","Sistem"
"Type","Tip"
"Update","Actualizare"
"URL","URL"
"Username","Nume"
"View","Vizualizare"
"View Activity Log","Vezi jurnalul de activități"
"View Activity Log Entry #%s","Vezi intrarea în jurnalul de activitate #%s"
"View Login Activity","Vezi activitatea de autentificare"
