"%d country(s) were skipped because they no longer exist.","%d țări(țări) au fost ignorate deoarece nu mai există."
"%d region(s) were skipped because they have existing region names.","%d regiuni au fost ignorate deoarece au nume de regiuni existente."
"-- Please select --","-- Vă rugăm selectaţi --"
"A country with this ID already exists.","O țară cu acest ID există deja."
"Add New Country","Adaugă Țară Nouă"
"Add New Region","Adaugă o regiune nouă"
"Add Translation","Adaugă traducere"
"Allowed Currencies","Valute Permise"
"An invalid base currency has been entered.","A fost introdusă o monedă de bază nevalidă."
"API Access Key","Cheie de acces API"
"API Key","Cheie API"
"A region name for this locale and region combination already exists.","O denumire de regiune pentru această combinație locală și regională există deja."
"A region with code ""%s"" already exists in this country.","O regiune cu codul ""%s"" există deja în această țară."
"Are you sure you want to delete the selected countries?","Sunteți sigur că doriți să ștergeți țările selectate?"
"Are you sure you want to delete the selected region names?","Sunteţi sigur că doriţi să ştergeţi numele regiunii selectate? (Automatic Translation)"
"Are you sure you want to delete the selected regions?","Sunteţi sigur că doriţi să ştergeţi regiunile selectate?"
"Are you sure you want to delete this country?","Sunteţi sigur că doriţi să ştergeţi această ţară?"
"Are you sure you want to delete this region?","Sunteţi sigur că doriţi să ştergeţi această regiune?"
"Base Currency","Moneda de bază"
"Base currency is used for all online payment transactions. Scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").","Moneda de bază este utilizată pentru toate tranzacțiile de plată online. Domeniul de aplicare este definit prin domeniul prețului catalogului (""Catalog"" > ""Preț"" > ""Domeniu de aplicare al catalogului"")."
"Cannot delete region with existing region names. Please delete all region names first.","Nu se poate sterge regiunea cu nume de regiune existente. Va rugam stergeti mai intai numele tuturor regiunilor."
"Choose popular countries that should be grouped on top of the country select.","Alegeți țările populare care ar trebui grupate deasupra țării selectate."
"Close","Inchide"
"Connection Timeout in Seconds","Timp de expirare conexiune în secunde"
"Countries","Țări"
"Country","Țară"
"Country and Format Type combination should be unique","Combinația de tip țară și format ar trebui să fie unică"
"Country API","API-ul țării"
"Country ID","ID Țară"
"Country ID cannot be changed after creation","ID țară nu poate fi schimbat după creare"
"Country ID is required.","ID-ul țării este obligatoriu."
"Country ID must be exactly 2 uppercase letters.","ID-ul țării trebuie să fie exact 2 litere mari."
"Country Information","Informații țară"
"Country is required.","Țara este obligatorie."
"Country Name","Numele țării"
"Currency","Monedă"
"Currency Options","Opțiuni Monedă"
"Currency rates can't be retrieved.","Ratele de schimb nu pot fi recuperate."
"Currency rate service error: %s","Eroare serviciu rată valutară: %s"
"Currency Setup","Configurare Monedă"
"Currency Update Warnings","Avertismente Actualizare Monedă"
"Default: only add new locales","Implicit: adăugați doar localizări noi"
"Default Display Currency","Moneda de afişare implicită"
"Default Name","Nume implicit"
"Default name cannot be longer than 255 characters.","Numele implicit nu poate fi mai lung de 255 de caractere."
"Default name for this region in English","Numele implicit pentru această regiune în engleză"
"Default name is required.","Numele implicit este necesar."
"Delete Country","Şterge ţara"
"Delete Region","Șterge regiunea"
"Directory","Director"
"Directory Management","Gestionare director"
"Display not required State","Afişare stat obligatoriu"
"Edit Country","Editează Țară"
"Edit Country ""%s""","Editează Țara ""%s"""
"Edit Region","Editare regiune"
"Edit Region ""%s""","Editează Regiunea ""%s"""
"Enabled","Activat"
"Error:","Eroare:"
"Error Email Recipient","Destinatar email eroare"
"Error Email Sender","Error Email Sender"
"Error Email Template","Șablon e-mail de eroare"
"ExchangeRate-API","ExchangeRate-API"
"FATAL ERROR:","EROARE FATALĂ:"
"Fixer API","Fixer API"
"Frankfurter","Frankfurter"
"Frequency","Frecvenţă"
"Hold Ctrl/Cmd to select multiple countries","Țineți apăsat Ctrl/Cmd pentru a selecta mai multe țări"
"Hold Ctrl/Cmd to select multiple locales","Țineți apăsat Ctrl/Cmd pentru a selecta mai multe localități"
"Import","Importă"
"Import completed successfully.","Import efectuat cu succes."
"Import Regions","Regiunile de import"
"Import Results","Importă rezultate"
"Installed Currencies","Monede instalate"
"Invalid country code: %s","Cod de țară nevalid: %s"
"Invalid Import Service specified.","Serviciu de import specificat invalid."
"Invalid rates received","Tarife incorecte primite"
"Invalid target currency.","Monedă ţintă nevalidă."
"ISO2 Code","ISO2 Code"
"ISO2 code is required.","Codul ISO2 este necesar."
"ISO2 code must be exactly 2 uppercase letters.","Codul ISO2 trebuie să fie exact 2 litere mari."
"ISO3 Code","ISO3 Code"
"ISO3 code is required.","Codul ISO3 este necesar."
"ISO3 code must be exactly 3 uppercase letters.","Codul ISO3 trebuie să fie exact 3 litere mari."
"List of countries","Lista țărilor"
"List of regions in specified country","Lista regiunilor din ţara specificată"
"Locale and region name are required.","Numele local și regional sunt obligatorii."
"Locale is required.","Localizarea este necesară."
"Locales","Locales"
"Localized Name","Nume localizat"
"Localized name for this region","Nume localizat pentru această regiune"
"Lower numbers are tried first when the scheduled import falls back to another service.","Numerele mai mici sunt încercate mai întâi când importul programat revine la un alt serviciu."
"Manage Countries","Gestionează țările"
"Manage Directory","Gestionare director"
"Manage Regions","Gestionează Regiunile"
"Manage Translations","Gestionează traducerile"
"New Country","Țară nouă"
"New Region","Regiune nouă"
"No API Key was specified or an invalid API Key was specified.","Nu a fost specificată o cheie API sau a fost specificată o cheie API invalidă."
"One or more invalid symbols have been specified.","Unul sau mai multe simboluri invalide au fost specificate."
"Open access endpoint covering far more currencies than the ECB list, updated once a day. No account or API key needed. <a href='https://www.exchangerate-api.com/docs/free' target='_blank'>exchangerate-api.com</a>","Criteriul de acces deschis acoperă mult mai multe monede decât lista BCE, actualizată o dată pe zi. Niciun cont sau API cheie. <a href='https://www.exchangerate-api.com/docs/free' target='_blank'>exchangerate-api.com</a>"
"Please select at least one country.","Vă rugăm să selectaţi cel puţin o ţară."
"Please select at least one locale.","Vă rugăm să selectaţi cel puţin o localitate."
"Please select country(s).","Te rugăm să selectezi țara/țările."
"Please select region(s).","Vă rugăm să selectaţi regiunile."
"Please select region name(s).","Vă rugăm să selectaţi numele regiunii."
"Popular","Populare"
"Postal Code is Optional for the following countries","Codul poștal este opțional pentru următoarele țări"
"Preview changes without importing (Dry Run)","Previzualizare modificări fără import (Rulare rapidă)"
"Rates were imported from ""%s"" after the services below failed.","Tarifele au fost importate din ""%s"" după ce serviciile de mai jos au eșuat."
"Reference rates aggregated from central banks and official sources. No account or API key needed. <a href='https://frankfurter.dev' target='_blank'>frankfurter.dev</a>","Ratele de referință agregate de la bănci centrale și surse oficiale. Nu sunt necesare conturi sau API cheie. <a href='https://frankfurter.dev' target='_blank'>frankfurter.dev</a>"
"Region","Regiune"
"Region API","Regiune API"
"Region Code","Cod Regiune"
"Region code cannot be longer than 32 characters.","Codul regiunii nu poate fi mai lung de 32 de caractere."
"Region ID","ID Regiune"
"Region Information","Informații regiune"
"Region name cannot be longer than 255 characters.","Numele regiunii nu poate fi mai lung de 255 de caractere."
"Region name is required.","Numele regiunii este necesar."
"Regions","Regiuni"
"Requires a key for <a href='https://fixer.io' target='_blank'>fixer.io</a> itself. Keys for other apilayer products, Currency Data API included, are rejected by this endpoint.","Necesită o cheie pentru <a href='https://fixer.io' target='_blank'>fixer.io</a> . Chei pentru alte produse apilayer, valuta de date API incluse, sunt respinse de acest punct de final."
"Running...","Rulează..."
"Running import...","Se rulează importul..."
"Save Country","Salveaza tara"
"Save Region","Salvează regiunea"
"Scheduled Import Settings","Setări de import programate"
"Selected country does not exist.","Țara selectată nu există."
"Service","Serviciu"
"Short code for this region (e.g. CA, NY, TX)","Cod scurt pentru această regiune (de ex. CA, NY, TX)"
"Shows what would be imported without making actual changes","Arată ce ar fi importat fără a face schimbări reale"
"Sort Order","Ordinea de sortare"
"Start Time","Ora de începere"
"State/Province","Stat/provincie"
"State is required for","Statul este necesar pentru"
"States Options","Opțiuni de Stat"
