"%s-%s of %s","%s-%s din %s"
"%s - Go to Home Page","%s - Du-te la pagina de start"
"%s Item(s)","%s Articole"
"-- Please Select --","-- Vă rugăm selectaţi --"
"-- Use Default --","-- Foloseste Implicit --"
"1 column","1 coloană"
"2 columns with left bar","2 coloane cu bara stanga"
"2 columns with right bar","2 coloane cu bara dreapta"
"3 columns","3 coloane"
"Account","Cont"
"All Empty Layout Pages","Toate paginile de plata goale"
"All Minimal Layout Pages","Toate paginile de plata minima"
"All One-Column Layout Pages","Toate paginile de aspect dintr-o coloană"
"Allow","Permite"
"All Pages","Toate paginile"
"All Pages (Print Version)","Toate paginile (Versiunea de Print)"
"All Rights Reserved.","Toate drepturile rezervate."
"All Three-Column Layout Pages","Toate paginile de aspect din trei coloane"
"All Two-Column Layout Pages (Left Column)","Toate paginile de aspect în două coloane (coloană)"
"All Two-Column Layout Pages (Right Column)","Toate paginile de aspect din două coloane (coloana din dreapta)"
"Breadcrumbs","Breadcrumb-uri"
"Click <a href=""%s"">here</a> if nothing has happened","Apăsați <a href=""%s"">aici</a> dacă nu s-a întâmplat nimic"
"Close","Inchide"
"Close Window","Închide fereastra"
"CMS Block","Bloc CMS"
"Custom Text","Text personalizat"
"Default Description","Descriere Implicită"
"Demo Store Notice CMS Block","Bloc CMS Notificare Magazin Demo"
"Demo Store Notice Text","Text notificare magazin demo"
"Deprecated: Use SVG or srcset","Dezaprobată: Utilizează SVG sau srcset"
"Disabled","Dezactivat"
"Empty","Golire"
"Interface Language","Limba interfeței"
"Leave empty to use the default text.","Lăsați gol pentru a utiliza textul implicit."
"Left Column","Coloana Stânga"
"Left Column First (shows above main column on smaller screens)","Coloana stanga primul (arata deasupra coloanei principale pe ecrane mai mici)"
"Logo Height (in px)","Înălțime logo (în px)"
"Logo Width (in px)","Lățime logo (în px)"
"Main Content Area","Zona de conținut principală"
"Main Navigation","Navigare principală"
"Menu","Meniu"
"Minimal","Minimă"
"Navigation Bar","Bara de navigare"
"Next","Următoarea"
"Page:","Pagină:"
"Page Bottom","Sfârșit pagină"
"Page Footer","Subsol pagină"
"Page Header","Antet pagină"
"Page Top","Pagina de sus"
"per page","pe pagină"
"Previous","Anterior"
"Primary sidebar","Bara laterală principală"
"Redirecting...","Redirecţionare..."
"Results per page","Rezultate pe pagină"
"Right Column","Coloana Dreapta"
"Right sidebar","Bara laterală dreapta"
"Search","Caută"
"Secondary sidebar","Bara laterală secundară"
"Select Store","Selectați Magazinul"
"Select Store:","Selectați Magazin:"
"Show","Afișare"
"Skip to main content","Salt la conținutul principal"
"Store Notice","Notificare magazin"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Acesta este un magazin demo. Orice comenzi plasate în acest magazin nu vor fi onorate sau îndeplinite."
"View All","Vezi tot"
"Welcome!","Bun venit!"
"Welcome, %s!","Bun venit, %s!"
"Your Language","Limba ta"
"Your Language:","Limba ta:"
