"%d Catalog Price Rules based on ""%s"" attribute have been disabled.","%d Catalog Price Rules based on ""%s"" attribute have been disabled."
"-- All Active Rules --","-- All Active Rules --"
"86400 by default, if not set. Rule prices change with the daily catalog rule reindex.","86400 by default, if not set. Rule prices change with the daily catalog rule reindex."
"Actions","Actiuni"
"Active","Activ"
"Add New Rule","Adaugă Regulă Nouă"
"An error occurred while deleting the rule. Please review the log and try again.","An error occurred while deleting the rule. Please review the log and try again."
"An error occurred while saving the rule data. Please review the log and try again.","An error occurred while saving the rule data. Please review the log and try again."
"Apply","Aplicare"
"Apply Rules","Aplică Regulile"
"Attribute Set","Set atribute"
"Best Selling","Best Selling"
"Biggest Discount","Biggest Discount"
"By Fixed Amount","By Fixed Amount"
"By Percentage of the Original Price","By Percentage of the Original Price"
"Catalog","Catalog"
"Catalog On Sale Products","Catalog On Sale Products"
"Catalog Price Rule","Regulă Preț Catalog"
"Catalog Price Rules","Catalog Price Rules"
"Category","Categorie"
"Conditions","Condiții"
"Conditions (leave blank for all products)","Conditions (leave blank for all products)"
"Conditions Combination","Conditions Combination"
"Customer Groups","Grupuri de clienți"
"Date Expire","Date Expire"
"Date From","Din data"
"Date Start","Date Start"
"Date To","Până la data"
"Description","Descriere"
"Discount Amount","Sumă reducere"
"Edit Rule","Modificați regulă"
"Edit Rule '%s'","Edit Rule '%s'"
"Enable Discount to Subproducts","Enable Discount to Subproducts"
"Expiration Date","Dată expirare"
"From Date","From Date"
"General Information","Informații generale"
"ID","ID"
"Inactive","Inactiv"
"List of Products with an active Catalog Price Rule discount","List of Products with an active Catalog Price Rule discount"
"Newest","Newest"
"New Rule","Regulă nouă"
"No","Nu"
"Only In-Stock Products","Only In-Stock Products"
"On Sale","On Sale"
"On Sale Images and Names Template","On Sale Images and Names Template"
"On Sale Images Only Template","On Sale Images Only Template"
"On Sale Names Only Template","On Sale Names Only Template"
"On Sale Products Grid Template","On Sale Products Grid Template"
"On Sale Products List Template","On Sale Products List Template"
"Options","Opțiuni"
"Order Products By","Order Products By"
"Priority","Prioritate"
"Product Attribute","Product Attribute"
"Promotions","Promoții"
"Random","Random"
"Restrict to a single rule (e.g. ""Offer of the month""). Leave empty for all active rules.","Restrict to a single rule (e.g. ""Offer of the month""). Leave empty for all active rules."
"Rule Information","Informatii Regula"
"Rule Name","Numele regulii"
"Save and Apply","Salvează și aplică"
"Save and Continue Edit","Salvați și continuă editarea"
"Start Date","Dată de început"
"Status","Statut"
"Stop Further Rules Processing","Stop Further Rules Processing"
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.","There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog."
"The rule has been deleted.","The rule has been deleted."
"The rule has been saved.","The rule has been saved."
"The rules have been applied.","The rules have been applied."
"This rule no longer exists.","Această regulă nu mai există."
"To Date","To Date"
"To Fixed Amount","To Fixed Amount"
"To Percentage of the Original Price","To Percentage of the Original Price"
"Type","Tip"
"Unable to apply rules.","Unable to apply rules."
"Unable to find a rule to delete.","Unable to find a rule to delete."
"Update Prices Using the Following Information","Update Prices Using the Following Information"
"Update product's %s %s: %s","Update product's %s %s: %s"
"Website","Website"
"Websites","Website-uri"
"Wrong rule specified","Wrong rule specified"
"Wrong rule specified.","Regulă specificată greșit."
"Yes","Da"
