"--Please Select--","--Te rog selectează--"
"Accepted Currency","Acceptat Moneda"
"API Login ID","ID API Login"
"Card Verification Number","Număr verificare card"
"Card Verification Number Visual Reference","Numărul de verificare a cardului Referință vizuală"
"Close","Inchide"
"Credit Card Number","Număr card de credit"
"Credit Card Type","Tipul Cardului de Credit"
"Credit Card Types","Tipuri de card de credit"
"Credit Card Verification","Verificare card de credit"
"Debug","Debug"
"Email Customer","E-mail client"
"Enabled","Activat"
"Expiration Date","Data expirării"
"Gateway URL","URL gateway"
"Maximum Order Total","Comanda Maximă Total"
"Merchant's Email","E-mailul comerciantului"
"Minimum Order Total","Totalul minim al comenzii"
"New Order Status","Stare comandă nouă"
"Order saving error: %s","Eroare la salvarea comenzii: %s"
"Payment Action","Acțiune de plată"
"Payment authorization error.","Eroare la autorizarea plății."
"Payment from Applicable Countries","Plata din partea țărilor aplicabile"
"Payment from Specific Countries","Plata din partea anumitor țări"
"Sort Order","Ordinea de sortare"
"Test Mode","Modul de testare"
"The order has been created.","Comanda a fost creata."
"There was an error processing your order. Please contact us or try again later.","A apărut o eroare la procesarea comenzii tale. Te rugăm să ne contactezi sau să încerci din nou mai târziu."
"Title","Titlu"
"Transaction Key","Cheie tranzacție"
"What is this?","Ce este asta?"
