"3D Secure","Securizare 3D"
"Actions","Acțiuni"
"Added","Adăugat"
"Allows logged-in customers to save their payment methods for faster future checkouts. Saved tokens are stored securely by PayPal.","Permite clienților autentificați să își salveze metodele de plată pentru comenzi viitoare mai rapide. Token-urile salvate sunt stocate în siguranță de PayPal."
"Are you sure you want to delete this payment method?","Sunteţi sigur că doriţi să ştergeţi această metodă de plată?"
"Authorization ID","ID Autorizare"
"Authorize and Capture","Autorizează și Capturează"
"Authorize Only","Autorizează doar"
"Automatically populated after clicking ""Register Webhook"". Used to verify the authenticity of incoming PayPal notifications.","Automat populat după ce faceți clic pe ""Înregistrare Webhook"". Folosit pentru a verifica autenticitatea notificărilor PayPal."
"AVS Code","Cod AVS"
"Bancontact","Bancontact"
"BLIK","BLIK"
"Capture ID","ID captură"
"Cart is empty.","Coșul este gol."
"Client ID","ID client"
"Client Secret","Secret client"
"Confirm your payment with PayPal, then click ""Place Order"".","Confirmă plata prin PayPal, apoi apasă ""Plasează comanda""."
"Connection failed. Please check your credentials.","Conexiunea a eșuat. Te rugăm să verifici acreditările."
"Connection failed: %s","Conexiune eșuată: %s"
"Connection successful.","Conexiune reușită."
"Could not acquire order lock.","Nu s-a putut obține blocarea comenzii."
"CVV Code","Cod CVV"
"Debug Mode","Mod depanare"
"Delete","Ștergere"
"Display on Product Page","Afișează pe pagina produsului"
"Display on Shopping Cart","Afiseaza in Cosul de cumparaturi"
"Displays inline credit/debit card fields directly on your checkout page. Customers enter their card details without being redirected to PayPal. Requires PayPal Advanced Checkout eligibility.","Afișează câmpurile de pe cardul de credit/debit inline direct pe pagina de checkout. Clienții introduc detaliile cardului lor fără a fi redirecționați către PayPal. Necesită eligibilitate PayPal Avansat Checkout."
"Displays PayPal buttons at checkout. Customers pay with their PayPal account, Pay Later, or other PayPal-supported methods without leaving your site.","Afișează butoanele PayPal la checkout. Clienții plătesc cu contul lor PayPal, Plătește mai târziu, sau cu alte metode acceptate PayPal, fără a părăsi site-ul."
"Enabled","Activat"
"eps","paşi"
"Failed to create PayPal order.","Nu s-a reușit crearea comenzii PayPal."
"Failed to create PayPal order: %s","Eșuare creare comandă PayPal: %s"
"Failed to register webhook.","Înregistrarea webhook-ului a eșuat."
"giropay","giropay"
"iDEAL","iDEAL"
"Invalid form key.","Cheie formular invalidă."
"Invalid payment method.","Metodă de plată nevalidă."
"Log API requests and responses to var/log/paypal.log","Înregistrează cererile API și răspunsurile la var/log/paypal.log"
"Missing PayPal order ID.","Lipseste ID-ul comenzii PayPal."
"MyBank","MyBank"
"No PayPal authorization ID found for void.","Nu s-a găsit ID-ul autorizației PayPal pentru anulare."
"No PayPal authorization or order ID found for capture.","Nu s-a găsit nicio autorizație PayPal sau ID comandă pentru capturare."
"No PayPal capture ID found for refund.","Nu s-a găsit ID captură PayPal pentru rambursare."
"No saved payment methods available.","Nu sunt disponibile metode de plată salvate."
"No saved payment methods available for this customer.","Nu sunt disponibile metode de plată salvate pentru acest client."
"Payer Email","E-mail Plătitor"
"Payer ID","Payer ID"
"Pay Later","Plătește mai târziu"
"Pay Later Messaging","Mesagerie plătită mai târziu"
"Payment Action","Acțiune de plată"
"Payment Method","Metoda de plată"
"Payment method has been deleted.","Metoda de plată a fost ștearsă."
"PayPal","PayPal"
"PayPal - Advanced Checkout (Card Fields)","PayPal - Avansat Checkout (Card Fields)"
"PayPal - General Settings","PayPal - Setări generale"
"PayPal - Standard Checkout (PayPal Buttons)","PayPal - Standard Checkout (PayPal Buttons)"
"PayPal - Vault (Saved Payment Methods)","PayPal - seif (Saved Payment Methods)"
"PayPal capture failed: no capture ID returned.","Captura PayPal a eșuat: nici un ID de captură nu a fost returnat."
"PayPal Client ID and Client Secret are required when a PayPal payment method is enabled.","ID-ul Clientului PayPal și Secretul Clientului sunt necesare atunci când o metodă de plată PayPal este activată."
"PayPal Credit","Credit PayPal"
"PayPal did not return a payer email address.","PayPal nu a returnat adresa de e-mail a plătitorului."
"PayPal order amount does not match this cart.","Valoarea comenzii PayPal nu se potrivește cu acest coș."
"PayPal order could not be approved. Status: %s","Comanda PayPal nu a putut fi aprobată. Stare: %s"
"PayPal order currency does not match this cart.","Valuta comenzii PayPal nu corespunde acestui coș."
"PayPal order does not belong to this cart.","Comanda PayPal nu aparține acestui coș."
"PayPal Order ID","ID comandă PayPal"
"PayPal order ID not found.","ID-ul comenzii PayPal nu a fost găsit."
"Please complete the PayPal payment before placing the order.","Vă rugăm să completați plata PayPal înainte de a plasa comanda."
"Processor Response","Răspuns procesor"
"Przelewy24","Przelewy24"
"Quote is no longer active and no matching order was found.","Oferta nu mai este activă și nu a fost găsită nici o comandă corespunzătoare."
"Registers a webhook with PayPal to receive real-time notifications for payments, refunds, and disputes. Requires a publicly accessible HTTPS URL.","Înregistrează un webhook cu PayPal pentru a primi notificări în timp real pentru plăți, rambursări și litigii. Necesită un URL HTTPS accesibil publicului."
"Register Webhook","Înregistrează Webhook"
"Review your order on the next step to confirm your payment with PayPal.","Examinați comanda dumneavoastră în pasul următor pentru a confirma plata prin PayPal."
"Sandbox Mode","Mod Sandbox"
"Saved Payment","Plată salvată"
"Saved Payment Method","Metoda de plată salvată"
"Saved Payment Methods","Metode de plată salvate"
"Save this payment method for future purchases","Salvați această metodă de plată pentru cumpărături viitoare"
"Send cart line items to PayPal for display during checkout.","Trimiteți elemente de linie din coș către PayPal pentru a fi afișate în timpul finalizării comenzii."
"SEPA","SEPA"
"Sofort","Sofort"
"Sort Order","Ordinea de sortare"
"Test Connection","Testare conexiune"
"This order has already been placed.","Această comandă a fost deja plasată."
"This PayPal order has already been used.","Această comandă PayPal a fost deja utilizată."
"Title","Titlu"
"Transfer Line Items","Transfer elemente linie"
"Type","Tip"
"Unable to delete payment method.","Imposibil de șters metoda de plată."
"Use PayPal sandbox environment for testing.","Folosește sandbox PayPal pentru testare."
"Venmo","Venmo"
"Webhook ID","ID Webhook"
"Webhook registered successfully. ID: %s","Webhook înregistrat cu succes. ID: %s"
"Webhook registration failed: %s","Înregistrarea Webhook-ului a eșuat: %s"
"You have no saved payment methods.","Nu aveți metode de plată salvate."
