"%s Screenshot","Captură de ecran %s"
"%s violation(s)","%s încălcări"
"Accessibility Scan","Scanare accesibilitate"
"Accessibility Scan Report","Raport de accesibilitate"
"Accessibility Violations","Încălcări de accesibilitate"
"Advanced","Avansat"
"Are you sure you want to delete this scan?","Sunteţi sigur că doriţi să ştergeţi această scanare?"
"axe-core could not automatically evaluate %s check(s) (for example, color contrast over an image). Review them manually.","axe-core nu a putut evalua automat %s check(uri) (de exemplu, contrast de culoare peste o imagine). Revizuiește-le manual."
"Back","Înapoi"
"CLI","CLI"
"Command failed (exit code %s): %s","Comanda a eșuat (cod de ieșire %s): %s"
"Command timed out after %s seconds: %s","Comanda a expirat după %s secunde: %s"
"Complete","Complete"
"Completed","Completat"
"Conformance level used when starting a scan without an explicit level.","Nivelul de conformitate utilizat la începerea unei scanări fără un nivel explicit."
"Critical","Critice"
"Cron expression. Default: <strong>0 3 * * *</strong> (daily at 3am).","Expresie cron. Implicit: <strong>0 3 * * * *</strong> (zilnic la 3am)."
"Cron Schedule","Programare Cron"
"Date","Data"
"Default WCAG Level","Nivel WCAG implicit"
"Delete","Ștergere"
"Delete Scans After","Sterge Scan-uri După"
"Desktop","Birou"
"Desktop Viewport","Vizualizare desktop"
"Enabled","Activat"
"Export PDF","Exportă PDF"
"Failed","Eșuat"
"Fix all of the following","Repară toate următoarele"
"Fix any of the following","Repară oricare dintre următoarele"
"General Settings","Setări generale"
"How to fix","Cum să repari"
"HTML","HTML"
"ID","ID"
"Invalid scan URL ""%s"": every URL must belong to one of the configured store base URLs","URL scanare nevalid ""%s"": fiecare URL trebuie să aparțină unuia dintre URL-urile de bază ale magazinului configurat"
"Learn more","Află mai multe"
"Manual","Manual"
"Maximum time in seconds to wait for a single page scan.","Timpul maxim în secunde de aşteptare pentru o singură scanare a paginii."
"Minor","Minore"
"Mobile","Mobil"
"Mobile Viewport","Vizualizare mobil"
"Moderate","Moderează"
"Needs Review","Necesită evaluare"
"No automatically detectable violations were found. Automated checks cover only part of WCAG, so manual testing with a keyboard and a screen reader is still recommended.","Nu au fost găsite încălcări detectabile automat. Verificarea automată acoperă doar o parte din WCAG, așa că încă este recomandată testarea manuală cu o tastatură și un cititor de ecran."
"Node.js %s is installed, but the scanner requires version %s or newer.","Node.js %s este instalat, dar scanerul necesită versiunea %s sau mai nouă."
"Node.js Binary Path","Cale binară Node.js"
"Node.js was not found (looking for ""%s""). Install Node.js %s or newer, or set its full path in System > Configuration > Accessibility Scan.","Node.js nu a fost găsit (căutând ""%s""). Nodul de Instalare. s %s sau mai nou, sau setează calea completă în Sistem > Configurare > Scanare accesibilitate."
"npm Binary Path","Cale binară npm"
"npm was not found (looking for ""%s""). Install it together with Node.js, or set its full path in System > Configuration > Accessibility Scan.","npm nu a fost găsit (în căutarea ""%s""). Instalați-l împreună cu Node. sau setează calea completă în System > Configurare > Accesibilitate Scan."
"One URL per line. Every URL must belong to one of the configured store base URLs.","Un URL pe linie. Fiecare URL trebuie să aparțină uneia dintre adresele URL de bază ale stocului configurate."
"Page Title","Titlu pagină"
"Path to the node executable. Default: node","Calea către modul executabil al modulului. Implicit: nod"
"Path to the npm executable. Default: npm","Calea către executabilul npm. Implicit: npm"
"Pending","In asteptare"
"Periodically scan the URLs below via cron, using the default WCAG level.","Periodic scanează URL-urile de mai jos prin intermediul cronului, folosind nivelul implicit WCAG."
"Please provide a valid URL to scan","Vă rugăm să furnizați un URL valid pentru a scana"
"Run a New Scan","Rulează un Nou Scan"
"Running","Rulează"
"Scan #%s","Scanare #%s"
"Scan failed","Scanare eșuată"
"Scan failed: %s","Scanare eșuată: %s"
"Scan History","Scanare istoric"
"Scan ID","Scanare ID"
"Scanning... this can take a couple of minutes.","Se scanează... poate dura câteva minute."
"Scan not found","Scanare negăsită"
"Scan Results","Scanare rezultate"
"Scans older than this many days are deleted automatically. 0 keeps everything.","Scanările mai vechi de atâtea zile sunt șterse automat. 0 păstrează totul."
"Scan Timeout","Timp expirare scanare"
"Scheduled","Programat"
"Scheduled Scans","Scanări programate"
"Selector","Selector"
"Serious","Serios"
"Show on desktop screenshot","Arată pe desktop screenshot"
"Show on mobile screenshot","Arată pe ecranul de pe mobil"
"Source","Sursa"
"Started","Început"
"Start Scan","Pornește scanarea"
"Status","Status"
"Summary","Summary"
"System","Sistem"
"Template","Șablon"
"Template Source","Sursa şablon"
"The scan has been deleted.","Scanarea a fost ștearsă."
"The scanner cannot run on this server yet:","Scanerul nu poate rula pe acest server încă:"
"The scanner returned an unexpected result","Scanerul a returnat un rezultat neașteptat"
"The scanner runtime is not installed yet. Run ""./maho accessibility:install"" from the command line to install it.","Timpul de execuție al scanerului nu este încă instalat. Execută ""./maho accessibility:install"" din linia de comandă pentru a o instala."
"The URL to scan must belong to one of the configured store base URLs","URL-ul pentru scanare trebuie să aparțină uneia dintre adresele URL de bază ale stocului configurate"
"This report was generated with automated checks (axe-core), which detect only a subset of WCAG success criteria. A report with no violations does not guarantee conformance; manual testing with a keyboard and a screen reader is still required.","Acest raport a fost generat cu verificări automate (axe-core), care detectează doar un subset de criterii de succes WCAG. Un raport fără încălcări nu garantează conformitatea; încă este necesară testarea manuală cu o tastatură și un cititor de ecran."
"Total","Total"
"Total Scans","Total scanări"
"Total Violations","Total Incalcari"
"Unable to acquire the scanner install lock","Imposibil de achiziționat blocarea de instalare a scanerului"
"Unable to copy the scanner script to %s","Imposibil de copiat scriptul de scanare la %s"
"Unable to create directory %s","Nu se poate crea directorul %s"
"Unable to start process: %s","Imposibil de pornit procesul: %s"
"URL","URL"
"URLs to Scan","URL-uri pentru scanare"
"URL to scan","URL pentru scanare"
"URL to scan, e.g. https://store.example.com/","URL pentru scanare, ex. https://store.example.com/"
"Violation #%s: %s","Încălcare #%s: %s"
"Violations","Incalcari"
"Violations (Latest Scan)","Incalcare (Scană cea mai mică)"
"WCAG %s","WCAG %s"
"WCAG 2.2 Level A","WCAG 2.2 Nivelul A"
"WCAG 2.2 Level AA","AA nivelul WCAG 2.2"
"WCAG 2.2 Level AAA","WCAG 2.2 Nivelul AAA"
"WCAG Level","Nivel WCAG"
"Width x height in CSS pixels, scanned with mobile emulation. Default: 390x844","Lățime x înălțime în pixeli CSS, scanată cu emulare mobilă. Implicit: 390x844"
"Width x height in CSS pixels. Every scan runs one pass per viewport. Default: 1280x1024","Lățime x în pixeli CSS. Fiecare scanare rulează un pasaj per vizualizare. Implicit: 1280x1024"
