"# of Uses","# of Uses"
"%s tag(s) have been accepted for moderation.","%s tag(s) have been accepted for moderation."
"<strong>Tag Name:</strong> %s","<strong>Tag Name:</strong> %s"
"Action","Acţiune"
"Add","Adăugare"
"Add New Tag","Add New Tag"
"Add tag(s) to product","Add tag(s) to product"
"Add Tags","Add Tags"
"Add to Cart","Adaugă în coș"
"Add to Wishlist","Adaugă la lista dorinţelor"
"Add Your Tags:","Add Your Tags:"
"All Tags","All Tags"
"Approved","Aprobat"
"Are you sure?","Sunteți sigur?"
"Are you sure you want to delete this tag?","Are you sure you want to delete this tag?"
"Are you sure you want to do this?","Sunteți sigur că doriți să faceți acest lucru?"
"Back","înapoi"
"Back to Tags List","Back to Tags List"
"Base Popularity","Base Popularity"
"Block Information","Informații bloc"
"Catalog Product View","Catalog Product View"
"Change status","Modificați status"
"Click on a tag to view your corresponding products.","Click on a tag to view your corresponding products."
"Country","Țară?"
"CSV","CSV"
"Customer My Account My Tags List","Customer My Account My Tags List"
"Customer My Account Tag View","Customer My Account Tag View"
"Customers","Clienți"
"Customer Since","Client de la"
"Customers Submitted this Tag","Customers Submitted this Tag"
"Customers Tagged '%s'","Customers Tagged '%s'"
"Delete","Ștergere"
"Delete Tag","Delete Tag"
"Disabled","Dezactivat"
"Edit Tag '%s'","Edit Tag '%s'"
"Email","Email"
"Enable Adding Tags in Frontend","Enable Adding Tags in Frontend"
"First Name","Prenume"
"General Information","Informații generale"
"Grid","Grilă"
"ID","ID"
"Info","Info"
"Last Name","Nume"
"List","Listă"
"Manage Tags","Manage Tags"
"Middle Name","Middle Name"
"My Recent Tags","My Recent Tags"
"My Tags","My Tags"
"Name","Nume"
"New Tag","New Tag"
"No matches found.","No matches found."
"Pending","în așteptare"
"Pending Tags","Pending Tags"
"Popular","Popular"
"Popular Tags","Popular Tags"
"Price","Preț"
"Product Name","Nume produs"
"Products","Produse"
"Product SKU","Product SKU"
"Products Tagged by Administrators","Products Tagged by Administrators"
"Products Tagged by Customers","Products Tagged by Customers"
"Products Tagged with '%s'","Products Tagged with '%s'"
"Products tagged with '%s'","Products tagged with '%s'"
"Product Tag API","Product Tag API"
"Product Tags","Product Tags"
"Rebuild Tag aggregation data","Rebuild Tag aggregation data"
"Remove","Ștergeți"
"Remove product tag","Remove product tag"
"Retrieve list of tags by product","Retrieve list of tags by product"
"Retrieve product tag info","Retrieve product tag info"
"Save and Continue Edit","Salvați și continuă editarea"
"Save Tag","Save Tag"
"SKU","Unitate de înmagazinare"
"Status","Statut"
"Store View","Vitrina magazin"
"Tag","Tag"
"Tag ""%s"" has already been added to the product.","Tag ""%s"" has already been added to the product."
"Tag ""%s"" has been added to the product.","Tag ""%s"" has been added to the product."
"Tag ""%s"" has been rejected by administrator.","Tag ""%s"" has been rejected by administrator."
"Tag Aggregation Data","Tag Aggregation Data"
"Tagged Products List","Tagged Products List"
"Tag Name","Tag Name"
"Tags","Etichete"
"Tags:","Tags:"
"Tags List (All Available)","Tags List (All Available)"
"Tags List Before","Tags List Before"
"Telephone","Telephone"
"There are no tags available.","There are no tags available."
"The tag has been deleted.","The tag has been deleted."
"Unable to find any products tagged with '%s' in the current store","Unable to find any products tagged with '%s' in the current store"
"Unable to remove tag. Please, try again later.","Unable to remove tag. Please, try again later."
"Unable to save tag(s).","Unable to save tag(s)."
"Update","Actualizare"
"Update product tag","Update product tag"
"Use spaces to separate tags. Use single quotes (') for phrases.","Use spaces to separate tags. Use single quotes (') for phrases."
"View All Tags","View All Tags"
"View Customers","View Customers"
"View Products","View Products"
"XML","XML"
"You have not tagged any products yet.","You have not tagged any products yet."
"ZIP/Post Code","Cod Poștal"
"[STORE VIEW]","[VIZUALIZARE MAGAZIN]"
