"Action","Acţiune"
"Active","Activ"
"Add New Rule","Adaugă Regulă Nouă"
"Apply rule to source products matching the following conditions (leave blank for all products)","Apply rule to source products matching the following conditions (leave blank for all products)"
"Are you sure?","Sunteți sigur?"
"Catalog","Catalog"
"Change status","Modificați status"
"Conditions","Condiții"
"Conditions Combination","Conditions Combination"
"Cron expression for rule processing. Default: <strong>0 3 * * *</strong> (daily at 3am).","Cron expression for rule processing. Default: <strong>0 3 * * *</strong> (daily at 3am)."
"Cron Schedule","Cron Schedule"
"Cross-sell Products","Cross-sell Products"
"Delete","Ștergere"
"Delete Rule","ștergeți regulă"
"Description","Descriere"
"Disabled","Dezactivat"
"does not match source","does not match source"
"Edit","Editare"
"Edit Rule '%s'","Edit Rule '%s'"
"Enabled","Activat"
"From Date","From Date"
"ID","ID"
"Inactive","Inactiv"
"Link to target products matching the following conditions (leave blank for all products)","Link to target products matching the following conditions (leave blank for all products)"
"Link Type","Link Type"
"Lower number = higher priority","Lower number = higher priority"
"matches source","matches source"
"Maximum Links","Maximum Links"
"Maximum number of linked products per source product (leave empty for unlimited)","Maximum number of linked products per source product (leave empty for unlimited)"
"Name: A-Z","Name: A-Z"
"Name: Z-A","Name: Z-A"
"Newest First","Newest First"
"New Rule","Regulă nouă"
"Oldest First","Oldest First"
"Please select rule(s).","Please select rule(s)."
"Price: High to Low","Price: High to Low"
"Price: Low to High","Price: Low to High"
"Priority","Prioritate"
"Product Attribute","Product Attribute"
"Product Link Rules","Product Link Rules"
"Product Relationship Rules","Product Relationship Rules"
"Random (Default)","Random (Default)"
"Related Products","Produse asociate"
"Rule Information","Informatii Regula"
"Rule Name","Numele regulii"
"Save and Continue Edit","Salvați și continuă editarea"
"Save Rule","Salvați regulă"
"Sort Order","sortați comanda"
"Source Product Conditions","Source Product Conditions"
"Source products matching %s of these conditions are %s:","Source products matching %s of these conditions are %s:"
"Status","Statut"
"Target Conditions","Target Conditions"
"Target product attribute will be compared to source product","Target product attribute will be compared to source product"
"Target Product Conditions","Target Product Conditions"
"Target products matching %s of these conditions are %s:","Target products matching %s of these conditions are %s:"
"The rule has been deleted.","The rule has been deleted."
"The rule has been saved.","The rule has been saved."
"This rule no longer exists.","Această regulă nu mai există."
"To Date","To Date"
"Total of %d record(s) were deleted.","Total of %d record(s) were deleted."
"Total of %d record(s) were updated.","Total of %d record(s) were updated."
"Up-sell Products","Up-sell Products"
