"%s file does not exists or is not readable","Fișierul %s nu există sau nu poate fi citit"
"-- Please Select --","-- Vă rugăm selectaţi --"
"Adapter must be an instance of Mage_ImportExport_Model_Import_Adapter_Abstract","Adaptorul trebuie să fie o instanță a Mage_ImportExport_Model_Import_Adapter_Abstract"
"Adapter object must be an instance of %s","Obiectul adaptor trebuie să fie o instanță de %s"
"Adapter type must be a non empty string","Tipul adaptorului trebuie să fie un şir de caractere necompletat"
"Append Complex Data","Adaugă date complexe"
"Attribute Code","Cod atribut"
"Attribute does not has options, so filtering is impossible","Atributul nu are opțiuni, astfel încât filtrarea este imposibilă"
"Attribute Label","Eticheta atributului"
"Auto_increment column not found for table %s","Coloana incrementului automat nu a fost găsită pentru tabelul %s"
"Begin data validation","Începe validarea datelor"
"Begin export of %s","Începe exportul de %s"
"Begin import of ""%s"" with ""%s"" behavior","Începe importul de ""%s"" cu ""%s"" comportament"
"Can not determine attribute filter type","Nu se poate determina tipul filtrului de atribut"
"Can not find required columns: %s","Nu pot găsi coloanele necesare: %s"
"Cannot get table status for %s","Nu se poate obține statusul tabelului pentru %s"
"Categories","Categorii"
"Check Data","Verifică datele"
"Checked rows: %d, checked entities: %d, invalid rows: %d, total errors: %d","Rânduri verificate: %d, entități verificate: %d, rânduri nevalide: %d, erori totale: %d"
"Column names: ""%s"" are invalid","Numele coloanei: ""%s"" sunt invalide"
"Column names have duplicates","Numele de coloană au duplicate"
"Column names is empty or is not an array","Numele de coloană este gol sau nu este un array"
"CSV","CSV"
"Customers","Clienți"
"Data is invalid or file is not uploaded","Datele nu sunt valide sau fișierul nu este încărcat"
"Delete Entities","Șterge Entități"
"Destination directory is not writable","Directorul de destinație nu permite scrierea"
"Destination file is not writable","Fișierul destinație nu poate fi scris"
"Destination file path must be a string","Calea fișierului de destinație trebuie să fie un șir"
"Done import data validation","Validarea datelor de import finalizată"
"Duplicate Unique Attribute for '%s'","Duplică atributul unic pentru '%s'"
"Each data row must be an array","Fiecare rând de date trebuie să fie un array"
