"-- Please Select --","-- Vă rugăm selectaţi --"
"Account Created In Store","Cont creat în magazin"
"Action","Acțiune"
"Active","Activ"
"Added to Cart Date","Adăugat la data coșului"
"Added to Wishlist Date","Adăugat la data dorinţei"
"Add Email Step","Adaugă Pas Email"
"Add New Segment","Adaugă Segment Nou"
"Address","Adresa"
"Address Information","Informații adresă"
"Add Segment","Adaugă Segment"
"Allow Overlapping Sequences","Permite suprapunerea secvențelor"
"Allow starting new sequences while existing ones are still active for the same customer","Permite pornirea de noi secvențe în timp ce cele existente sunt încă active pentru același client"
"Applied Promotion Rules","Reguli de promovare aplicate"
"Are you sure?","Ești sigur?"
"Are you sure you want to delete this sequence step?","Sunteţi sigur că doriţi să ştergeţi acest pas de secvenţă?"
"Are you sure you want to refresh this segment?","Sunteţi sigur că doriţi să reîmprospătaţi acest segment?"
"Assign to Website","Atribuiți la website"
"At least one email sequence is required when automation is enabled.","Cel puțin o secvență de e-mail este necesară atunci când automatizarea este activată."
"Automatic","Automat"
"Automatic: Refreshed daily via cron. Manual: Must be refreshed manually.","Automat: Actualizat zilnic prin intermediul Manualului: Trebuie reîmprospătat manual."
"Average Days Between Orders","Zile medii intre Comenzi"
"Average Order Value","Valoarea medie a comenzii"
"Back to Segment","Înapoi la Segment"
"Base Row Total","Total linie de bază"
"Base Sales Rule","Regula de bază de vânzări"
"Bundle Product","Pachet produs"
"Cart","Coș"
"Cart Created Date","Data creării cosului"
"Cart Items","Elemente cos"
"Cart Status","Stare cos"
"Cart Updated Date","Dată actualizare coș"
"Change status","Schimbă statusul"
"Completed","Completat"
"Conditions (leave blank for all customers)","Condiții (lasă necompletat pentru toți clienții)"
"Configurable Product","Produs configurabil"
"Coupon expiration days","Zile de expirare cupon"
"Coupon expiration days cannot be negative.","Zilele de expirare ale cuponului nu pot fi negative."
"Coupon Generation Settings","Setări Generație Cupon"
"Coupon Prefix","Prefix Cupon"
"Customer","Client"
"Customer ID is required.","Este necesar ID-ul clientului."
"Customer Lifetime Value","Valoare pe viață client"
"Customer Personal Information","Informatii personale client"
"Customer Segment","Segment Client"
"Customer Since","Client din"
"Customers in Segment","Clienți în Segment"
"Customer Time-based","Timp Client"
"days","zile"
"Days Inactive (No Login or Order)","Zile inactive (fără autentificare sau comandă)"
"Days Since Added to Wishlist","Zile de la adăugarea la Favorite"
"Days Since First Order","Zile de la prima comandă"
"Days Since Last Login","Zile de la ultima autentificare"
"Days Since Last Order","Zile de la ultima comandă"
"Days Since Last View","Zile de la ultima vizualizare"
"Days Since Registration","Zile de la înregistrare"
"Days Until Birthday","Zile până la data nașterii"
"Days Without Purchase","Zile fără cumpărare"
"Delay","Întârziere"
"Delay (Minutes)","Întârziere (Minute)"
"Delay before sending","Întârziere înainte de trimitere"
"Delay minutes cannot be negative.","Minutele de întârziere nu pot fi negative."
"Delete","Ștergere"
