"* Required Fields","* Câmpuri obligatorii"
"-- No API Access --","-- Fără acces API --"
"<strong>%s</strong> requests access to your account","<strong>%s</strong> solicită acces la contul tău"
"Admin","Admin"
"Admin API Access","Acces API Admin"
"After authorization application will have access to you account.","După autorizare, aplicația va avea acces la contul dvs."
"An error occurred.","A apărut o eroare."
"An error occurred. Your authorization request is invalid.","A apărut o eroare. Solicitarea dvs. de autorizare este invalidă."
"An error occurred on confirm authorize.","A aparut o eroare la autorizatia de confirmare."
"An error occurred on delete action.","A aparut o eroare la stergere."
"An error occurred on reject authorize.","A apărut o eroare la autorizarea de respingere."
"An error occurred on saving consumer data.","A apărut o eroare la salvarea datelor consumatorilor."
"An error occurred on update revoke status.","A aparut o eroare la actualizarea statusului de revocare."
"An error occurred while deleting the consumer.","A apărut o eroare la ștergerea consumatorului."
"API Role","Rolul API"
"Application Name","Numele aplicației"
"Assign an API role to grant permissions. Manage roles at System > API > Roles.","Atribuiți un rol API pentru a acorda permisiuni. Gestionați roluri la System > API > Roluri."
"Authorization confirmed","Autorizație confirmată"
"Authorization confirmed.","Autorizare confirmată."
"Authorize","Autorizează"
"Authorize application","Autorizați cererea"
"Authorized Tokens","Tokene autorizate"
"Callback URL","Callback URL"
"Cleanup Probability","Probabilitate de curățare"
"Cleanup Settings","Setări curățare"
"Close","Inchide"
"Confirmation Of Authorization","Confirmarea autorizării"
"Confirm token authorization for admin","Confirmare autorizare token pentru administrator"
"Confirm token authorization Pop Up for admin","Confirmare autorizare pop Up pentru administrator"
"Consumer Information","Informarea consumatorilor"
"Consumer Name","Nume Consumator"
"Consumers","Consumatori"
"Created At","Creat la"
"Current Admin Password","Parola curentă de administrare"
"Customer","Client"
"Delete","Ștergere"
"deleted","șterse"
"Disable","Dezactivează"
"Disabled","Dezactivat"
"Edit","Editare"
"Edit Consumer","Editează Consumator"
"Email","E-mail"
"Email Address","Adresa Email"
"Enable","Activare"
"Enabled","Activat"
"enabled","activat"
"Entry with ID #%s not found.","Intrarea cu ID #%s nu a fost găsită."
"Expiration Period","Perioada de expirare"
"Expires","Expiră"
"Expires At","Expiră la"
"Give the verifier code to application administrator","Dă codul verificatorului administratorului aplicației"
"ID","ID"
"Invalid ID parameter.","Parametru ID invalid."
"Key","Cheie"
"Last Used","Ultima utilizare"
"Leave empty for no expiration","Lăsați gol pentru a nu expira"
"Log In","Autentificare"
"Login","Autentificare"
"Log in as admin","Autentifică-te ca admin"
"Log in to use <strong>%s</strong>","Autentifică-te pentru a folosi <strong>%s</strong>"
"My Applications","Aplicațiile mele"
"My Apps","Aplicațiile mele"
"Name","Nume"
"New Consumer","Consumator nou"
"OAuth","OAuth"
"OAuth Admin My Apps","OAuth Admin Aplicațiile Mele"
"OAuth authorization for admin","Autorizare OAuth pentru administrator"
"OAuth authorization simple for admin","Autorizarea OAuth simplă pentru administrator"
"OAuth Authorized Tokens","Tokene autorizate OAuth"
"OAuth Consumers","Consumatori OAuth"
"Password","Parolă"
"Permissions","Permisiuni"
"Please login to proceed authorization.","Vă rugăm să vă autentificați pentru a continua autorizarea."
"Please select needed row(s).","Vă rugăm să selectaţi rândul (rândurile) necesare."
"Please select revoke status.","Vă rugăm să selectaţi starea de revocare."
"Protocol","Protocol"
"Reject","Respingere"
"Rejected Callback URL","URL-ul Callback respins"
"Rejection Of Authorization","Respingerea autorizației"
"Reject token authorization for admin","Respingere autorizare token pentru administrator"
"Reject token authorization Pop Up for admin","Respingere autorizare token, Pop Up pentru administrator"
"Revoked","Revoked"
"revoked","revoked"
"Role Name","Nume rol"
"Save","Salvează"
"Save and Continue Edit","Salvează și continuă editarea"
"Secret","Secret"
"Selected entries enabled.","Intrările selectate sunt activate."
"Selected entries has been deleted.","Intrările selectate au fost șterse."
"Selected entries revoked.","Intrările selectate au fost revocate."
"Select stores this consumer can access. Leave empty for all stores.","Selectați magazinele pe care acest consumator le poate accesa. Lăsați gol pentru toate magazinele."
"Status","Status"
"Store Access","Accesul Magazinului"
"System","Sistem"
"The application access request is rejected.","Solicitarea de acces a aplicației este respinsă."
"The consumer has been deleted.","Consumatorul a fost șters."
"The consumer has been saved.","Consumatorul a fost salvat."
"Token Status Change","Schimbare statut token"
"Token Status Change Email Template","Sablon Schimbare Status Token"
"Unable to find a consumer.","Imposibil de găsit un consumator."
"User ID","ID Utilizator"
"User Name","Nume Utilizator"
"User Type","Tip Utilizator"
"Verifier code: %s","Cod verificare: %s"
