"Average Duration","Durata medie"
"Average Pages","Pagini medii"
"Bounce Rate","Rata de salt"
"Browsers","Browsers"
"Devices","Dispozitive"
"Devices & Browsers","Dispozitive & Browsere"
"Direct / No referrer","Direct / Fără referințe"
"Enable Log","Activare jurnal"
"Enable Log Cleaning","Activează curățarea jurnalelor"
"Error Email Recipient","Destinatar email eroare"
"Error Email Sender","Error Email Sender"
"Error Email Template","Șablon e-mail de eroare"
"Exit Pages","Ieșiți din pagini"
"Exits","Ieșire"
"Frequency","Frecvenţă"
"Landing Pages","Pagini de aterizare"
"Log","Jurnal"
"Log cleanup Warnings","Înregistrează avertismentele de curățare"
"Logged in","Conectat"
"Login Conversion","Conversie Autentificare"
"New vs Returning","Nou vs Întoarcere"
"No data","Nu există date"
"No language data available","Nu există date de limbă disponibile"
"No page view data available","Nu sunt disponibile date de vizualizare a paginii"
"No traffic source data available","Nu sunt disponibile date privind sursa de trafic"
"of visitors logged in","al vizitatorilor s-au autentificat"
"Online","Online"
"Page","Pagină"
"Returning","Returnare"
"Save Log, Days","Salvare jurnal, Zile"
"Session Metrics","Valori Sesiune"
"Sessions","Sesiuni"
"Start Time","Ora de începere"
"Today","Astăzi"
"Top Pages","Pagini de top"
"Total visitors","Total vizitatori"
"Traffic Sources","Surse de trafic"
"Views","Vizualizări"
"Visitors","Vizitatori"
"Visitors only","Doar vizitatori"
"Visits","Vizite"
"Week","Saptamana"
