"-- Please Select --","-- Vă rugăm selectaţi --"
"Add to Cart","Adaugă în coș"
"Are you sure to delete this fallback color?","Ești sigur că vrei să ștergi această culoare de rezervă?"
"Choose an Option...","Alegeți o opțiune..."
"Configurable Swatches","Ceasuri configurabile"
"Dynamic Price Change for Swatches in Product Listing","Schimbarea dinamică a prețului pentru ceasuri în lista de produse"
"Enabled","Activat"
"General Settings","Setări generale"
"Height","Înălțime"
"Innermost dimensions, not including border, in pixels","Dimensiuni interioare, fără graniță, în pixeli"
"In Stock","În Stoc"
"Out of Stock","Stoc epuizat"
"Previous","Anterior"
"Product Attributes to Show as Swatches in Product Detail","Atributele produsului de afișat ca ceasuri în Detaliile Produsului"
"Product Attribute to Use for Swatches in Product Listing","Atribut de folosit pentru ceasuri in Listarea Produselor"
"Remove This Item","Elimină acest element"
"Swatch","Vizionează"
"Swatch Dimensions in Layered Navigation","Dimensiunile ceasului în navigarea în straturi"
"Swatch Dimensions in Product Listing","Dimensiuni de ceas în lista de produse"
"Swatch Dimensions on Product Detail Page","Dimensiuni de ceas pe pagina de detalii a produsului"
"Width","Width"
