"""Remember Me"" Default Value","Valoare Implicită""Memorare parolă"""
"(Not %s?)","(Nu %s?)"
"* Required Fields","* Campuri obligatorii"
"Address","Adresa"
"Address Information","Informații despre adresă"
"Already registered?","Sunteți deja înregistrat?"
"Back","înapoi"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Prin crearea unui cont în cadrul magazinului, veți putea parcurge mai rapid procesul de finalizare a comenzilor, veți avea posibilitatea de a stoca mai multe adrese de expediere, de a vedea și urmări comenzile și multe altele."
"Cannot load configuration from file %s.","Nu se poate încărca configurația din fișierul %s."
"Checking &quot;Remember Me&quot; will let you access your shopping cart on this computer when you are logged out","Verifică &quot;Ține-mă minte&quot; îți permite accesul la coșul de cumpărături pe acest computer atunci când eşti deconectat"
"Checkout as Guest","Finalizare Comandă ca Vizitator"
"Checkout as a Guest","Plătește ca Oaspete"
"Checkout as a Guest or Register","Finalizare Comandă ca Vizitator sau Înregistrare"
"City","Oraș"
"Clear Persistence on Log Out","Curățare Persistență la Delogare"
"Close","închideți"
"Company","Companie"
"Confirm Password","Confirmați parola"
"Continue","Continuați"
"Country","Țară?"
"Create an Account","Creează un cont"
"Easy access to your order history and status","Acces facil la istoricul și starea comenzilor dvs."
"Email Address","Adresa Email "
"Enable ""Remember Me""","Activați ""Memorare parolă"""
"Enable Persistence","Activare durabilitate"
"Fast and easy check out","Finalizare comandă rapidă și ușoară"
"Faster checkout","Checkout mai rapid"
"Fax","Fax"
"Forgot Your Password?","Ați uitat parola?"
"Forgot your password?","Ați uitat parola?"
"General Options","Opțiuni generale"
"If you have an account with us, please log in.","Dacă sunteți deja înregistrat, vă rugăm să vă autentificați."
"Loading next step...","Se încarcă pasul următor..."
"Login","Conectare"
"Login Information","Informații Logare"
"Login or Create an Account","Logare sau Creare Cont"
"New Customers","Clienți noi"
"New Here?"," Nou aici?"
"Password","Parolă"
"Persist Shopping Cart","Mențineți Coșul de Cumpărături"
"Persistence Lifetime (seconds)","Termen durabilitate (secunde)"
"Persistent Shopping Cart","Coș de cumpărături durabil"
"Personal Information","Informații personale"
"Please enter the following information to create your account.","Vă rugăm să introduceți următoarele informații pentru a crea contul dvs."
"Please log in below:","Logați-vă mai jos:"
"Please select region, state or province","Alegeți județul"
"Register","Înregistrați-vă"
"Register and Checkout","Înregistrează și Plătește"
"Register and save time!","Înregistrați-vă și economisiți timp!"
"Register to Create an Account","Înregistrați-vă și Creați-vă un cont"
"Register with us for future convenience:","Înregistrați-vă pentru comfort ulterior:"
"Registered Customers","Clienți înregistrați"
"Registration is free and easy!","Înregistrarea este gratuită și ușoară!"
"Remember Me","Memorare parolă"
"Returning Customers","Clienți Recurenți"
"Save in address book","Salvați în agenda cu adrese"
"Save multiple shipping addresses","Salvați mai multe adrese de livrare"
"Select State/Province...","Selectare Județ..."
"Select a billing address from your address book or enter a new address.","Selectați o adresă de facturare din agendă sau introduceți una nouă."
"Ship to different address","Expediere la o adresă diferită"
"Ship to this address","Expediere la această adresă"
"Shopping cart has been updated with appropriate prices","Coșul de cumpărături a fost actualizat cu prețurile corespunzătoare"
"Sign Up for Newsletter","Abonare newsletter"
"Sign in to speed up your checkout process","Conectează-te pentru a accelera procesul de checkout"
"State/Province","Stat/zonă"
"Street Address","Adresă stradă"
"Street Address %s","Adresa Stradală %s"
"Submit","Trimiteți"
"Telephone","Telefon"
"To proceed to Checkout, please log in using your email address.","Pentru a continua cu Finalizarea Comenzii, vă rugăm logați-vă folosind adresa dvs. de e-mail."
"VAT Number","Număr TVA"
"View and track orders and more","Vizualizați și urmăriți comenzile și mai mult"
"Welcome, %s!","Bine ați venit, %s!"
"What's this?","Ce este aceasta?"
"What's this?","What's this?"
"Zip/Postal Code","Cod poștal"
