"%1$s incl tax.","%1$s inclusiv taxa."
"* Required Fields","* Câmpuri obligatorii"
"-- Select --","-- Selectează --"
"Add New Option","Adaugă o opțiune nouă"
"Add Selection","Adaugă selecţie"
"and","şi"
"Bundle","Pachet"
"Bundle Items","Pachete de articole"
"Bundle Product","Pachet produs"
"Buy %1$s","Cumpără %1$s"
"Buy %1$s for","Cumpără %1$s pentru"
"Buy %1$s for %2$s","Cumpără %1$s pentru %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Cumpără %1$s pentru %2$s (%3$s incl. taxă) fiecare"
"Buy %1$s for %2$s each","Cumpără %1$s pentru %2$s fiecare"
"Buy %1$s with %2$s discount each","Cumpără %1$s cu o reducere %2$s fiecare"
"Catalog Product View (Bundle)","Catalog Produs (pachet)"
"Checkbox","Casuta"
"Choose a selection...","Alegeți o selecție..."
"Click for price","Click pentru preț"
"Close","Inchide"
"Default","Implicit"
"Default Qty","Default Qty"
"Default Title","Default Title"
"Drop-down","Luminozitate"
"Dynamic","Dinamic"
"each","fiecare"
"Excl. Tax","Fără TVA"
"Excl. Tax:","Taxa excl:"
"Fixed","Fixat"
"From","De la"
"From:","De la:"
"Gift Message","Mesaj cadou"
"Incl. Tax","Taxe incluse"
"Incl. Tax:","Taxă inclusă:"
"Input Type","Input Type"
"Is Required","Este necesar"
"Message:","Mesaj:"
"Multiple Select","Selectare multiplă"
"N/A","N/A"
"None","Niciunul"
"No options of this product are available.","Nu sunt disponibile optiuni ale acestui produs."
"Percent","Procent"
"Percent Discount","Reducere procentuala"
"Please enter a number greater 0 in this field.","Te rog introdu un numar mai mare de 0 in acest camp."
"Please enter search conditions to view products.","Vă rugăm să introduceţi condiţiile de căutare pentru a vizualiza produsele."
"Please select options for product.","Selectati optiunile pentru produs."
"Please Select Products to Add","Selectați produsele pentru a le adăuga"
"Please specify product option(s).","Vă rugăm să specificați opțiunea (opțiunile) produsului."
"Position","Poziție"
"Price as configured","Preț configurat"
"Price Range","Interval de preț"
"Price Type","Tip Preț"
"Qty:","Cantitate:"
"Radio Buttons","Butoane radio"
"Required options are not selected.","Opțiunile obligatorii nu sunt selectate."
"save","salvează"
"Selected required options are not available.","Opțiunile necesare selectate nu sunt disponibile."
"Separately","Separat"
"Ship Bundle Items","Articole din pachet"
"Shipment","Livrare"
"SKU","SKU"
"Store View Title","Titlu vizualizare magazin"
"There is no defined renderer for ""%s"" option type.","Nu există un dispozitiv de redare definit pentru ""%s"" tip de opţiune."
"This product is also part of bundle(s)","Acest produs face parte, de asemenea, din grup(uri)"
"To","La"
"To:","Către:"
"Together","Împreună"
"Total incl. Tax: %1$s","Total incl. TVA: %1$s"
"Use Default Value","Folosește valoarea implicită"
"User Defined Qty","Cantitate definită de utilizator"
