"Action","Acţiune"
"Add New Template","Adaugă șablon nou"
"Add to Queue","Adaugă la șir"
"Allow Guest Subscription","Permiteți abonare vizitator"
"An error occurred while saving your subscription.","An error occurred while saving your subscription."
"Back","înapoi"
"Be the first to know about new arrivals, special offers, and insider news.","Be the first to know about new arrivals, special offers, and insider news."
"Cancel","Anulează"
"Cancelled","Anulat"
"Cannot delete this template. It is currently used by %d email automation sequence(s). Please reassign or delete those sequences first.","Cannot delete this template. It is currently used by %d email automation sequence(s). Please reassign or delete those sequences first."
"Cannot mark as received subscriber.","Cannot mark as received subscriber."
"Confirmation Email Sender","Confirmare Email Expeditor"
"Confirmation Email Template","Confirmare Email șablon"
"Confirmation request has been sent.","Confirmation request has been sent."
"Convert to Plain Text","Transformați în text simplu"
"Coupon Code","Cod cupon"
"Coupon Expiration Date (Formatted)","Coupon Expiration Date (Formatted)"
"Coupon Expiration Date (Raw)","Coupon Expiration Date (Raw)"
"Coupon Rule Description","Coupon Rule Description"
"Create Newsletter Template","Creează șablon Buletin informativ"
"Customer","Client"
"Customer Email","Email client"
"Customer First Name","Prenume client"
"Customer Last Name","Nume client"
"Customer Middle Name","Customer Middle Name"
"Customer My Account Newsletter Subscriptions","Customer My Account Newsletter Subscriptions"
"Customer Name","Nume client"
"Customer Name (Object)","Customer Name (Object)"
"Customer Segments","Customer Segments"
"Customer Variables","Customer Variables"
"Date Added","Data Adăugării"
"Date Updated","Date Updated"
"Default Template","șablon Implicit"
"Delete","Ștergere"
"Delete Selected Problems","ștergeți problemele selectate"
"Delete Template","șterge șablon"
"Do you really want to cancel the queue?","Sunteți sigur că doriți să anulați șirul?"
"Duplicate template code.","Duplicate template code."
"Edit Newsletter","Editare Buletin informativ"
"Edit Newsletter Template","Editare șablon Buletin informativ"
"Edit Queue","Editare șir"
"Edit Template","Editare șablon"
"Email","Email"
"Email Automation Variables","Email Automation Variables"
"Error Code","Cod de eroare"
"Error Text","Text eroare"
"Follow this link to unsubscribe:","Follow this link to unsubscribe:"
"Guest","Vizitator"
"ID","ID"
"Insert Variable...","Insert Variable..."
"Invalid queue selected.","Invalid queue selected."
"Invalid sender email address","Invalid sender email address"
"Invalid subscription confirmation code.","Invalid subscription confirmation code."
"Invalid subscription ID.","Invalid subscription ID."
"Message","Mesaj"
"Need to Confirm","Confirmare necesară"
"New Newsletter Template","șablon Buletin informativ nou"
"Newsletter","Buletin informativ"
"Newsletter Message Preview","Previzualizare mesaj Buletin informativ"
"Newsletter Problem Reports","Rapoarte probleme Buletin informativ"
"Newsletter Queue","șir Buletine informative"
"Newsletter Styles","Stiluri Buletin informativ"
"Newsletter Subscribers","Abonați Buletin informativ"
"Newsletter Subscription","Abonare la newsletter"
"Newsletter subscription confirmation","Newsletter subscription confirmation"
"Newsletter Subscription Form","Newsletter Subscription Form"
"Newsletter Subscription Form Before","Newsletter Subscription Form Before"
"Newsletter subscription success","Newsletter subscription success"
"Newsletter Templates","șabloane Buletin informativ"
"Newsletter unsubscription success","Newsletter unsubscription success"
"Newsletter Variables","Newsletter Variables"
"New Template","șablon nou"
"No problems found.","No problems found."
"No subscribers selected.","No subscribers selected."
"Not Activated","Neactivat"
"No Templates Found","Nici un șablon găsit"
"Not Sent","Netrimis"
"Pause","Pauză"
"Paused","Pauză"
"Please enter a valid email address.","Te rog introdu o adresa de email valida."
"Please refer to exeption.log","Please refer to exeption.log"
"Please select subscriber(s)","Please select subscriber(s)"
"Preview","Previzualizare"
"Preview Template","Previzualizare șablon"
"Processed","Procesat"
"Queue Date Start","Dată de început șir"
"Queue Finish","Queue Finish"
"Queue Information","Informații șir"
"Queue Newsletter...","Queue Newsletter..."
"Queue Start","început șir"
"Queue Subject","Subiect șir"
