"-- Please Select --","-- Vă rugăm selectaţi --"
"0 = never expires. Can be overridden per product.","0 = never expires. Can be overridden per product."
"Action","Acţiune"
"Active","Activ"
"Add a message...","Add a message..."
"Add New Gift Card","Add New Gift Card"
"Admin Comment","Admin Comment"
"Allow Gift Message","Allow Gift Message"
"Allow Message","Allow Message"
"All Websites","Toate website-urile"
"Amount","Sumă"
"Amount Range","Amount Range"
"An error occurred. Please try again.","An error occurred. Please try again."
"Applied Gift Cards:","Applied Gift Cards:"
"Apply","Aplicare"
"Apply Gift Card","Apply Gift Card"
"Applying...","Applying..."
"Balance","Balance"
"Balance: %s","Balance: %s"
"Balance After","Balance After"
"Balance Before","Balance Before"
"Can be overridden per product.","Can be overridden per product."
"Cannot apply gift card.","Cannot apply gift card."
"Cannot remove gift card.","Cannot remove gift card."
"Card Type","Card Type"
"Check","Check"
"Check Balance","Check Balance"
"Checking...","Checking..."
"Code","Cod"
"Code Length","Lungime cod"
"Code Prefix (e.g., GC)","Code Prefix (e.g., GC)"
"Comma-separated values (e.g., 25,50,100)","Comma-separated values (e.g., 25,50,100)"
"Created","Creat la"
"Created %d gift card product(s): %s","Created %d gift card product(s): %s"
"Created At","Creat la"
"Create Gift Card Products","Create Gift Card Products"
"Current Balance","Current Balance"
"Custom Amount","Custom Amount"
"Date","Dată"
"Default: %s","Default: %s"
"Default Expiry (days)","Default Expiry (days)"
"Delete","Ștergere"
"Delete Gift Card","Delete Gift Card"
"Disabled","Dezactivat"
"Edit","Editare"
"Edit Gift Card '%s'","Edit Gift Card '%s'"
"Edit this to manually adjust the balance. Use ""Admin Comment"" to explain the adjustment.","Edit this to manually adjust the balance. Use ""Admin Comment"" to explain the adjustment."
"Email Sender","Expeditor e-mail"
"Email Settings","Email Settings"
"Email Template","Șablon e-mail"
"Enable Gift Cards","Enable Gift Cards"
"Enter gift card code","Enter gift card code"
"Error generating gift card PDF: %s","Error generating gift card PDF: %s"
"Expired","Expired"
"Expires","Expires"
"Expires At","Expires At"
"Fixed + Range","Fixed + Range"
"Fixed Amount(s)","Fixed Amount(s)"
"Fixed Amounts","Fixed Amounts"
"From","De la"
"From:","De la:"
"Gift Card","Gift Card"
"Gift card ""%s"" has been fully used.","Gift card ""%s"" has been fully used."
"Gift card ""%s"" has expired.","Gift card ""%s"" has expired."
"Gift card ""%s"" is already applied.","Gift card ""%s"" is already applied."
"Gift card ""%s"" is not active.","Gift card ""%s"" is not active."
"Gift card ""%s"" is not valid.","Gift card ""%s"" is not valid."
"Gift card ""%s"" is not valid for this website.","Gift card ""%s"" is not valid for this website."
"Gift card ""%s"" was applied.","Gift card ""%s"" was applied."
"Gift card amount cannot be less than %s","Gift card amount cannot be less than %s"
"Gift card amount cannot be more than %s","Gift card amount cannot be more than %s"
"Gift Card Code","Gift Card Code"
"Gift Card History","Gift Card History"
"Gift Card Information","Gift Card Information"
"Gift card not found.","Gift card not found."
"Gift Card Notification Email","Gift Card Notification Email"
"Gift Card Options","Gift Card Options"
"Gift card products cannot be added when a gift card code is applied. Please remove the gift card code first.","Gift card products cannot be added when a gift card code is applied. Please remove the gift card code first."
"Gift Cards","Gift Cards"
"Gift cards cannot be used to purchase gift card products.","Gift cards cannot be used to purchase gift card products."
"Gift Cards Configuration","Gift Cards Configuration"
"Gift Card Transaction History","Gift Card Transaction History"
"Gift card was removed.","Gift card was removed."
"Gift Certificates","Gift Certificates"
"Inactive","Inactiv"
"Initial Balance","Initial Balance"
"Invalid form key. Please refresh the page and try again.","Invalid form key. Please refresh the page and try again."
"Invalid gift card code.","Invalid gift card code."
"Invalid request.","Invalid request."
"Leave blank for immediate delivery","Leave blank for immediate delivery"
"Leave empty to use system default. 0 = never expires.","Leave empty to use system default. 0 = never expires."
"Lifetime (days)","Lifetime (days)"
"Lost cards not replaced","Lost cards not replaced"
"Manage Gift Cards","Manage Gift Cards"
"Maximum Amount","Maximum Amount"
"Message:","Mesaj:"
"Minimum Amount","Cantitate minimă"
"New Gift Card","New Gift Card"
"Not redeemable for cash","Not redeemable for cash"
"Optional","Optional"
"Order #","Comanda #"
