"Additional Product Attributes","Atribute Adiționale ale Produsului"
"API Endpoint URL","API Endpoint URL"
"Authentication Type","Tipul de autentificare"
"Auth Token","Token Auth"
"Bearer Token","Token purtător"
"Custom Header","Antet personalizat"
"Custom Header Name","Nume antet personalizat"
"Debug Mode","Mod depanare"
"Displayed Error Message","Mesaj de eroare afișat"
"Enabled","Activat"
"None","Niciunul"
"Request Timeout (seconds)","Durata solicitării (secunde)"
"Select product attributes to include in the API request payload.","Selectați atributele produsului pentru a include în cererea API payload."
"Shipping Bridge","Pod de livrare"
"Ship to Applicable Countries","Livrare către țările candidate"
"Ship to Specific Countries","Livrare la anumite țări"
"Sort Order","Ordinea de sortare"
"Title","Titlu"
