"%s message(s) discarded.","%s mesaj(e) șterse."
"%s message(s) re-queued.","%s mesaj(e) re-puse în coadă."
"%s message(s) were skipped: only failed or stuck messages without a newer copy of their dedupe key can be retried.","Mesajul(ele) %s au fost omise: numai mesajele eșuate sau fără o copie mai nouă a cheii lor de dedupe pot fi recuperate."
"%s queue message(s) were claimed by a worker that never finished. They are not re-queued automatically: <a href=""%s"">retry or discard them</a>.","Mesaj(e) de coadă %s au fost revendicate de un lucrător care nu s-a terminat niciodată. Nu sunt repuse în așteptare automat: <a href=""%s"">reîncearcă sau aruncă din ele</a>."
"0 keeps failed messages forever.","0 păstrează mesaje eșuate pentru totdeauna."
"0 removes messages immediately on success; a positive value keeps them visible in the grid for this many days.","0 elimină mesajele imediat după succes; o valoare pozitivă le menține vizibile în grilă pentru atâtea zile."
"Action","Acțiune"
"Available","Disponibil"
"Available (UTC)","Disponibil (UTC)"
"Back","Înapoi"
"Background message processing. Maho cron keeps one detached ""queue:work"" worker running per pool: a resident ""fast"" worker so short jobs never queue behind long ones, plus a ""slow"" catch-all started only while it has work. Both are respawned within a minute if they die. Pools are declared in config.xml under global/queue/pools.","Procesare mesaj de fundal. Maho cron păstrează un lucrător detașat „la coadă:work” care funcționează pe grup: un lucrător „rapid” rezident atât de scurt încât să nu stea în spatele unor locuri de muncă lungi, plus o captură „lentă” a început doar atunci când a funcţionat. Ambii sunt respawnați într-un minut dacă mor. Grupurile sunt declarate în config.xml în glob/coada de așteptare/piscine."
"Body (serialized)","Corp (seriat)"
"Claimed (UTC)","Claimed (UTC)"
"Completed","Completat"
"Discard","Renunțați"
"Discard Messages","Renunțați la mesaje"
"Each retry waits this many times longer than the previous one.","Fiecare reîncercare aşteaptă acest lucru de mai multe ori mai mult decât cel anterior."
"Error","Eroare"
"Failed","Eșuat"
"Failed messages are retried this many times with exponential backoff, then marked failed.","Mesajele eșuate sunt reîncercate de multe ori cu backoff-ul exponențial, apoi marcate eșuat."
"ID","ID"
"Initial Retry Delay (seconds)","Întârziere reîncercare iniţială (secunde)"
"Keep Completed Messages (days)","Păstrează mesajele finalizate (zile)"
"Keep Failed Messages (days)","Păstrare mesaje eșuate (zile)"
"Max Retries","Repetări maxime"
"Max Retry Delay (seconds)","Întârziere maximă reîncercare (secunde)"
"Message","Mesaj"
"Message #%s","Mesaj #%s"
"Message Class","Message Class"
"Message Details","Detalii mesaj"
"Message discarded.","Mesaj eliminat."
"Message not found.","Mesajul nu a fost găsit."
"Message Queue","Mesaje în așteptare"
"Message re-queued.","Mesaj în aşteptare."
"Pending","In asteptare"
"Permanently delete the selected messages?","Ștergeți definitiv mesajele selectate?"
"Permanently delete this message?","Ștergeți definitiv acest mesaj?"
"Processed (UTC)","Procesat (UTC)"
"Processing","Prelucrare"
"Queue","Coadă"
"Queued","În aşteptare"
"Queued (UTC)","Queued (UTC)"
"Re-queue the selected messages?","Reamintiți mesajele selectate?"
"Re-queue this message?","Reamintiți acest mesaj?"
"Retries","Repetări"
"Retry","Reîncercați"
"Retry Delay Multiplier","Reîncearcă Întârzierea Multiplicatorului"
"Retry Messages","Reîncercați mesajele"
"Status","Status"
"The message was not retried: only failed or stuck messages without a newer copy of their dedupe key can be retried.","Mesajul nu a fost trimis: numai mesajele eșuate sau blocate fără o copie mai nouă a cheii de dedusă pot fi recuperate."
"Upper bound for the backoff. 0 means no bound.","Limita superioară pentru retrocedare. 0 înseamnă nicio limită."
"View","Vizualizare"
"View Messages","Vizualizare mesaje"
