"-- None --","-- Nimic --"
"Adds aggregateRating (rating value and review count) and individual review nodes (reviewer name and review text) to the product schema when reviews are enabled.","Adaugă ratingul agregat (valoarea ratingului şi numărul de revizuiri) şi nodurile individuale de revizuire (nume editor şi recenzie text) la schema de produse atunci când recenziile sunt activate."
"Brand Attribute","Atribut de marcă"
"Enable Structured Data","Activare date structurate"
"GTIN Attribute","Atribut GTIN"
"Include Ratings & Reviews","Include evaluchar@@0ri char@@2i recenzii"
"Local Business","Întreprinderi locale"
"MPN Attribute","Atribut MPN"
"Online Store","Magazin online"
"Organization","Organizație"
"Organization Type","Tipul organizației"
"Outputs <strong>JSON-LD structured data</strong> following schema.org and Google's requirements, enabling rich results for products, breadcrumbs, organization info and site search. Validate your pages with the <a href=""https://search.google.com/test/rich-results"" target=""_blank"">Google Rich Results Test</a>.","Realizări <strong>Date structurate JSON-LD</strong> urmând cerințele schema.org și Google, permițând rezultate bogate pentru produse, breadcrumbs, informații despre organizație și căutarea site-ului. Validează paginile cu <a href=""https://search.google.com/test/rich-results"" target=""_blank"">Google Rich Results Test</a>."
"Product attribute holding the Global Trade Item Number (UPC/EAN/ISBN).","Atributul produsului care deține Numărul Global de Comerț (UPC/EAN/ISBN)."
"Product attribute holding the Manufacturer Part Number.","Atributul produsului care deține Numărul de Partea Producătorului."
"Product attribute used for the schema.org ""brand"" property.","Atributul produsului folosit pentru proprietatea schema.org ""brand""."
"Product Schema","Schema de produse"
"Structured Data (schema.org)","Date structurate (schema.org)"
