"Alert Email Sender","Expeditor Email Alertă"
"Alert subscription has been saved.","Abonamentul a fost salvat."
"Allow Alert When Product Comes Back in Stock","Permite alertă atunci când produsul se întoarce în stoc"
"Allow Alert When Product Price Changes","Permite Alerta atunci cand se schimba pretul produsului"
"Click here not to receive alerts for this product","Click aici pentru a nu primi alerte pentru acest produs"
"Error Email Recipient","Destinatar email eroare"
"Error Email Sender","Error Email Sender"
"Error Email Template","Șablon e-mail de eroare"
"Frequency","Frecvenţă"
"Not enough parameters.","Nu sunt suficienți parametri."
"Price:","Preț:"
"Price Alert Email Template","Șablon e-mail alertare preț"
"Product Alerts","Alerte produs"
"Product alerts Cron error","Alerte produse Cron eroare"
"Product Alerts Run Settings","Alerte produse ruleaza setarile"
"Product price alert","Alertă preț produs"
"Product stock alert","Alertă stoc produs"
"Regular Price:","Preț regulat:"
"Sign up for price alert","Înscrie-te pentru alerta de preț"
"Sign up to get notified when this product is back in stock","Înregistrează-te pentru a primi notificări atunci când acest produs este din nou în stoc"
"Special price:","Preț special:"
"Start Time","Ora de începere"
"Stock Alert Email Template","Șablon e-mail alertă stoc"
"The alert subscription has been deleted.","Abonamentul de alertă a fost șters."
"The alert subscription has been saved.","Abonamentul de alertă a fost salvat."
"The product is not found.","Produsul nu a fost găsit."
"The product was not found.","Produsul nu a fost găsit."
"Unable to update the alert subscription.","Nu s-a putut actualiza abonamentul de alertă."
"Unsubscribe from all price alerts","Dezabonare de la toate alertele de preț"
"Unsubscribe from all stock alerts","Dezabonare de la toate alertele de stoc"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Primiți această notificare deoarece v-ați abonat să primiți alerte atunci când următoarele produse sunt din nou în stoc:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Primiți această notificare deoarece v-ați abonat să primiți alerte atunci când prețurile pentru următoarele produse au fost modificate:"
"You will no longer receive price alerts for this product.","Nu veți mai primi alerte de preț pentru acest produs."
"You will no longer receive stock alerts.","Nu vei mai primi alerte de stoc."
"You will no longer receive stock alerts for this product.","Nu vei mai primi alerte stoc pentru acest produs."
