"""Remember Me"" Default Value","Valoarea implicită ""Ține-mă minte"""
"* Required Fields","* Câmpuri obligatorii"
"2FA Verification Code","Codul de verificare 2FA"
"2FA verification code is invalid.","Codul de verificare 2FA nu este valid."
"Accept Format-valid VAT When VIES Unavailable","Acceptați TVA format valabil atunci când VIES nu este disponibil"
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>."
"Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href=""%s"">click here</a>.","Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href=""%s"">click here</a>."
"Account Dashboard","Tablou de bord"
"Account Information","Informații cont"
"Account Options","Opțiuni cont"
"Account Sharing Options","Opțiuni de partajare cont"
"Action","Acțiune"
"Added From","Adăugat de la"
"Additional Address Entries","Intrări Adrese Suplimentare"
"Add New Address","Adauga o adresa noua"
"Add New Customer","Adaugă client nou"
"Add New Customer Group","Adaugă Grup de Clienți Nou"
"Address","Adresa"
"Address Book","Agendă adrese"
"Addresses","Adrese"
"Address Information","Informații adresă"
"Address Templates","Șabloane adresă"
"Admin","Admin"
"All","Toate"
"All countries","Toate țările"
"ALL GROUPS","TOATE GRUPURILE"
"Allow customers to login via a secure link sent to their email instead of using a password.","Permiteți clienților să se autentifice prin intermediul unui link securizat trimis la adresa lor de e-mail, în loc să utilizeze o parolă."
"Allow Two-Factor Authentication","Permite autentificarea în doi pași"
"All Store Views","Toate vizualizarea magazinului"
"Always optional.","Întotdeauna opţional."
"Amount","Sumă"
"An error occurred during validation. Please try again.","A apărut o eroare în timpul validării. Vă rugăm să încercați din nou."
"An error occurred while deleting the address.","A aparut o eroare la stergerea adresei."
"An error occurred while retrieving the option value: %s.","A apărut o eroare la preluarea valorii opțiunii: %s."
"An error occurred while saving the collection, aborting. Error: %s","A aparut o eroare la salvarea colectiei, la abandonarea ei. Eroare: %s"
"An error occurred while updating two-factor authentication.","A aparut o eroare la actualizarea autentificarii cu doi factori."
"An invalid option ID is specified for %s (%s), skipping the record.","Un ID de opţiune nevalid este specificat pentru %s (%s), sărind peste record."
"Approved","Aprobat"
"Are you sure?","Ești sigur?"
"Are you sure that you want to remove this item?","Sunteţi sigur că doriţi să ştergeţi acest element?"
"Are you sure you want to cancel adding of this address?","Sigur doriți să anulați adăugarea acestei adrese?"
"Are you sure you want to delete this address?","Sunteţi sigur că doriţi să ştergeţi această adresă?"
"Assign a Customer Group","Atribuiți un Grup de Clienți"
"Average Sale","Reducere medie"
"Back","Înapoi"
"Bad request.","Cerere greșită."
"Based on the VAT ID, the customer would belong to the Customer Group %s.","Pe baza ID-ului de TVA, clientul va face parte din Grupul de Clienți %s."
"Bill to Name","Facturare către Nume"
"Bought From","Cumpărat de la"
"By Email","Prin e-mail"
"By IP","După IP"
"By IP and Email","După IP și e-mail"
"Cache Lifetime (hours)","Cache viață (ore)"
