"3D Secure","Securizare 3D"
"3D Secure Card Validation","Validare card 3D securizat"
"Accepted Currency","Acceptat Moneda"
"Allow Partial Authorization","Permite autorizarea parțială"
"amount %s","suma %s"
"API Login ID","ID API Login"
"Are you sure you want to cancel your payment? Click OK to cancel your payment and release the amount on hold. Click Cancel to enter another credit card and continue with your payment.","Sigur doriți să anulați plata? Faceți clic pe OK pentru a anula plata și pentru a elibera suma în așteptare. Faceți clic pe Anulare pentru a introduce un alt card de credit și continuați plata."
"authorize","Autorizează"
"Authorize.net (Deprecated)","Authorize.net (Deprecated)"
"Authorize.Net Transaction ID %s","ID tranzacție Authorize.Net %s"
"Authorize and Capture","Autorizează și Capturează"
"authorize and capture","autorizează și captură"
"Authorize Only","Autorizează doar"
"Cancel","Anulează"
"capture","captură"
"Credit Card: xxxx-%s","Card de credit: xxxx-%s"
"Credit Card Types","Tipuri de card de credit"
"Credit Card Verification","Verificare card de credit"
"Debug","Debug"
"Email Customer","E-mail client"
"Enabled","Activat"
"Error in payment gateway.","Eroare în gateway-ul de plată."
"failed","eșuat"
"Gateway actions are locked because the gateway cannot complete one or more of the transactions. Please log in to your Authorize.Net account to manually resolve the issue(s).","Acțiunile tip poartă sunt blocate deoarece poarta nu poate completa una sau mai multe tranzacții. Te rugăm să te autentifici în contul tău Authorize.Net pentru a rezolva manual problemele."
"Gateway error: %s","Gateway error: %s"
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.","Dacă este gol, va fi folosită o valoare implicită. URL-ul personalizat poate fi furnizat de acordul CardinalCommerce."
"Invalid amount for authorization.","Sumă nevalidă pentru autorizare."
"Invalid amount for capture.","Sumă nevalidă pentru capturare."
"Invalid amount for partial authorization.","Sumă nevalidă pentru autorizarea parțială."
"Invalid amount for refund.","Sumă nevalidă pentru rambursare."
"Invalid split tenderId ID.","ID parte nevalid."
"Maximum Order Total","Comanda Maximă Total"
"Merchant's Email","E-mailul comerciantului"
"Minimum Order Total","Totalul minim al comenzii"
"New Order Status","Stare comandă nouă"
"Parent Authorize.Net transaction (ID %s) expired","Tranzacția parentală Authorize.Net (ID %s) a expirat"
"Payment Action","Acțiune de plată"
"Payment authorization error.","Eroare la autorizarea plății."
"Payment canceling error.","Eroare la anularea plății."
"Payment capturing error.","Eroare la capturarea plății."
"Payment from Applicable Countries","Plata din partea țărilor aplicabile"
"Payment from Specific Countries","Plata din partea anumitor țări"
"Payment partial authorization error.","Eroare de autorizare parţială a plăţii."
"Payment refunding error.","Eroare de rambursare a plății."
"Payment updating error.","Eroare la actualizarea plății."
"Payment voiding error.","Payment voiding error."
"Processed Amount","Sumă procesată"
"refund","rambursare"
"Remaining Balance","Soldul rămas"
"Severe 3D Secure Card Validation","Validare severă 3D Secure Card"
"Severe Validation Removes Chargeback Liability on Merchant","Validarea severă elimină răspunderea returnării la comerciant"
"Shopping cart contents and/or address has been changed.","Conținutul și/sau adresa coșului de cumpărături a fost modificat."
"Sort Order","Ordinea de sortare"
"successful","succes"
"Test Mode","Modul de testare"
"The amount on your credit card is insufficient to complete your purchase. The available amount has been put on hold. To complete your purchase click OK and specify additional credit card number. To cancel the purchase and release the amount on hold, click Cancel.","Suma de pe cardul dvs. de credit este insuficientă pentru a finaliza achiziția. Suma disponibilă a fost păstrată. Pentru a finaliza achiziția dați click pe OK și specificați numărul suplimentar al cardului de credit. Pentru a anula achiziția și pentru a elibera suma pe care o dețineți, faceți clic pe Anulare."
"There was an error canceling transactions. Please contact us or try again later.","A apărut o eroare la anularea tranzacțiilor. Vă rugăm să ne contactați sau să încercați din nou mai târziu."
"Title","Titlu"
"Transaction Key","Cheie tranzacție"
"void","nul"
"You have reached the maximum number of credit card allowed to be used for the payment.","Ați atins numărul maxim de card de credit care poate fi utilizat pentru plată."
"You have reached the maximum number of credit cards that can be used for one payment. The available amounts on all used cards were insufficient to complete payment. The payment has been cancelled and amounts on hold have been released.","Ați atins numărul maxim de carduri de credit care pot fi utilizate pentru o singură plată. Sumele disponibile pe toate cardurile utilizate nu au fost suficiente pentru a finaliza plata. Plata a fost anulată și sumele reținute au fost eliberate."
"Your credit card has been declined. Click OK to specify another credit card to complete your purchase. Click Cancel to release the amount on hold and select another payment method.","Cardul de credit a fost refuzat. Faceți clic pe OK pentru a specifica un alt card de credit pentru a finaliza achiziția. Faceți clic pe Anulare pentru a elibera suma în așteptare și selectați o altă metodă de plată."
"Your order has not been placed, because contents of the shopping cart and/or address has been changed. Authorized amounts from your previous payment that were left pending are now released. Please go through the checkout process for your recent cart contents.","Comanda dvs. nu a fost plasată, deoarece conținutul coșului și/sau al adresei a fost modificat. Sumele autorizate de la plata anterioară care a rămas în așteptare sunt acum lansate. Vă rugăm să treceți prin procesul de finalizare a comenzii pentru conținutul dvs. recent din coș."
"Your payment has been cancelled. All authorized amounts have been released.","Plata dvs. a fost anulată. Toate sumele autorizate au fost eliberate."
