"All Websites","Toate site-urile"
"Apply Discounts To FPT","Aplică reduceri FPT"
"Display Prices In Emails","Afiseaza preturile in e-mailuri"
"Display Prices In Product Lists","Afișează prețurile în listele de produse"
"Display Prices In Sales Modules","Afiseaza preturile in modulele de vanzari"
"Display Prices On Product View Page","Afiseaza preturile pe pagina de vizualizare a produsului"
"Enable FPT","Activează FPT"
"Excluding FPT","Fără FPT"
"Excluding FPT, FPT description, final price","Excluzând FPT, descrierea FPT, preţul final"
"Fixed Product Tax","Impozit pe produs fix"
"Fixed Product Taxes","Taxe pe produse fixe"
"FPT Tax Configuration","Configurare impozit FPT"
"Include FPT In Subtotal","Include FPT în subtotal"
"Including FPT and FPT description","Inclusiv descrierea FPT şi FPT"
"Including FPT and FPT description [incl. FPT VAT]","Inclusiv descrierea FPT şi FPT [incl. TVA FPT]"
"Including FPT only","Include doar FPT"
"Loaded and Displayed with Tax","Încărcat și afișat cu TVA"
"Not Taxed","Nu este Taxat"
"Taxed","Taxat"
"Total","Total"
"Total Incl. Tax","Total cu TVA"
"Total incl. tax","Total cu TVA"
