"Action","Acțiune"
"Add Sitemap","Adauga Harta site-ului"
"Add Sitemap Lines","Adauga Linii Sitemap"
"Adds the full text of every active CMS page of this store view. Products and categories stay out: the sitemaps address them one URL at a time. When off, /llms-full.txt answers 404.","Adaugă textul complet al fiecărei pagini CMS active a acestei vizualizări a magazinului. Produsele si categoriile raman afara: sitemaps adreseaza un URL odata. Atunci cand este oprit, /llms-full.txt raspunde 404."
"AI search crawlers (blocking these removes the store from AI answers)","Căutătorii de căutare AI (blocarea acestora elimină magazinul din răspunsurile AI)"
"Always","Întotdeauna"
"Appended to the generated file. Groups written here keep their own rules and also receive the base rules above. A group that carries its own Content-Signal line keeps it, and the configured signals are left out of that group.","Adăugat la fișierul generat. Grupurile scrise aici își păstrează propriile reguli și primesc, de asemenea, regulile de bază de mai sus. Un grup care are propria linie Content-Signal o păstrează, iar semnalele configurate sunt lăsate în afara acelui grup."
"Base Rules","Reguli de bază"
"Blocked AI Crawlers","AI Crawlers Blocate"
"Categories Options","Opţiuni categorii"
"CMS Pages Options","Opchar@@0iuni pagini CMS"
"Content Signal: ai-input","Semnal de conținut: a-input"
"Content Signal: ai-train","Semnal de conținut: ai-training"
"Content Signal: search","Semnalul conținutului: căutare"
"Content Signal: use","Semnalul conţinutului: a se utiliza"
"Content signals state what a crawler may do with the pages it reads, on a Content-Signal line in the wildcard group. They are a stated condition of access, not an enforcement mechanism, and no crawler is obliged to honour them. This one covers building a search index and returning links and short excerpts, and does not cover AI generated summaries.","Conținutul semnalelor indică ce poate face un crawler cu paginile pe care le citește, pe o linie de semnalizare Content-Contentdin grupul wildcard. Acestea sunt o condiție de acces declarată, nu un mecanism de punere în aplicare și nu este obligat să le respecte. Acesta acoperă construirea unui index de căutare şi returnarea link-urilor şi a scurtmetrajelor, şi nu acoperă rezumatele generate de IA."
"Crawlers & robots.txt","Crawlers & robots.txt"
"Custom Instructions","Instrucțiuni personalizate"
"Daily","Zilnic"
"Do not show in sitemap","Nu se afişează în harta sitemap"
"Each agent selected here gets its own group with Disallow: /. Blocking an AI search crawler removes the store from AI answers, so block only what you mean to. To block an agent that this list does not name, write its group in Custom Instructions below.","Fiecare agent selectat aici primește propriul grup cu Disallow: /. Blocarea unui crawler de căutare AI elimină magazinul de la răspunsurile AI, deci blochează doar ceea ce vrei să spui. Pentru a bloca un agent care nu numeşte această listă, scrie grupul său în Instrucţiuni Personalizate mai jos."
"Edit Sitemap","Editare hartă site"
"Enabled","Activat"
"Error Email Recipient","Destinatar email eroare"
"Error Email Sender","Error Email Sender"
"Error Email Template","Șablon e-mail de eroare"
"Extra Content","Extra Content"
"Feeding the pages to an AI model at answer time, which is how a store reaches AI search answers. Reserving it asks assistants to leave the store out of their answers.","Alimentând paginile unui model AI la momentul răspunsului, acesta este modul în care un magazin ajunge la răspunsurile căutării AI. Rezervarea ei cere asistenților să lase magazinul departe de răspunsurile lor."
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","Fișierul ""%s"" nu poate fi salvat. Te rugăm să te asiguri că directorul ""%s"" poate fi scris de către serverul web."
"Filename","Nume fișier"
"Frequency","Frecvenţă"
"Full: keep and reuse the content","Complet: păstrează și reutilizează conținutul"
"Generate","Genereaza"
"Generate llms-full.txt","Generează llms-full.txt"
"Generate llms.txt","Generează lms.txt"
"Generate robots.txt","Generate robots.txt"
"Generation Settings","Setări generație"
"Google Sitemap","Harta site-ului Google"
"Hourly","Oră"
"How much of the content an AI system may keep once it has read it.","Cât conținut poate păstra un sistem AI după ce l-a citit."
"ID","ID"
"Immediate: answer the question, keep nothing","Imediat: răspundeți la întrebare, păstrați nimic"
"Include Images","Include imagini"
"Last Time Generated","Ultima generare"
"Link for Google","Link pentru Google"
"List every sitemap configured for this store view at the end of the file. llms.txt lists the same sitemaps and does not read this setting.","Listeaza fiecare sitemap configurat pentru vizualizarea magazinului la sfarsitul fisierului. lms.txt listeaza aceleasi sitemaps si nu citeste aceasta setare."
"llms.txt","llms.txt"
"llms.txt gives AI agents a markdown index of the store: name, description, CMS pages, top level categories, the search URL, and the sitemaps. llms-full.txt adds the full text of the CMS pages. No AI vendor promises to read these files today, so treat them as a low cost bet on an emerging convention, not as a traffic channel. Both files are served per domain, not per store view. When several store views share one domain, the store view that the bare domain resolves to is the one that answers, and it links to the other store views. When store codes are in URLs, each store view also answers at its own path, for example /de/llms.txt.","llms.txt dă agenţilor AI un index markdown al magazinului: nume, descriere, pagini CMS, categorii de nivel superior, URL-ul de căutare şi sitemap-ul. llms-full. xt adaugă textul complet al paginilor CMS. Niciun furnizor AI nu promite să citească aceste fișiere azi, să-i tratăm ca pe un pariu ieftin pe o convenție emergentă, nu ca pe un canal de trafic. Ambele fișiere sunt servite per domeniu, nu per vizualizare magazin. Când mai multe vizualizări stoc împart un domeniu, magazinul vizualizează că domeniul bare rezolvă este cel care răspunde, și face legătura cu celelalte vizualizări ale magazinului. Atunci când codurile magazinului sunt în URL-uri, fiecare vizualizare a magazinului răspunde, de asemenea, pe calea sa proprie, de exemplu /de/lms.txt."
"Markdown appended verbatim to the end of llms.txt.","Markdown adăugat la sfârşitul lms.txt."
"Maximum URLs per Sitemap File","URL-uri maxime per fişier sitemap"
"Monthly","Lunar"
"Never","Niciodată"
"New Sitemap","Harta site nouă"
"No, reserved","Nu, rezervat"
"Not stated","Nu a fost declarat"
"Path","Cale"
