"%d product(s) were updated","%d produs(e) au fost actualizate"
"%s (Default Template from Locale)","%s (Șablon defect de la Local)"
"%s cache type(s) disabled.","Tip(uri) de cache %s dezactivate."
"%s cache type(s) enabled.","Tip(uri) de cache %s activate."
"%s cache type(s) refreshed.","Tip(uri) de cache %s reîmprospătate."
"(%s/%s/%s)","(%s/%s/%s)"
"(For Type ""Local Server"" need to use relative path to Magento install var/export or var/import, e.g. var/export, var/import, var/export/some/dir, var/import/some/dir)","(Pentru Tipul de ""Server local"" trebuie să utilizeze calea relativă către instalarea Magento var/export sau var/import, de exemplu var/export, var/export, var/import, var/export/some/dir, var/some/import/some/dir)"
"(For US 2-letter state names)","(Pentru numele stării de 2 litere americane)"
"(If left empty will be auto-generated)","(Dacă este lăsat gol va fi auto-generat)"
"(Leave empty for first spreadsheet)","(Lăsați gol pentru prima foaie de calcul)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Produsele vor fi adăugate/actualizate în acest magazin dacă coloana 'magazin' este necompletată sau lipsește din fișierul de import.)"
"(Starting with)","(Începutul cu)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Când 'Nu', numai câmpurile mapate vor fi importate. La cartografiere, se folosește 'coloana 1', 'coloana 2', etc.)"
"(You have to increase php memory_limit before changing this value)","(Trebuie sa cresteti php memory_limit inainte de a schimba aceasta valoarea)"
"(\\t for tab)","(\\t pentru tab)"
"* - If indexing is in progress, it will be killed and new indexing process will start.","* - Dacă indexarea este în desfășurare, va fi oprit și noul proces de indexare va începe."
"* Required Fields","* Câmpuri obligatorii"
"-- Not Selected --","-- Nu este selectat --"
"-- Please Select --","-- Vă rugăm selectaţi --"
"-- Please select --","-- Vă rugăm selectaţi --"
"--Please Select--","--Te rog selectează--"
"-- Please Select a Category --","-- Vă rugăm să selectaţi o categorie --"
"-- Please Select Billing Agreement--","-- Selectați acordul de facturare --"
"1 Hour","1 oră"
"2 Hours","2 ore"
"2FA verification code:","Codul de verificare 2FA:"
"2FA verification code is invalid.","Codul de verificare 2FA nu este valid."
"2YTD","2YTD"
"6 Hours","6 ore"
"12 Hours","12 ore"
"12h AM/PM","12h AM/PM"
"24 Hours","24 de ore"
"24h","24h"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404 Eroare</h1><p>Pagina nu a fost găsită.</p>"
"<strong>%s</strong> requests access to your account","<strong>%s</strong> solicită acces la contul tău"
"Abandoned Carts","Cosuri abandonate"
"Access Denied","Acces refuzat"
"Access denied","Acces interzis"
"Access denied.","Acces refuzat."
"Account Created in:","Cont creat în:"
"Account Created on (%s):","Cont creat la (%s):"
"Account Created on:","Cont creat la:"
"Account Information","Informații cont"
"Account Status","Starea contului"
"Account status","Starea contului"
"Action","Acțiune"
"Actions","Acțiuni"
"Actions XML","Acțiuni XML"
"Active","Activ"
"Add","Adăugare"
"Add after","Adaugă după"
"Add Exception","Adaugă excepție"
"Add Field Mapping","Adaugă Mapping Câmp"
"Add Field with URL:","Adaugă câmp cu URL:"
"Additional Cache Management","Gestionare suplimentară a geocutiilor"
"Add New","Adaugă nou"
"Add New Block","Adaugă bloc nou"
"Add New Image","Adaugă o imagine nouă"
"Add New Profile","Adaugă un profil nou"
"Add New Role","Adaugă rol nou"
"Add New Template","Adaugă Șablon Nou"
"Add New URL Rewrite","Adauga rescriere URL nou"
"Add New User","Adaugă utilizator nou"
"Add New Variable","Adaugă Variabilă Nouă"
"Add new variable","Adaugă o nouă variabilă"
"Add Products","Adaugă Produse"
"Address Type:","Tip adresă:"
"Add URL Rewrite","Adaugă Rescriere URL"
"Add URL Rewrite for a Category","Adaugă Rescrie URL pentru o Categorie"
"Add URL Rewrite for a Product","Adauga URL de Rescriere pentru un produs"
"Admin","Admin"
"Advanced Profiles","Profiluri avansate"
"After authorization application will have access to you account.","După autorizare, aplicația va avea acces la contul dvs."
"Alert","Alertă"
"All","Toate"
"All Allowed Countries","Toate țările permise"
"All Cache","Toate geocutiile"
"All countries","Toate țările"
"All fields","Toate câmpurile"
"Allowed","Permis"
"All possible rates were fetched, please click on ""Save"" to apply","Toate tarifele posibile au fost luate, vă rugăm să faceţi clic pe ""Salvare"" pentru a aplica"
"All rates were fetched, please click on ""Save"" to apply","Toate tarifele au fost luate, vă rugăm să faceţi clic pe ""Salvare"" pentru a aplica"
"All Reviews","Toate Recenzii"
"All Store Views","Toate vizualizarea magazinului"
"All Tags","Toate etichetele"
"All valid rates have been saved.","Toate ratele valide au fost salvate."
"All Websites","Toate site-urile"
"Always (during development)","Întotdeauna (în timpul dezvoltării)"
"Amounts","Sume"
" and "," şi "
"An error occurred: %s","A apărut o eroare: %s"
"An error occurred while adding condition.","A aparut o eroare la adaugarea conditiei."
"An error occurred while clearing the configurable swatches image cache.","A apărut o eroare la ștergerea cache-ului de imagini configurabil."
"An error occurred while clearing the image cache.","A apărut o eroare la ștergerea cache a imaginii."
"An error occurred while clearing the minified CSS/JS cache.","A apărut o eroare la ștergerea cache-ului CSS/JS minificat."
"An error occurred while deleting email log entries.","A apărut o eroare la ștergerea intrărilor din jurnalul de e-mail."
"An error occurred while deleting email template data. Please review log and try again.","A apărut o eroare la ștergerea datelor șablonului de e-mail. Vă rugăm să revizuiți jurnalul și să încercați din nou."
"An error occurred while deleting record(s).","A aparut o eroare la stergerea inregistrarii."
"An error occurred while deleting this role.","A aparut o eroare la stergerea acestui rol."
