"Add","Adăugare"
"Add gift message for shopping cart","Adaugă mesaj cadou pentru coşul de cumpărături"
"Add gift messages for quote item of shopping cart","Adaugă mesaje cadou pentru coșul de cumpărături al coșului de oferte"
"Add gift messages to products of shopping cart","Adauga mesaje cadou la produsele cosului de cumparaturi"
"Add gift options.","Adaugă opțiuni cadou."
"Add gift options for Individual Items","Adaugă opțiuni cadou pentru Elementele Individuale"
"Add gift options for the Entire Order","Adaugă opțiuni cadou pentru Ordinea Totală"
"Allow Gift Messages for Order Items","Permiteți Mesaje Cadou pentru Elemente de Comandă"
"Allow Gift Messages on Order Level","Permite mesaje cadou la nivelul comenzii"
"An error occurred while saving the gift message.","A aparut o eroare la salvarea mesajului cadou."
"Are you sure?","Ești sigur?"
"Cancel","Anulează"
"Do you have any gift items in your order?","Ai vreun cadou in comanda ta?"
"Edit","Editare"
"From","De la"
"Gift Message","Mesaj cadou"
"Gift Message API","API Mesaj Cadou"
"Gift Options","Opțiuni cadou"
"Gift Options for Individual Items","Opțiuni cadou pentru Elemente Individuale"
"Gift Options for the Entire Order.","Opțiuni de cadou pentru Ordinea Totală."
"Item %d of %d","Elementul %d din %d"
"Message","Mesaj"
"No","Nr"
"Save Gift Message","Salvează Mesaj Cadou"
"The gift message has been saved.","Mesajul cadou a fost salvat."
"To","La"
"Unknown entity type","Tip de entitate necunoscut"
"Use config","Utilizează configurația"
"Yes","Da"
"You can leave this box blank if you do not wish to add a gift message for the item.","Puteți lăsa această casetă necompletată dacă nu doriți să adăugați un mesaj cadou pentru element."
"You can leave this box blank if you do not wish to add a gift message for whole order.","Puteți lăsa această casetă necompletată dacă nu doriți să adăugați un mesaj cadou pentru întreaga comandă."
