"Account Number","Numer konta"
"Container ID","Container ID"
"Enable","Włącz"
"Enable GA4 Debug Real Time view for Development IP.","Włącz debugowanie GA4 w czasie rzeczywistym dla adresu IP deweloperskiego."
"Enable GA4 User_id tracking for logged in customers.","Włącz śledzenie identyfikatora użytkownika GA4 dla zalogowanych klientów."
"Facebook Meta Pixel","Facebook Meta Pixel"
"Google Analytics","Analityka Google"
"Google Analytics 4","Google Analytics 4"
"Google API","API Google"
"Google Tag Manager","Google Tag Manager"
"Meta Pixel ID","Meta Pixel ID"
"Type","Rodzaj"
"User ID tracking","User ID tracking"
