"3D Secure","Bezpieczny 3D"
"Actions","Akcje"
"Added","Dodano"
"Allows logged-in customers to save their payment methods for faster future checkouts. Saved tokens are stored securely by PayPal.","Pozwala zalogowanym klientom na zapisywanie metod płatności dla szybszych przyszłych zamówień. Zapisane tokeny są przechowywane bezpiecznie przez PayPal."
"Are you sure you want to delete this payment method?","Czy na pewno chcesz usunąć tę metodę płatności?"
"Authorization ID","ID autoryzacji"
"Authorize and Capture","Autoryzuj i przechwyć"
"Authorize Only","Tylko autoryzacja"
"Automatically populated after clicking ""Register Webhook"". Used to verify the authenticity of incoming PayPal notifications.","Automatycznie wypełnione po kliknięciu ""Zarejestruj Webhook"". Używane do weryfikacji autentyczności przychodzących powiadomień PayPal."
"AVS Code","Kod AVS"
"Bancontact","Zablokuj kontakt"
"BLIK","BLIK"
"Capture ID","ID przechwytywania"
"Cart is empty.","Koszyk jest pusty."
"Client ID","Identyfikator klienta"
"Client Secret","Klucz tajny klienta"
"Confirm your payment with PayPal, then click ""Place Order"".","Potwierdź płatność za pomocą PayPal, a następnie kliknij ""Złóż zamówienie""."
"Connection failed. Please check your credentials.","Połączenie nie powiodło się. Sprawdź swoje dane logowania."
"Connection failed: %s","Połączenie nie powiodło się: %s"
"Connection successful.","Połączenie udane."
"Could not acquire order lock.","Nie można uzyskać blokady zamówienia."
"CVV Code","Kod CVV"
"Debug Mode","Tryb debugowania"
"Delete","Usuń"
"Display on Product Page","Wyświetl na stronie produktu"
"Display on Shopping Cart","Wyświetl w koszyku"
"Displays inline credit/debit card fields directly on your checkout page. Customers enter their card details without being redirected to PayPal. Requires PayPal Advanced Checkout eligibility.","Wyświetla pola karty kredytowej/debetowej bezpośrednio na stronie zamówienia. Klienci podają swoje dane karty bez przekierowania do PayPal. Wymaga PayPal Advanced Checkout."
"Displays PayPal buttons at checkout. Customers pay with their PayPal account, Pay Later, or other PayPal-supported methods without leaving your site.","Wyświetla przyciski PayPal przy kasie. Klienci płacą za pomocą konta PayPal, Pay Później lub innych metod obsługiwanych przez PayPal bez opuszczania Twojej witryny."
"Enabled","Włączone"
"eps","epy"
"Failed to create PayPal order.","Nie udało się utworzyć zamówienia PayPal."
"Failed to create PayPal order: %s","Nie udało się utworzyć zamówienia PayPal: %s"
"Failed to register webhook.","Nie udało się zarejestrować webhooka."
"giropay","giropay"
"iDEAL","iDEAL"
"Invalid form key.","Nieprawidłowy klucz formularza."
"Invalid payment method.","Nieprawidłowa metoda płatności."
"Log API requests and responses to var/log/paypal.log","Loguj żądania API i odpowiedzi do var/log/paypal.log"
"Missing PayPal order ID.","Brakuje identyfikatora zamówienia PayPal."
"MyBank","MyBank"
"No PayPal authorization ID found for void.","Nie znaleziono identyfikatora autoryzacji PayPal dla unieważnienia."
"No PayPal authorization or order ID found for capture.","Nie znaleziono autoryzacji PayPal ani identyfikatora zamówienia do przechwytywania."
"No PayPal capture ID found for refund.","Nie znaleziono identyfikatora przechwytywania PayPal do zwrotu."
"No saved payment methods available.","Brak zapisanych metod płatności."
"No saved payment methods available for this customer.","Brak zapisanych metod płatności dla tego klienta."
"Payer Email","E-mail płatnika"
"Payer ID","Payer ID"
"Pay Later","Zapłać później"
"Pay Later Messaging","Zapłać później wiadomości"
"Payment Action","Akcja płatności"
"Payment Method","Metoda płatności"
"Payment method has been deleted.","Metoda płatności została usunięta."
"PayPal","PayPal"
"PayPal - Advanced Checkout (Card Fields)","PayPal - Zaawansowane Zamówienia (Card Fields)"
"PayPal - General Settings","PayPal - Ustawienia ogólne"
"PayPal - Standard Checkout (PayPal Buttons)","PayPal - Standardowe Zamówienie (przyciski PayPal)"
"PayPal - Vault (Saved Payment Methods)","PayPal - sejf (ulubione metody płatności)"
"PayPal capture failed: no capture ID returned.","Przechwytywanie PayPal nie powiodło się: nie zwrócono identyfikatora przechwytywania."
"PayPal Client ID and Client Secret are required when a PayPal payment method is enabled.","Identyfikator klienta PayPal i klucz klienta są wymagane, gdy włączona jest metoda płatności PayPal."
"PayPal Credit","Kredyt PayPal"
"PayPal did not return a payer email address.","PayPal nie zwrócił adresu e-mail płatnika."
"PayPal order amount does not match this cart.","Kwota zamówienia PayPal nie pasuje do tego koszyka."
"PayPal order could not be approved. Status: %s","Zamówienie PayPal nie może zostać zatwierdzone. Status: %s"
"PayPal order currency does not match this cart.","Waluta zamówienia PayPal nie pasuje do tego koszyka."
"PayPal order does not belong to this cart.","Zamówienie PayPal nie należy do tego koszyka."
"PayPal Order ID","ID zamówienia PayPal"
"PayPal order ID not found.","Identyfikator zamówienia PayPal nie został znaleziony."
"Please complete the PayPal payment before placing the order.","Proszę dokończyć płatność PayPal przed złożeniem zamówienia."
"Processor Response","Odpowiedź procesora"
"Przelewy24","Przelewy24"
"Quote is no longer active and no matching order was found.","Oferta nie jest już aktywna i nie znaleziono pasującego zamówienia."
"Registers a webhook with PayPal to receive real-time notifications for payments, refunds, and disputes. Requires a publicly accessible HTTPS URL.","Rejestruje webhook w serwisie PayPal, aby otrzymywać powiadomienia w czasie rzeczywistym o płatnościach, zwrotach i sporach. Wymaga publicznie dostępnego adresu URL HTTPS."
"Register Webhook","Zarejestruj Webhook"
"Review your order on the next step to confirm your payment with PayPal.","Przejrzyj swoje zamówienie w następnym kroku, aby potwierdzić płatność z PayPal."
"Sandbox Mode","Tryb piaskownicy"
"Saved Payment","Zapisana płatność"
"Saved Payment Method","Zapisana metoda płatności"
"Saved Payment Methods","Zapisane metody płatności"
"Save this payment method for future purchases","Zapisz tę metodę płatności dla przyszłych zakupów"
"Send cart line items to PayPal for display during checkout.","Wyślij produkty z wiersza koszyka do PayPal do wyświetlenia podczas zamówienia."
"SEPA","SEPA"
"Sofort","Sofort"
"Sort Order","Kolejność sortowania"
"Test Connection","Testuj połączenie"
"This order has already been placed.","To zamówienie zostało już złożone."
"This PayPal order has already been used.","To zamówienie PayPal zostało już wykorzystane."
"Title","Rozporządzenie Rady (EWG) nr 2658/87 z dnia 23 lipca 1987 r. w sprawie nomenklatury taryfowej i statystycznej oraz w sprawie Wspólnej Taryfy Celnej (Dz.U. L 256 z 7.9.1987, s. 1)."
"Transfer Line Items","Przenieś pozycje"
"Type","Typ"
"Unable to delete payment method.","Nie można usunąć metody płatności."
"Use PayPal sandbox environment for testing.","Użyj środowiska PayPal sandbox do testowania."
"Venmo","Venmo"
"Webhook ID","Identyfikator webhooka"
"Webhook registered successfully. ID: %s","Webhook registered successfully. ID: %s"
"Webhook registration failed: %s","Rejestracja Webhook nie powiodła się: %s"
"You have no saved payment methods.","Nie masz zapisanych metod płatności."
