"and %s more posts","i %s więcej postów"
"and %s more products, listed in the XML sitemap","i %s więcej produktów, wymienionych w mapie strony XML"
"Attribute","Atrybut"
"Availability","Dostępność"
"Backorder","Zlecenie"
"Blog","Blog"
"Brand","Marka"
"Cache Lifetime (seconds)","Żywotność pamięci podręcznej (w sekundach)"
"Description","Opis"
"Enabled","Włączone"
"from %s to %s","od %s do %s"
"Image","Obraz"
"Images","Obrazy"
"In stock","W magazynie"
"Limited availability","Ograniczona dostępność"
"Markdown for AI agents","Markdown dla agentów AI"
"Not Found","Nie znaleziono"
"One route prefix per line, as module/controller/action. Only these pages get a markdown version. A route needs a renderer declared under global/contentnegotiation/renderers in a config.xml.","Jeden prefiks trasy na linię, jako moduł/kontroler/akcja. Tylko te strony otrzymują wersję markdown. Trasa wymaga renderowania deklarowanego w globalnym/contentnegotiation/renderers w config.xml."
"Options","Opcje"
"Out of stock","Brak na stanie"
"Price","Cena"
"Product","Produkt"
"Products","Produkty"
"Published","Opublikowane"
"regular price %s","zwykła cena %s"
"Routes","Trasy"
"Serves a markdown version of a page when the request sends <code>Accept: text/markdown</code> or when the URL ends with <code>.md</code>. Browsers keep the HTML page. HTML pages announce the markdown version with a <code>Link</code> header.","Obsługuje wersję markdown strony, gdy żądanie wysyła <code>Akceptuj: tekst/markdown</code> lub gdy adres URL kończy się <code>. d</code>. Przeglądarki zachowują stronę HTML. Strony HTML ogłaszają wersję markdown z nagłówkiem <code>Link</code>."
"Specifications","Specyfikacje"
"Subcategories","Podkategorie"
"The markdown is cached with the Blocks HTML output cache. A product, category, page or post save clears its entry. 0 disables the cache.","Markdown jest buforowany z pamięcią podręczną bloków HTML. Produkt, kategoria, strona lub wpis usuwa jego wpis. 0 wyłącza pamięć podręczną."
"There are no posts yet.","Brak postów."
"There are no products in this category.","Brak produktów w tej kategorii."
"This page has no markdown version.","Ta strona nie ma wersji markdown."
"Value","Wartość"
