"3D Secure","Bezpieczny 3D"
"3D Secure Card Validation","Weryfikacja karty 3D Secure"
"Accepted Currency","Akceptowana waluta"
"Allow Partial Authorization","Zezwalaj na częściową autoryzację"
"amount %s","kwota %s"
"API Login ID","Identyfikator logowania API"
"Are you sure you want to cancel your payment? Click OK to cancel your payment and release the amount on hold. Click Cancel to enter another credit card and continue with your payment.","Czy na pewno chcesz anulować płatność? Kliknij OK, aby anulować płatność i uwolnić wstrzymaną kwotę. Kliknij Anuluj, aby wprowadzić inną kartę kredytową i kontynuować płatność."
"authorize","autoryzacja"
"Authorize.net (Deprecated)","Authorize.net (przestarzałe)"
"Authorize.Net Transaction ID %s","ID transakcji Authorize.Net %s"
"Authorize and Capture","Autoryzuj i przechwyć"
"authorize and capture","autoryzacji i przechwytywania"
"Authorize Only","Tylko autoryzacja"
"Cancel","Anuluj"
"capture","przechwyć"
"Credit Card: xxxx-%s","Karta kredytowa: xxxx-%s"
"Credit Card Types","Rodzaje kart kredytowych"
"Credit Card Verification","Weryfikacja karty kredytowej"
"Debug","Debug"
"Email Customer","E-mail klienta"
"Enabled","Włączone"
"Error in payment gateway.","Błąd w bramce płatności."
"failed","nie powiodło się"
"Gateway actions are locked because the gateway cannot complete one or more of the transactions. Please log in to your Authorize.Net account to manually resolve the issue(s).","Akcje bramy są zablokowane, ponieważ brama nie może zakończyć jednej lub więcej transakcji. Zaloguj się na swoje konto Authorize.Net, aby ręcznie rozwiązać problemy."
"Gateway error: %s","Gateway error: %s"
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.","Jeśli puste, zostanie użyta wartość domyślna. Niestandardowy adres URL może być podany w umowie CardinalCommerce."
"Invalid amount for authorization.","Nieprawidłowa kwota autoryzacji."
"Invalid amount for capture.","Nieprawidłowa kwota do przechwytywania."
"Invalid amount for partial authorization.","Nieprawidłowa kwota dla częściowej autoryzacji."
"Invalid amount for refund.","Nieprawidłowa kwota zwrotu."
"Invalid split tenderId ID.","Nieprawidłowy identyfikator podzielonej oferty."
"Maximum Order Total","Maksymalna suma zamówienia"
"Merchant's Email","E-mail sprzedawcy"
"Minimum Order Total","Minimalna suma zamówienia"
"New Order Status","Nowy status zamówienia"
"Parent Authorize.Net transaction (ID %s) expired","Transakcja macierzysta Authorize.Net (ID %s) wygasła"
"Payment Action","Akcja płatności"
"Payment authorization error.","Błąd autoryzacji płatności."
"Payment canceling error.","Błąd anulowania płatności."
"Payment capturing error.","Błąd przechwytywania płatności."
"Payment from Applicable Countries","Płatność z właściwych krajów"
"Payment from Specific Countries","Płatność z określonych krajów"
"Payment partial authorization error.","Błąd częściowej autoryzacji płatności."
"Payment refunding error.","Błąd zwrotu płatności."
"Payment updating error.","Błąd aktualizacji płatności."
"Payment voiding error.","Payment voiding error."
"Processed Amount","Przetworzona kwota"
"refund","Zwrot"
"Remaining Balance","Pozostałe saldo"
"Severe 3D Secure Card Validation","Ważność karty 3D Secure"
"Severe Validation Removes Chargeback Liability on Merchant","Poważna walidacja usuwa odpowiedzialność za zwrot kosztów u sprzedawcy"
"Shopping cart contents and/or address has been changed.","Zawartość koszyka i/lub adres został zmieniony."
"Sort Order","Kolejność sortowania"
"successful","udane"
"Test Mode","Tryb testowy"
"The amount on your credit card is insufficient to complete your purchase. The available amount has been put on hold. To complete your purchase click OK and specify additional credit card number. To cancel the purchase and release the amount on hold, click Cancel.","Kwota na karcie kredytowej jest niewystarczająca do sfinalizowania zakupu. Dostępna kwota została wstrzymana. Aby zakończyć zakup, kliknij OK i określ dodatkowy numer karty kredytowej. Aby anulować zakup i udostępnić wstrzymaną kwotę, kliknij Anuluj."
"There was an error canceling transactions. Please contact us or try again later.","Wystąpił błąd podczas anulowania transakcji. Skontaktuj się z nami lub spróbuj ponownie później."
"Title","Rozporządzenie Rady (EWG) nr 2658/87 z dnia 23 lipca 1987 r. w sprawie nomenklatury taryfowej i statystycznej oraz w sprawie Wspólnej Taryfy Celnej (Dz.U. L 256 z 7.9.1987, s. 1)."
"Transaction Key","Klucz transakcji"
"void","unieważnij"
"You have reached the maximum number of credit card allowed to be used for the payment.","Osiągnięto maksymalną liczbę kart kredytowych, które mogą być użyte do płatności."
"You have reached the maximum number of credit cards that can be used for one payment. The available amounts on all used cards were insufficient to complete payment. The payment has been cancelled and amounts on hold have been released.","Osiągnięto maksymalną liczbę kart kredytowych, które mogą być użyte do jednej płatności. Dostępne kwoty na wszystkich wykorzystanych kartach były niewystarczające do sfinalizowania płatności. Płatność została anulowana i wstrzymane kwoty zostały zwolnione."
"Your credit card has been declined. Click OK to specify another credit card to complete your purchase. Click Cancel to release the amount on hold and select another payment method.","Twoja karta kredytowa została odrzucona. Kliknij OK, aby określić inną kartę kredytową, aby dokończyć zakup. Kliknij Anuluj, aby udostępnić zatrzymaną kwotę i wybrać inną metodę płatności."
"Your order has not been placed, because contents of the shopping cart and/or address has been changed. Authorized amounts from your previous payment that were left pending are now released. Please go through the checkout process for your recent cart contents.","Twoje zamówienie nie zostało złożone, ponieważ zawartość koszyka i/lub adres zostały zmienione. Autoryzowane kwoty z Twojej poprzedniej płatności, które pozostało w oczekiwaniu, zostały teraz wydane. Przejdź przez proces zakupu dla twojej ostatniej zawartości koszyka."
"Your payment has been cancelled. All authorized amounts have been released.","Twoja płatność została anulowana. Wszystkie zatwierdzone kwoty zostały uwolnione."
