"-- Please Select --","-- Prosimy wybrać --"
"Add to Cart","Dodaj do koszyka"
"Are you sure to delete this fallback color?","Czy jesteś pewny, że chcesz usunąć ten kolor zastępczy?"
"Choose an Option...","Wybierz opcję..."
"Configurable Swatches","Konfigurowalne Próbki"
"Dynamic Price Change for Swatches in Product Listing","Zmiana ceny dynamicznej dla próbek w liście produktów"
"Enabled","Włączone"
"General Settings","Ustawienia ogólne"
"Height","Wysokość"
"Innermost dimensions, not including border, in pixels","Wewnętrzne wymiary, nie uwzględniając ramki, w pikselach"
"In Stock","W magazynie"
"Out of Stock","Brak w magazynie"
"Previous","Poprzednie"
"Product Attributes to Show as Swatches in Product Detail","Atrybuty produktu do wyświetlenia jako próbki w szczegółach produktu"
"Product Attribute to Use for Swatches in Product Listing","Atrybut Produktu do Użycia dla Próbek w Liście Produktów"
"Remove This Item","Usuń ten element"
"Swatch","Próbka"
"Swatch Dimensions in Layered Navigation","Wymiary próbek w nawigacji warstwowej"
"Swatch Dimensions in Product Listing","Wymiary próbek w liście produktów"
"Swatch Dimensions on Product Detail Page","Wymiary próbek na stronie szczegółów produktu"
"Width","Szerokość"
